Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
10:44,,,,,"MISS JUMPER by AVALIANI,LUKA",,,"MISS JUMPER by AVALIANI,LUKA",1
--,"REBOUND DEF by CRUMLY,WILL",,,,,,,"REBOUND DEF by CRUMLY,WILL",1
10:35,"MISS JUMPER by BARNETTE,CHRIS",,,,,,,"MISS JUMPER by BARNETTE,CHRIS",1
--,"REBOUND OFF by GERNATT,JONATHAN",,,,,,,"REBOUND OFF by GERNATT,JONATHAN",1
10:30,"MISS LAYUP by GERNATT,JONATHAN(in the paint)",,,,,,,"MISS LAYUP by GERNATT,JONATHAN(in the paint)",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
10:18,,,,,"MISS JUMPER by KAHL,COLIN",,,"MISS JUMPER by KAHL,COLIN",1
--,"REBOUND DEF by GERNATT,JONATHAN",,,,,,,"REBOUND DEF by GERNATT,JONATHAN",1
10:08,,,,,"FOUL  by CORRIGAN,TRE",,,"FOUL  by CORRIGAN,TRE",1
10:08,"MISS FT by CRUMLY,WILL",,,,,,,"MISS FT by CRUMLY,WILL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:08,"SUB OUT by GERNATT,JONATHAN",,,,,,,"SUB OUT by GERNATT,JONATHAN",1
10:08,"SUB IN by PALMER,BRADY",,,,,,,"SUB IN by PALMER,BRADY",1
10:08,"MISS FT by CRUMLY,WILL",,,,,,,"MISS FT by CRUMLY,WILL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:38,,,,,"MISS JUMPER by CORRIGAN,TRE",,,"MISS JUMPER by CORRIGAN,TRE",1
--,"REBOUND DEF by BARNETTE,CHRIS",,,,,,,"REBOUND DEF by BARNETTE,CHRIS",1
09:32,"MISS JUMPER by CRUMLY,WILL",,,,,,,"MISS JUMPER by CRUMLY,WILL",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
09:13,,19 (+7),,12,"GOOD JUMPER by KAHL,COLIN",Sewan 19-12 (-7),,"GOOD JUMPER by KAHL,COLIN",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
08:58,"TURNOVER  by PALMER,BRADY",,,,,,,"TURNOVER  by PALMER,BRADY",1
08:58,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",1
08:58,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
08:58,"SUB OUT by BARNETTE,CHRIS",,,,,,,"SUB OUT by BARNETTE,CHRIS",1
08:58,"SUB OUT by HESTER,CHARLIE",,,,,,,"SUB OUT by HESTER,CHARLIE",1
08:58,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
08:58,"SUB OUT by JONES,MYLES",,,,,,,"SUB OUT by JONES,MYLES",1
08:58,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",1
08:58,"SUB IN by FITZGERALD,JACKSON",,,,,,,"SUB IN by FITZGERALD,JACKSON",1
08:58,"SUB IN by PEARLMAN,LOGAN",,,,,,,"SUB IN by PEARLMAN,LOGAN",1
08:58,"SUB IN by KINARD,JESSE",,,,,,,"SUB IN by KINARD,JESSE",1
08:41,,,,,"MISS JUMPER by KAHL,COLIN",,,"MISS JUMPER by KAHL,COLIN",1
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",1
08:39,,19 (+5),,14,"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 19-14 (-5),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
08:39,"FOUL  by PEARLMAN,LOGAN",,,,,,,"FOUL  by PEARLMAN,LOGAN",1
08:39,,19 (+4),,15,"GOOD FT by KAHL,COLIN",Sewan 19-15 (-4),,"GOOD FT by KAHL,COLIN",1
