Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,PUM,Game Score,Team Indicator,Play,Period
05:26,,,,,"SUB IN by REARDON,NOAH",,,"SUB IN by REARDON,NOAH",1
05:26,,,,,"SUB OUT by RICHTER,WILL",,,"SUB OUT by RICHTER,WILL",1
05:12,"TURNOVER  by BOULDIN,BLAKE",,,,,,,"TURNOVER  by BOULDIN,BLAKE",1
05:11,,,,,"STEAL  by QUICK,JUSTIN",,,"STEAL  by QUICK,JUSTIN",1
05:07,,,,,"MISS LAYUP by QUICK,JUSTIN",,,"MISS LAYUP by QUICK,JUSTIN",1
--,,,,,"REBOUND OFF by FOOTE,JORDAN",,,"REBOUND OFF by FOOTE,JORDAN",1
05:05,,,,,"MISS LAYUP by FOOTE,JORDAN",,,"MISS LAYUP by FOOTE,JORDAN",1
--,,,,,"REBOUND OFF by CLEMENTS-OWENS,ORRY",,,"REBOUND OFF by CLEMENTS-OWENS,ORRY",1
05:04,"FOUL  by BOULDIN,BLAKE",,,,,,,"FOUL  by BOULDIN,BLAKE",1
05:04,,,,,"MISS FT by CLEMENTS-OWENS,ORRY",,,"MISS FT by CLEMENTS-OWENS,ORRY",1
--,"REBOUND DEF by BOULDIN,BLAKE",,,,,,,"REBOUND DEF by BOULDIN,BLAKE",1
04:50,,,,,"FOUL  by REARDON,NOAH",,,"FOUL  by REARDON,NOAH",1
04:50,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
04:50,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
04:45,"GOOD JUMPER by CRUMP,JOHN",25,,27 (+2),,SEWANEE 25-27 (-2),,"GOOD JUMPER by CRUMP,JOHN",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
04:31,,,,,"MISS JUMPER by REARDON,NOAH",,,"MISS JUMPER by REARDON,NOAH",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
04:13,"MISS JUMPER by CORRIGAN,TRE",,,,,,,"MISS JUMPER by CORRIGAN,TRE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:10,,,,,"FOUL  by QUICK,JUSTIN",,,"FOUL  by QUICK,JUSTIN",1
04:10,"MISS FT by AVALIANI,LUKA",,,,,,,"MISS FT by AVALIANI,LUKA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:10,"MISS FT by AVALIANI,LUKA",,,,,,,"MISS FT by AVALIANI,LUKA",1
--,,,,,"REBOUND DEF by FOOTE,JORDAN",,,"REBOUND DEF by FOOTE,JORDAN",1
03:52,,,,,"TURNOVER  by FOOTE,JORDAN",,,"TURNOVER  by FOOTE,JORDAN",1
03:51,"STEAL  by BOULDIN,BLAKE",,,,,,,"STEAL  by BOULDIN,BLAKE",1
03:47,"TURNOVER  by PERUSEK,COLE",,,,,,,"TURNOVER  by PERUSEK,COLE",1
03:46,,,,,"STEAL  by REARDON,NOAH",,,"STEAL  by REARDON,NOAH",1
03:41,,,,,"MISS 3PTR by CLEMENTS-OWENS,ORRY",,,"MISS 3PTR by CLEMENTS-OWENS,ORRY",1
--,,,,,"REBOUND OFF by REARDON,NOAH",,,"REBOUND OFF by REARDON,NOAH",1
