Time Remaining,SU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
03:03,,60,,75 (+15),"GOOD FT by LEWIS,EVAN",BSC 60-75 (+15),,"GOOD FT by LEWIS,EVAN",2
03:03,,60,,76 (+16),"GOOD FT by LEWIS,EVAN",BSC 60-76 (+16),,"GOOD FT by LEWIS,EVAN",2
03:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:03,"SUB IN by SMITH,TEREZ",,,,,,,"SUB IN by SMITH,TEREZ",2
03:03,"SUB IN by SANFORD,DOMONIQUE",,,,,,,"SUB IN by SANFORD,DOMONIQUE",2
03:03,"SUB OUT by HAMILTON,QUAYSHAUN",,,,,,,"SUB OUT by HAMILTON,QUAYSHAUN",2
03:03,"SUB OUT by SANGESTER,DOMONIQUE",,,,,,,"SUB OUT by SANGESTER,DOMONIQUE",2
02:31,"MISS 3PTR by GABRIEL,BRANDON",,,,,,,"MISS 3PTR by GABRIEL,BRANDON",2
--,"REBOUND OFF by SMITH,TEREZ",,,,,,,"REBOUND OFF by SMITH,TEREZ",2
02:29,"GOOD FT by SMITH,TEREZ",61,,76 (+15),,SU 61-76 (+15),,"GOOD FT by SMITH,TEREZ",2
02:28,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",2
02:28,"MISS FT by SMITH,TEREZ",,,,,,,"MISS FT by SMITH,TEREZ",2
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",2
02:28,"SUB IN by MAYFIELD,DEVIN",,,,,,,"SUB IN by MAYFIELD,DEVIN",2
02:28,"SUB OUT by GOEING,BRANDON",,,,,,,"SUB OUT by GOEING,BRANDON",2
02:28,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
02:28,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",2
02:18,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",2
01:50,"TURNOVER  by GABRIEL,BRANDON",,,,,,,"TURNOVER  by GABRIEL,BRANDON",2
01:48,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",2
01:16,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by SANFORD,DOMONIQUE",,,,,,,"REBOUND DEF by SANFORD,DOMONIQUE",2
01:07,"GOOD JUMPER by BARBER,WILLIAM(fastbreak)(in the paint)",63,,76 (+13),,SU 63-76 (+13),,"GOOD JUMPER by BARBER,WILLIAM(fastbreak)(in the paint)",2
00:45,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",2
--,"REBOUND DEF by SANFORD,DOMONIQUE",,,,,,,"REBOUND DEF by SANFORD,DOMONIQUE",2
00:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:32,"MISS 3PTR by BARBER,WILLIAM",,,,,,,"MISS 3PTR by BARBER,WILLIAM",2
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",2
00:21,"FOUL  by MAYFIELD,DEVIN",,,,,,,"FOUL  by MAYFIELD,DEVIN",2
00:21,,63,,77 (+14),"GOOD FT by WELCH,ROSS",BSC 63-77 (+14),,"GOOD FT by WELCH,ROSS",2
00:21,,63,,78 (+15),"GOOD FT by WELCH,ROSS",BSC 63-78 (+15),,"GOOD FT by WELCH,ROSS",2
00:09,"GOOD 3PTR by KINNEY,ANDREW",66,,78 (+12),,SU 66-78 (+12),,"GOOD 3PTR by KINNEY,ANDREW",2
--,"ASSIST  by MAYFIELD,DEVIN",,,,,,,"ASSIST  by MAYFIELD,DEVIN",2
