Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
05:56,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
05:56,,35 (+13),,22,"GOOD FT by SMOAK,HUNTER",BCM 35-22 (+13),,"GOOD FT by SMOAK,HUNTER",1
05:56,,35 (+12),,23,"GOOD FT by SMOAK,HUNTER",BCM 35-23 (+12),,"GOOD FT by SMOAK,HUNTER",1
05:32,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
05:32,"GOOD FT by SCHAMP,GRIFFIN",36 (+13),,23,,BSC-M 36-23 (+13),,"GOOD FT by SCHAMP,GRIFFIN",1
05:32,"GOOD FT by SCHAMP,GRIFFIN",37 (+14),,23,,BSC-M 37-23 (+14),,"GOOD FT by SCHAMP,GRIFFIN",1
05:32,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
05:32,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
05:32,,,,,"SUB IN by PARK,BRANDON",,,"SUB IN by PARK,BRANDON",1
05:32,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
05:08,"MISS LAYUP by MCKAY,COLLIN",,,,,,,"MISS LAYUP by MCKAY,COLLIN",1
04:40,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
04:36,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",1
--,,,,,"REBOUND OFF by GRAHAM,LAKE",,,"REBOUND OFF by GRAHAM,LAKE",1
04:30,,37 (+12),,25,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 37-25 (+12),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,,,,,"ASSIST  by PARK,BRANDON",,,"ASSIST  by PARK,BRANDON",1
04:09,"GOOD 3PTR by THOMAS,LARRY",40 (+15),,25,,BSC-M 40-25 (+15),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
04:09,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",1
04:09,"GOOD FT by THOMAS,LARRY",41 (+16),,25,,BSC-M 41-25 (+16),,"GOOD FT by THOMAS,LARRY",1
04:09,,,,,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",1
04:09,"STEAL  by FREEMAN,SCHYLAR",,,,,,,"STEAL  by FREEMAN,SCHYLAR",1
04:09,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",1
04:03,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
03:54,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
03:54,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
