Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
01:29,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",4
--,,,,,"REBOUND OFF by SLEDGE,TATE",,,"REBOUND OFF by SLEDGE,TATE",4
01:25,"FOUL  by BATES,ROMELLO",,,,,,,"FOUL  by BATES,ROMELLO",4
01:25,,68,,68,"GOOD FT by SLEDGE,TATE",RHODESMB 68-68 (0),,"GOOD FT by SLEDGE,TATE",4
01:23,,68,,69 (+1),"GOOD FT by SLEDGE,TATE",RHODESMB 68-69 (+1),,"GOOD FT by SLEDGE,TATE",4
01:23,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",4
01:23,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",4
01:02,"GOOD LAYUP by BATES,ROMELLO(in the paint)",70 (+1),,69,,OUM 70-69 (-1),,"GOOD LAYUP by BATES,ROMELLO(in the paint)",4
01:02,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",4
01:02,"GOOD FT by BATES,ROMELLO",71 (+2),,69,,OUM 71-69 (-2),,"GOOD FT by BATES,ROMELLO",4
01:02,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",4
01:02,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",4
00:33,,71,,72 (+1),"GOOD 3PTR by DUNAVANT,JOHNNY",RHODESMB 71-72 (+1),,"GOOD 3PTR by DUNAVANT,JOHNNY",4
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",4
00:26,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",4
00:26,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",4
00:24,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,4
00:16,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",4
00:16,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",4
00:16,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",4
00:16,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",4
00:15,"GOOD LAYUP by PATRICK,DREW(in the paint)",73 (+1),,72,,OUM 73-72 (-1),,"GOOD LAYUP by PATRICK,DREW(in the paint)",4
00:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,4
00:00,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",4
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,4
