Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
06:50,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
06:49,"STEAL  by GUMM,GABE",,,,,,,"STEAL  by GUMM,GABE",1
06:48,,,,,"FOUL  by DUNAVANT,JOHNNY",,,"FOUL  by DUNAVANT,JOHNNY",1
06:48,"GOOD FT by OGLE,JOHN",19,,29 (+10),,HENDRIX 19-29 (+10),,"GOOD FT by OGLE,JOHN",1
06:48,"GOOD FT by OGLE,JOHN",20,,29 (+9),,HENDRIX 20-29 (+9),,"GOOD FT by OGLE,JOHN",1
06:48,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
06:48,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
06:25,,20,,31 (+11),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 20-31 (+11),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
06:25,"FOUL  by PRIMM,COLTON",,,,,,,"FOUL  by PRIMM,COLTON",1
06:25,,20,,32 (+12),"GOOD FT by HOECK,RYAN VAN",RHODES 20-32 (+12),,"GOOD FT by HOECK,RYAN VAN",1
06:10,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
05:55,,,,,"MISS LAYUP by DUNAVANT,JOHNNY",,,"MISS LAYUP by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
05:48,"GOOD LAYUP by OGLE,JOHN(in the paint)",22,,32 (+10),,HENDRIX 22-32 (+10),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",1
05:31,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",1
05:31,,22,,33 (+11),"GOOD FT by COLLINS,LUKE",RHODES 22-33 (+11),,"GOOD FT by COLLINS,LUKE",1
05:31,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",1
05:31,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",1
05:24,,22,,34 (+12),"GOOD FT by COLLINS,LUKE",RHODES 22-34 (+12),,"GOOD FT by COLLINS,LUKE",1
05:16,"TURNOVER  by BARRETT,JORDAN",,,,,,,"TURNOVER  by BARRETT,JORDAN",1
05:14,"FOUL  by BARRETT,JORDAN",,,,,,,"FOUL  by BARRETT,JORDAN",1
05:14,,22,,35 (+13),"GOOD FT by COLLINS,LUKE",RHODES 22-35 (+13),,"GOOD FT by COLLINS,LUKE",1
05:14,,22,,36 (+14),"GOOD FT by COLLINS,LUKE",RHODES 22-36 (+14),,"GOOD FT by COLLINS,LUKE",1
05:14,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",1
05:14,"SUB OUT by BARRETT,JORDAN",,,,,,,"SUB OUT by BARRETT,JORDAN",1
05:14,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
05:14,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
05:03,"GOOD JUMPER by OGLE,JOHN",24,,36 (+12),,HENDRIX 24-36 (+12),,"GOOD JUMPER by OGLE,JOHN",1
--,"ASSIST  by ALDOUS,HANK",,,,,,,"ASSIST  by ALDOUS,HANK",1
04:51,,,,,"MISS JUMPER by DUNAVANT,JOHNNY",,,"MISS JUMPER by DUNAVANT,JOHNNY",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
04:38,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
04:38,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:38,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
04:38,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
04:38,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
04:38,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
04:38,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
04:17,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
04:15,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",1
03:53,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
03:50,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
03:50,,,,,"BLOCK  by WATSON,SHANE",,,"BLOCK  by WATSON,SHANE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:48,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",1
03:48,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:48,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
03:48,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
03:46,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",1
03:46,"GOOD FT by VANCE,LUKE",25,,36 (+11),,HENDRIX 25-36 (+11),,"GOOD FT by VANCE,LUKE",1
03:46,"GOOD FT by VANCE,LUKE",26,,36 (+10),,HENDRIX 26-36 (+10),,"GOOD FT by VANCE,LUKE",1
03:38,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
03:37,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",1
03:37,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
03:37,"MISS FT by PRIMM,COLTON",,,,,,,"MISS FT by PRIMM,COLTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:37,"MISS FT by PRIMM,COLTON",,,,,,,"MISS FT by PRIMM,COLTON",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
03:37,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
03:37,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:10,,26,,38 (+12),"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",RHODES 26-38 (+12),,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
02:55,"GOOD 3PTR by NIKOLOVSKI,DREW",29,,38 (+9),,HENDRIX 29-38 (+9),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
02:41,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",1
02:41,"BLOCK  by ALDOUS,HANK",,,,,,,"BLOCK  by ALDOUS,HANK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:41,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
02:41,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
02:29,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
02:10,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND OFF by NIKOLOVSKI,DREW",,,,,,,"REBOUND OFF by NIKOLOVSKI,DREW",1
02:07,"MISS LAYUP by NIKOLOVSKI,DREW",,,,,,,"MISS LAYUP by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHNNY",,,"REBOUND DEF by DUNAVANT,JOHNNY",1
01:55,,29,,40 (+11),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 29-40 (+11),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
01:38,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
01:20,,29,,43 (+14),"GOOD 3PTR by MCGRAIL,PATRICK",RHODES 29-43 (+14),,"GOOD 3PTR by MCGRAIL,PATRICK",1
