Time Remaining,AC-M,Away Team Score,Play Team Indicator,Home Team Score,RHODESMB,Game Score,Team Indicator,Play,Period
00:34,"FOUL  by SULLIVAN,ALAN",,,,,,,"FOUL  by SULLIVAN,ALAN",2
00:34,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:34,,85 (+2),,83,"GOOD FT by HOECK,RYAN VAN",RHODESMB 85-83 (-2),,"GOOD FT by HOECK,RYAN VAN",2
00:34,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
00:34,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
00:32,,,,,"FOUL  by SLEDGE,TATE",,,"FOUL  by SLEDGE,TATE",2
00:32,"GOOD FT by OKPALA,RANSOM",86 (+3),,83,,AC-M 86-83 (-3),,"GOOD FT by OKPALA,RANSOM",2
00:32,"GOOD FT by OKPALA,RANSOM",87 (+4),,83,,AC-M 87-83 (-4),,"GOOD FT by OKPALA,RANSOM",2
00:32,"SUB IN by MICHAEL,ALVIN",,,,,,,"SUB IN by MICHAEL,ALVIN",2
00:32,"SUB OUT by SWISHER,JEREMY",,,,,,,"SUB OUT by SWISHER,JEREMY",2
00:32,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
00:32,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
00:26,"FOUL  by BAEHL,BRIAN",,,,,,,"FOUL  by BAEHL,BRIAN",2
00:26,,87 (+3),,84,"GOOD FT by COLLINS,LUKE",RHODESMB 87-84 (-3),,"GOOD FT by COLLINS,LUKE",2
00:26,,87 (+2),,85,"GOOD FT by COLLINS,LUKE",RHODESMB 87-85 (-2),,"GOOD FT by COLLINS,LUKE",2
00:26,,87 (+1),,86,"GOOD FT by COLLINS,LUKE",RHODESMB 87-86 (-1),,"GOOD FT by COLLINS,LUKE",2
00:26,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",2
00:26,"GOOD FT by BAEHL,BRIAN",88 (+2),,86,,AC-M 88-86 (-2),,"GOOD FT by BAEHL,BRIAN",2
00:26,"GOOD FT by BAEHL,BRIAN",89 (+3),,86,,AC-M 89-86 (-3),,"GOOD FT by BAEHL,BRIAN",2
00:26,"SUB IN by SWISHER,JEREMY",,,,,,,"SUB IN by SWISHER,JEREMY",2
00:26,"SUB OUT by MICHAEL,ALVIN",,,,,,,"SUB OUT by MICHAEL,ALVIN",2
00:26,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",2
00:26,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
00:17,,,,,"MISS 3PTR by SLEDGE,TATE",,,"MISS 3PTR by SLEDGE,TATE",2
--,"REBOUND DEF by OKPALA,RANSOM",,,,,,,"REBOUND DEF by OKPALA,RANSOM",2
00:13,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
00:13,"GOOD FT by OKPALA,RANSOM",90 (+4),,86,,AC-M 90-86 (-4),,"GOOD FT by OKPALA,RANSOM",2
00:13,"GOOD FT by OKPALA,RANSOM",91 (+5),,86,,AC-M 91-86 (-5),,"GOOD FT by OKPALA,RANSOM",2
00:13,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
00:13,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
00:06,,,,,"MISS 3PTR by HOECK,RYAN VAN",,,"MISS 3PTR by HOECK,RYAN VAN",2
--,,,,,"REBOUND OFF by DUNAVANT,JOHNNY",,,"REBOUND OFF by DUNAVANT,JOHNNY",2
00:01,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",,,"MISS 3PTR by DUNAVANT,JOHNNY",2
00:01,"BLOCK  by SULLIVAN,ALAN",,,,,,,"BLOCK  by SULLIVAN,ALAN",2
--,"REBOUND DEF by SWISHER,JEREMY",,,,,,,"REBOUND DEF by SWISHER,JEREMY",2
