Time Remaining,MILLSMBB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
02:19,"TURNOVER  by WILSON,KEVIN",,,,,,,"TURNOVER  by WILSON,KEVIN",1
02:12,,,,,"STEAL  by GALLAGHER,MICHAEL",,,"STEAL  by GALLAGHER,MICHAEL",1
02:01,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
01:28,"GOOD 3PTR by CORTESE,NICK",35 (+7),,28,,MILLSMBB 35-28 (-7),,"GOOD 3PTR by CORTESE,NICK",1
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",1
01:00,,35 (+4),,31,"GOOD 3PTR by LIVSEY,GEOFF",RCMBB13 35-31 (-4),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
00:40,"MISS LAYUP by ALLISON,BRANDON",,,,,,,"MISS LAYUP by ALLISON,BRANDON",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
00:06,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",1
00:06,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
00:06,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",1
00:06,"SUB OUT by ALLISON,BRANDON",,,,,,,"SUB OUT by ALLISON,BRANDON",1
00:06,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
00:00,"GOOD 3PTR by KASTNER,MURRAY",38 (+7),,31,,MILLSMBB 38-31 (-7),,"GOOD 3PTR by KASTNER,MURRAY",1
19:35,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
--,,,,,"REBOUND OFF by GALOW,ANDREW",,,"REBOUND OFF by GALOW,ANDREW",2
19:18,,38 (+5),,33,"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB13 38-33 (-5),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
19:01,"MISS 3PTR by WILSON,KEVIN",,,,,,,"MISS 3PTR by WILSON,KEVIN",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
18:42,,38 (+3),,35,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 38-35 (-3),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
18:22,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
18:18,"MISS LAYUP by CORTESE,NICK",,,,,,,"MISS LAYUP by CORTESE,NICK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:09,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",2
17:42,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
17:41,"STEAL  by CORTESE,NICK",,,,,,,"STEAL  by CORTESE,NICK",2
17:37,"GOOD LAYUP by BERGER,RYAN(fastbreak)(in the paint)",40 (+5),,35,,MILLSMBB 40-35 (-5),,"GOOD LAYUP by BERGER,RYAN(fastbreak)(in the paint)",2
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",2
17:22,,40 (+3),,37,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 40-37 (-3),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
16:56,"TURNOVER  by WILSON,KEVIN",,,,,,,"TURNOVER  by WILSON,KEVIN",2
16:55,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
16:41,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",2
16:40,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",2
16:17,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
16:17,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
16:17,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
16:12,"MISS LAYUP by ROBERTSON,MARC",,,,,,,"MISS LAYUP by ROBERTSON,MARC",2
16:12,,,,,"BLOCK  by LIVSEY,GEOFF",,,"BLOCK  by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
16:05,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
16:05,,40 (+2),,38,"GOOD FT by GALOW,ANDREW",RCMBB13 40-38 (-2),,"GOOD FT by GALOW,ANDREW",2
16:05,,40 (+1),,39,"GOOD FT by GALOW,ANDREW",RCMBB13 40-39 (-1),,"GOOD FT by GALOW,ANDREW",2
16:05,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",2
16:05,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
15:49,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:37,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:27,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",2
15:27,,40,,40,"GOOD FT by HARTWELL,THEO",RCMBB13 40-40 (0),,"GOOD FT by HARTWELL,THEO",2
15:27,,40,,41 (+1),"GOOD FT by HARTWELL,THEO",RCMBB13 40-41 (+1),,"GOOD FT by HARTWELL,THEO",2
15:27,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
15:27,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",2
14:54,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
14:50,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
14:46,,40,,43 (+3),"GOOD JUMPER by GALOW,ANDREW(fastbreak)(in the paint)",RCMBB13 40-43 (+3),,"GOOD JUMPER by GALOW,ANDREW(fastbreak)(in the paint)",2
14:46,"FOUL  by CORTESE,NICK",,,,,,,"FOUL  by CORTESE,NICK",2
14:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
14:46,,40,,44 (+4),"GOOD FT by GALOW,ANDREW",RCMBB13 40-44 (+4),,"GOOD FT by GALOW,ANDREW",2
14:46,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
14:46,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
14:46,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
14:46,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
14:22,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
14:03,"MISS 3PTR by GRIFFON,JACKSON",,,,,,,"MISS 3PTR by GRIFFON,JACKSON",2
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",2
13:54,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",2
13:40,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",42,,44 (+2),,MILLSMBB 42-44 (+2),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",2
