Time Remaining,RCMBB13,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
04:28,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by HAMILTON,PRICE",,,"REBOUND DEF by HAMILTON,PRICE",1
04:17,,28 (+13),,15,"GOOD 3PTR by PITTS,ALEC",OUM 28-15 (+13),,"GOOD 3PTR by PITTS,ALEC",1
--,,,,,"ASSIST  by JOVAAG,BRANDEN",,,"ASSIST  by JOVAAG,BRANDEN",1
03:54,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",1
03:53,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",1
03:53,"SUB IN by MILLER,DREW",,,,,,,"SUB IN by MILLER,DREW",1
03:53,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",1
03:53,"SUB OUT by HOECK,RYAN VAN",,,,,,,"SUB OUT by HOECK,RYAN VAN",1
03:53,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
03:53,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
03:42,,28 (+10),,18,"GOOD 3PTR by COURSON,TYLER",OUM 28-18 (+10),,"GOOD 3PTR by COURSON,TYLER",1
--,,,,,"ASSIST  by MOLINET,CHRISTIAN",,,"ASSIST  by MOLINET,CHRISTIAN",1
03:15,"GOOD 3PTR by GALLAGHER,MICHAEL",31 (+13),,18,,RCMBB13 31-18 (+13),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
--,"ASSIST  by MILLER,DREW",,,,,,,"ASSIST  by MILLER,DREW",1
03:04,,,,,"MISS 3PTR by PITTS,ALEC",,,"MISS 3PTR by PITTS,ALEC",1
--,,,,,"REBOUND OFF by COURSON,TYLER",,,"REBOUND OFF by COURSON,TYLER",1
02:52,,,,,"MISS JUMPER by COURSON,TYLER",,,"MISS JUMPER by COURSON,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:50,"FOUL  by MILLER,DREW",,,,,,,"FOUL  by MILLER,DREW",1
02:41,,,,,"MISS JUMPER by COURSON,TYLER",,,"MISS JUMPER by COURSON,TYLER",1
--,,,,,"REBOUND OFF by PITTS,ALEC",,,"REBOUND OFF by PITTS,ALEC",1
02:38,"FOUL  by GALLAGHER,MICHAEL",,,,,,,"FOUL  by GALLAGHER,MICHAEL",1
02:22,,,,,"MISS LAYUP by HAMILTON,PRICE",,,"MISS LAYUP by HAMILTON,PRICE",1
