Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
04:27,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",4
04:27,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",4
04:14,,73,,77 (+4),"GOOD LAYUP by CAMMON,JOSH(in the paint)",OU 73-77 (-4),,"GOOD LAYUP by CAMMON,JOSH(in the paint)",4
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",4
03:54,"TURNOVER  by II,ROD CUMMINGS",,,,,,,"TURNOVER  by II,ROD CUMMINGS",4
03:52,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",4
03:32,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",4
03:30,"STEAL  by II,ROD CUMMINGS",,,,,,,"STEAL  by II,ROD CUMMINGS",4
03:28,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",4
03:28,"SUB OUT by PHILLIP,ADAM",,,,,,,"SUB OUT by PHILLIP,ADAM",4
03:16,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",4
--,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",,,"REBOUND DEF by CHAMBERS,DIMETRI",4
02:52,,,,,"MISS 3PTR by CAMMON,JOSH",,,"MISS 3PTR by CAMMON,JOSH",4
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",4
02:34,"GOOD 3PTR by COMAN,SEAN",76,,77 (+1),,HC 76-77 (-1),,"GOOD 3PTR by COMAN,SEAN",4
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",4
02:18,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",4
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",4
01:45,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",4
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",4
01:26,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",4
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",4
01:23,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",4
01:23,,76,,78 (+2),"GOOD FT by FOSTER,LANE",OU 76-78 (-2),,"GOOD FT by FOSTER,LANE",4
01:23,,76,,79 (+3),"GOOD FT by FOSTER,LANE",OU 76-79 (-3),,"GOOD FT by FOSTER,LANE",4
01:09,,,,,"FOUL  by CAMMON,JOSH",,,"FOUL  by CAMMON,JOSH",4
01:09,"GOOD FT by LINK,JACOB",77,,79 (+2),,HC 77-79 (-2),,"GOOD FT by LINK,JACOB",4
01:09,"GOOD FT by LINK,JACOB",78,,79 (+1),,HC 78-79 (-1),,"GOOD FT by LINK,JACOB",4
00:54,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",4
00:51,"STEAL  by LINK,JACOB",,,,,,,"STEAL  by LINK,JACOB",4
00:49,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",80 (+1),,79,,HC 80-79 (+1),,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",4
00:46,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",4
00:46,"GOOD FT by LINK,JACOB",81 (+2),,79,,HC 81-79 (+2),,"GOOD FT by LINK,JACOB",4
00:39,,81,,81,"GOOD LAYUP by FOSTER,LANE(in the paint)",OU 81-81 (0),,"GOOD LAYUP by FOSTER,LANE(in the paint)",4
00:39,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",4
00:39,,81,,82 (+1),"GOOD FT by FOSTER,LANE",OU 81-82 (-1),,"GOOD FT by FOSTER,LANE",4
00:16,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",4
00:15,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",4
00:12,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",4
00:12,,81,,83 (+2),"GOOD FT by CAMMON,JOSH",OU 81-83 (-2),,"GOOD FT by CAMMON,JOSH",4
00:12,,81,,84 (+3),"GOOD FT by CAMMON,JOSH",OU 81-84 (-3),,"GOOD FT by CAMMON,JOSH",4
00:12,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,4
00:12,"SUB IN by PRINS,ZACHARY",,,,,,,"SUB IN by PRINS,ZACHARY",4
00:12,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",4
00:12,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",4
00:12,,,,,"SUB IN by DAY,JUSTIN",,,"SUB IN by DAY,JUSTIN",4
00:12,,,,,"SUB OUT by DAY,JUSTIN",,,"SUB OUT by DAY,JUSTIN",4
00:12,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",4
00:04,"FOUL  by PRINS,ZACHARY",,,,,,,"FOUL  by PRINS,ZACHARY",4
00:04,"TURNOVER  by PRINS,ZACHARY",,,,,,,"TURNOVER  by PRINS,ZACHARY",4
00:03,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",4
00:03,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",4
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,4
00:03,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,4
00:03,,81,,85 (+4),"GOOD FT by FOSTER,LANE",OU 81-85 (-4),,"GOOD FT by FOSTER,LANE",4
00:03,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",4
00:03,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",4
00:03,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",4
00:03,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",4
