Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
01:49,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by ZERADJANIN,MILOS",,,,,,,"REBOUND DEF by ZERADJANIN,MILOS",1
01:41,"GOOD 3PTR by JACKSON,TYLER(fastbreak)",24,,28 (+4),,MUW 24-28 (+4),,"GOOD 3PTR by JACKSON,TYLER(fastbreak)",1
--,"ASSIST  by ZERADJANIN,MILOS",,,,,,,"ASSIST  by ZERADJANIN,MILOS",1
01:23,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by KIMMONS,BRIEN",,,,,,,"REBOUND DEF by KIMMONS,BRIEN",1
01:16,"MISS 3PTR by JACKSON,TYLER",,,,,,,"MISS 3PTR by JACKSON,TYLER",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
01:07,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:45,,,,,"MISS LAYUP by STANLEY,SETH",,,"MISS LAYUP by STANLEY,SETH",1
--,,,,,"REBOUND OFF by EATON,JACK",,,"REBOUND OFF by EATON,JACK",1
00:42,,24,,30 (+6),"GOOD LAYUP by EATON,JACK(in the paint)",Hend 24-30 (+6),,"GOOD LAYUP by EATON,JACK(in the paint)",1
00:23,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",1
00:23,"GOOD FT by ZERADJANIN,MILOS",25,,30 (+5),,MUW 25-30 (+5),,"GOOD FT by ZERADJANIN,MILOS",1
00:23,"GOOD FT by ZERADJANIN,MILOS",26,,30 (+4),,MUW 26-30 (+4),,"GOOD FT by ZERADJANIN,MILOS",1
00:23,"SUB IN by HARRIS,KEITH",,,,,,,"SUB IN by HARRIS,KEITH",1
00:23,"SUB OUT by KIMMONS,BRIEN",,,,,,,"SUB OUT by KIMMONS,BRIEN",1
00:08,"FOUL  by ZERADJANIN,MILOS",,,,,,,"FOUL  by ZERADJANIN,MILOS",1
00:08,,,,,"MISS FT by EATON,JACK",,,"MISS FT by EATON,JACK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:08,,26,,31 (+5),"GOOD FT by EATON,JACK",Hend 26-31 (+5),,"GOOD FT by EATON,JACK",1
00:01,"MISS 3PTR by JACKSON,TYLER",,,,,,,"MISS 3PTR by JACKSON,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by WILKERSON,CARLOS",,,,,,,"SUB IN by WILKERSON,CARLOS",2
20:00,"SUB IN by JONES,TAVONTA",,,,,,,"SUB IN by JONES,TAVONTA",2
20:00,"SUB OUT by JACKSON,TYLER",,,,,,,"SUB OUT by JACKSON,TYLER",2
20:00,"SUB OUT by ZERADJANIN,MILOS",,,,,,,"SUB OUT by ZERADJANIN,MILOS",2
20:00,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
20:00,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",2
19:50,"FOUL  by JONES,TAVONTA",,,,,,,"FOUL  by JONES,TAVONTA",2
19:50,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:50,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",2
--,"REBOUND DEF by WILKERSON,CARLOS",,,,,,,"REBOUND DEF by WILKERSON,CARLOS",2
19:29,"MISS 3PTR by HARRIS,KEITH",,,,,,,"MISS 3PTR by HARRIS,KEITH",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:11,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by HARRIS,KEITH",,,,,,,"REBOUND DEF by HARRIS,KEITH",2
18:54,"GOOD JUMPER by HINES,JAQUAN(in the paint)",28,,31 (+3),,MUW 28-31 (+3),,"GOOD JUMPER by HINES,JAQUAN(in the paint)",2
18:54,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
18:54,"GOOD FT by HINES,JAQUAN",29,,31 (+2),,MUW 29-31 (+2),,"GOOD FT by HINES,JAQUAN",2
18:30,"FOUL  by HINES,JAQUAN",,,,,,,"FOUL  by HINES,JAQUAN",2
18:29,,,,,"MISS FT by II,ROD CUMMINGS",,,"MISS FT by II,ROD CUMMINGS",2
