Time Remaining,BBC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
04:37,,,,,"SUB OUT by CRAWFORD,TRACE",,,"SUB OUT by CRAWFORD,TRACE",2
04:37,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",2
04:37,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
04:24,,,,,"MISS JUMPER by WARREN,JOSH",,,"MISS JUMPER by WARREN,JOSH",2
--,"REBOUND DEF by PORTER,AUSTIN",,,,,,,"REBOUND DEF by PORTER,AUSTIN",2
04:14,"GOOD JUMPER by CARTER,BRANDON(in the paint)",47,,73 (+26),,BBC 47-73 (+26),,"GOOD JUMPER by CARTER,BRANDON(in the paint)",2
--,"ASSIST  by MCCONE,SEAN",,,,,,,"ASSIST  by MCCONE,SEAN",2
04:01,,,,,"MISS LAYUP by JOHNSON,DAMECKO",,,"MISS LAYUP by JOHNSON,DAMECKO",2
--,"REBOUND DEF by STANTON,GAVIN",,,,,,,"REBOUND DEF by STANTON,GAVIN",2
03:52,"MISS 3PTR by CARTER,STERLING",,,,,,,"MISS 3PTR by CARTER,STERLING",2
--,,,,,"REBOUND DEF by JOHNSON,DAMECKO",,,"REBOUND DEF by JOHNSON,DAMECKO",2
03:47,"FOUL  by PORTER,AUSTIN",,,,,,,"FOUL  by PORTER,AUSTIN",2
03:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:47,,47,,74 (+27),"GOOD FT by JOHNSON,DAMECKO",HENDRIXM 47-74 (+27),,"GOOD FT by JOHNSON,DAMECKO",2
03:47,,47,,75 (+28),"GOOD FT by JOHNSON,DAMECKO",HENDRIXM 47-75 (+28),,"GOOD FT by JOHNSON,DAMECKO",2
03:47,"SUB IN by CARTER,BRANDON",,,,,,,"SUB IN by CARTER,BRANDON",2
03:47,"SUB IN by MCCONE,SEAN",,,,,,,"SUB IN by MCCONE,SEAN",2
03:47,"SUB IN by STANTON,GAVIN",,,,,,,"SUB IN by STANTON,GAVIN",2
03:47,"SUB IN by FLOWERS,TRE",,,,,,,"SUB IN by FLOWERS,TRE",2
03:47,"SUB IN by CARTER,STERLING",,,,,,,"SUB IN by CARTER,STERLING",2
03:47,"SUB OUT by CARTER,BRANDON",,,,,,,"SUB OUT by CARTER,BRANDON",2
03:47,"SUB OUT by PORTER,AUSTIN",,,,,,,"SUB OUT by PORTER,AUSTIN",2
03:47,"SUB OUT by MCCONE,SEAN",,,,,,,"SUB OUT by MCCONE,SEAN",2
03:47,"SUB OUT by STANTON,GAVIN",,,,,,,"SUB OUT by STANTON,GAVIN",2
03:47,"SUB OUT by CARTER,STERLING",,,,,,,"SUB OUT by CARTER,STERLING",2
03:47,,,,,"SUB IN by MAXWELL,PEYTON",,,"SUB IN by MAXWELL,PEYTON",2
03:47,,,,,"SUB OUT by MOORE,AUSTIN",,,"SUB OUT by MOORE,AUSTIN",2
03:44,"GOOD JUMPER by CARTER,BRANDON",49,,75 (+26),,BBC 49-75 (+26),,"GOOD JUMPER by CARTER,BRANDON",2
--,"ASSIST  by STANTON,GAVIN",,,,,,,"ASSIST  by STANTON,GAVIN",2
03:26,,,,,"MISS 3PTR by PRINS,ZACHARY",,,"MISS 3PTR by PRINS,ZACHARY",2
--,,,,,"REBOUND OFF by JOHNSON,DAMECKO",,,"REBOUND OFF by JOHNSON,DAMECKO",2
03:20,,49,,77 (+28),"GOOD LAYUP by JOHNSON,DAMECKO(in the paint)",HENDRIXM 49-77 (+28),,"GOOD LAYUP by JOHNSON,DAMECKO(in the paint)",2
03:13,,,,,"FOUL  by PRINS,ZACHARY",,,"FOUL  by PRINS,ZACHARY",2
03:13,"GOOD FT by CARTER,BRANDON",50,,77 (+27),,BBC 50-77 (+27),,"GOOD FT by CARTER,BRANDON",2
03:13,"GOOD FT by CARTER,BRANDON",51,,77 (+26),,BBC 51-77 (+26),,"GOOD FT by CARTER,BRANDON",2
03:08,"FOUL  by CARTER,STERLING",,,,,,,"FOUL  by CARTER,STERLING",2
03:08,,51,,78 (+27),"GOOD FT by WARREN,JOSH",HENDRIXM 51-78 (+27),,"GOOD FT by WARREN,JOSH",2
03:08,,51,,79 (+28),"GOOD FT by WARREN,JOSH",HENDRIXM 51-79 (+28),,"GOOD FT by WARREN,JOSH",2
03:08,,,,,"SUB IN by WILLIAMS,TYLER",,,"SUB IN by WILLIAMS,TYLER",2
03:08,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",2
02:55,"MISS 3PTR by STANTON,GAVIN",,,,,,,"MISS 3PTR by STANTON,GAVIN",2
--,"REBOUND OFF by FLOWERS,TRE",,,,,,,"REBOUND OFF by FLOWERS,TRE",2
02:47,"MISS 3PTR by MCCONE,SEAN",,,,,,,"MISS 3PTR by MCCONE,SEAN",2
--,,,,,"REBOUND DEF by JOHNSON,DAMECKO",,,"REBOUND DEF by JOHNSON,DAMECKO",2
02:25,,51,,82 (+31),"GOOD 3PTR by JOHNSON,DAMECKO",HENDRIXM 51-82 (+31),,"GOOD 3PTR by JOHNSON,DAMECKO",2
--,,,,,"ASSIST  by WARREN,JOSH",,,"ASSIST  by WARREN,JOSH",2
02:08,"GOOD LAYUP by FLOWERS,TRE(in the paint)",53,,82 (+29),,BBC 53-82 (+29),,"GOOD LAYUP by FLOWERS,TRE(in the paint)",2
01:58,"FOUL  by CARTER,BRANDON",,,,,,,"FOUL  by CARTER,BRANDON",2
01:58,,53,,83 (+30),"GOOD FT by JOHNSON,DAMECKO",HENDRIXM 53-83 (+30),,"GOOD FT by JOHNSON,DAMECKO",2
01:58,,53,,84 (+31),"GOOD FT by JOHNSON,DAMECKO",HENDRIXM 53-84 (+31),,"GOOD FT by JOHNSON,DAMECKO",2
01:58,,,,,"SUB IN by GIBSON,JASON",,,"SUB IN by GIBSON,JASON",2
01:58,,,,,"SUB IN by ALLEN,GRAYSON",,,"SUB IN by ALLEN,GRAYSON",2
01:58,,,,,"SUB OUT by PRINS,ZACHARY",,,"SUB OUT by PRINS,ZACHARY",2
01:58,,,,,"SUB OUT by WARREN,JOSH",,,"SUB OUT by WARREN,JOSH",2
01:49,"MISS 3PTR by FLOWERS,TRE",,,,,,,"MISS 3PTR by FLOWERS,TRE",2
--,"REBOUND OFF by CARTER,STERLING",,,,,,,"REBOUND OFF by CARTER,STERLING",2
01:26,,,,,"FOUL  by ALLEN,GRAYSON",,,"FOUL  by ALLEN,GRAYSON",2
01:23,"GOOD FT by MEINDERS,DAWSOM",54,,84 (+30),,BBC 54-84 (+30),,"GOOD FT by MEINDERS,DAWSOM",2
01:23,"GOOD FT by MEINDERS,DAWSOM",55,,84 (+29),,BBC 55-84 (+29),,"GOOD FT by MEINDERS,DAWSOM",2
01:22,"FOUL  by CARTER,STERLING",,,,,,,"FOUL  by CARTER,STERLING",2
01:22,,,,,"MISS FT by ALLEN,GRAYSON",,,"MISS FT by ALLEN,GRAYSON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:22,,55,,85 (+30),"GOOD FT by ALLEN,GRAYSON",HENDRIXM 55-85 (+30),,"GOOD FT by ALLEN,GRAYSON",2
01:17,"MISS JUMPER by FLOWERS,TRE",,,,,,,"MISS JUMPER by FLOWERS,TRE",2
--,,,,,"REBOUND DEF by WILLIAMS,TYLER",,,"REBOUND DEF by WILLIAMS,TYLER",2
01:01,,,,,"MISS 3PTR by MAXWELL,PEYTON",,,"MISS 3PTR by MAXWELL,PEYTON",2
--,,,,,"REBOUND OFF by WILLIAMS,TYLER",,,"REBOUND OFF by WILLIAMS,TYLER",2
00:56,,55,,87 (+32),"GOOD LAYUP by WILLIAMS,TYLER(in the paint)",HENDRIXM 55-87 (+32),,"GOOD LAYUP by WILLIAMS,TYLER(in the paint)",2
00:49,"MISS 3PTR by MCCONE,SEAN",,,,,,,"MISS 3PTR by MCCONE,SEAN",2
--,,,,,"REBOUND DEF by WILLIAMS,TYLER",,,"REBOUND DEF by WILLIAMS,TYLER",2
00:33,,,,,"MISS LAYUP by ALLEN,GRAYSON",,,"MISS LAYUP by ALLEN,GRAYSON",2
00:33,"BLOCK  by MCCONE,SEAN",,,,,,,"BLOCK  by MCCONE,SEAN",2
--,"REBOUND DEF by FLOWERS,TRE",,,,,,,"REBOUND DEF by FLOWERS,TRE",2
00:22,"MISS LAYUP by FLOWERS,TRE",,,,,,,"MISS LAYUP by FLOWERS,TRE",2
--,,,,,"REBOUND DEF by ALLEN,GRAYSON",,,"REBOUND DEF by ALLEN,GRAYSON",2
00:14,,,,,"TURNOVER  by MAXWELL,PEYTON",,,"TURNOVER  by MAXWELL,PEYTON",2
00:11,"MISS 3PTR by CARTER,STERLING",,,,,,,"MISS 3PTR by CARTER,STERLING",2
--,,,,,"REBOUND DEF by MAXWELL,PEYTON",,,"REBOUND DEF by MAXWELL,PEYTON",2
