Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
04:36,,20,,29 (+9),"GOOD 3PTR by COMAN,SEAN",HENDRIXM 20-29 (+9),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
04:16,"MISS JUMPER by MORRISON,JASON",,,,,,,"MISS JUMPER by MORRISON,JASON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:13,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
04:13,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
04:13,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
04:13,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
04:13,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
04:13,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
04:13,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
04:13,"SUB OUT by MORRISON,JASON",,,,,,,"SUB OUT by MORRISON,JASON",1
04:13,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
04:13,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
04:11,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",22,,29 (+7),,BSC-M 22-29 (+7),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",1
03:56,,22,,31 (+9),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIXM 22-31 (+9),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",1
03:48,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
03:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
