Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SPA,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by GOEING,BRANDON",,,"REBOUND DEF by GOEING,BRANDON",1
06:57,"FOUL  by EBERT,CARSON",,,,,,,"FOUL  by EBERT,CARSON",1
06:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:57,,,,,"SUB IN by SMITH,TEREZ",,,"SUB IN by SMITH,TEREZ",1
06:57,,,,,"SUB OUT by TRISKO,NICK",,,"SUB OUT by TRISKO,NICK",1
06:46,,,,,"MISS 3PTR by GOEING,BRANDON",,,"MISS 3PTR by GOEING,BRANDON",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
06:19,"GOOD LAYUP by GUMP,MATT(in the paint)",11,,15 (+4),,CEN 11-15 (-4),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
06:16,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
06:16,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
06:16,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
06:16,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
06:16,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
06:16,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
06:16,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
06:16,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
06:16,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
06:16,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
06:16,,,,,"SUB IN by TRISKO,NICK",,,"SUB IN by TRISKO,NICK",1
06:16,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
06:16,,,,,"SUB IN by JEANNELAS,MATT",,,"SUB IN by JEANNELAS,MATT",1
