Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
02:53,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",1
02:53,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
02:53,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
02:53,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
02:44,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",1
02:44,"MISS FT by GALVIN,DANIEL",,,,,,,"MISS FT by GALVIN,DANIEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:44,"MISS FT by GALVIN,DANIEL",,,,,,,"MISS FT by GALVIN,DANIEL",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
02:27,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
02:27,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
02:26,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1
02:25,"STEAL  by WEIR,JJ",,,,,,,"STEAL  by WEIR,JJ",1
02:18,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
01:59,,15,,28 (+13),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CEN 15-28 (+13),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
01:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:30,"MISS JUMPER by WEIR,JJ",,,,,,,"MISS JUMPER by WEIR,JJ",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
01:13,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",1
--,"REBOUND DEF by GALVIN,DANIEL",,,,,,,"REBOUND DEF by GALVIN,DANIEL",1
00:58,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",1
00:58,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
00:58,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",1
00:58,,,,,"MISS FT by SINE,TUCKER",,,"MISS FT by SINE,TUCKER",1
--,"REBOUND DEF by GALVIN,DANIEL",,,,,,,"REBOUND DEF by GALVIN,DANIEL",1
00:58,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
00:58,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
00:58,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
00:58,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
00:58,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
00:58,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
00:58,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
00:58,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
00:38,"MISS LAYUP by GALVIN,DANIEL",,,,,,,"MISS LAYUP by GALVIN,DANIEL",1
00:38,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
00:11,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
00:09,,15,,30 (+15),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CEN 15-30 (+15),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
00:02,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",1
00:00,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:43,"MISS LAYUP by GALVIN,DANIEL",,,,,,,"MISS LAYUP by GALVIN,DANIEL",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
19:27,,15,,32 (+17),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CEN 15-32 (+17),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
19:09,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",2
19:09,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",2
18:47,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
18:38,,15,,34 (+19),"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CEN 15-34 (+19),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",2
18:15,"GOOD JUMPER by GEE,TYLER",17,,34 (+17),,RHO 17-34 (+17),,"GOOD JUMPER by GEE,TYLER",2
17:54,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",2
17:38,"MISS 3PTR by WEIR,JJ",,,,,,,"MISS 3PTR by WEIR,JJ",2
