Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,FC,Game Score,Team Indicator,Play,Period
01:46,,,,,"STEAL  by SARGENT,TERRY",,,"STEAL  by SARGENT,TERRY",3
01:44,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",3
01:44,,94,,94,"GOOD FT by SARGENT,TERRY",FC 94-94 (0),,"GOOD FT by SARGENT,TERRY",3
01:44,,,,,"MISS FT by SARGENT,TERRY",,,"MISS FT by SARGENT,TERRY",3
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",3
01:16,"TURNOVER  by MURRAY,RYAN",,,,,,,"TURNOVER  by MURRAY,RYAN",3
01:12,,,,,"STEAL  by PORTER,TROY",,,"STEAL  by PORTER,TROY",3
01:10,,94,,96 (+2),"GOOD LAYUP by WASHINGTON,TRAE(in the paint)",FC 94-96 (+2),,"GOOD LAYUP by WASHINGTON,TRAE(in the paint)",3
01:10,"FOUL  by MURRAY,RYAN",,,,,,,"FOUL  by MURRAY,RYAN",3
01:10,,94,,97 (+3),"GOOD FT by WASHINGTON,TRAE",FC 94-97 (+3),,"GOOD FT by WASHINGTON,TRAE",3
00:52,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",3
00:52,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",3
00:52,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",3
00:34,,,,,TIMEOUT 30SEC by TM,,,TIMEOUT 30SEC by TM,3
00:19,,94,,100 (+6),"GOOD 3PTR by WASHINGTON,TRAE",FC 94-100 (+6),,"GOOD 3PTR by WASHINGTON,TRAE",3
--,,,,,"ASSIST  by HOWARD,BAILEY",,,"ASSIST  by HOWARD,BAILEY",3
00:08,"MISS LAYUP by MURRAY,RYAN",,,,,,,"MISS LAYUP by MURRAY,RYAN",3
--,,,,,"REBOUND DEF by PORTER,TROY",,,"REBOUND DEF by PORTER,TROY",3
00:05,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",3
00:05,,94,,101 (+7),"GOOD FT by PORTER,TROY",FC 94-101 (+7),,"GOOD FT by PORTER,TROY",3
00:05,,94,,102 (+8),"GOOD FT by PORTER,TROY",FC 94-102 (+8),,"GOOD FT by PORTER,TROY",3
00:03,"GOOD 3PTR by GUMP,MATT",97,,102 (+5),,CENTRE_M 97-102 (+5),,"GOOD 3PTR by GUMP,MATT",3
00:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,3
