Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
07:49,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
07:38,,19,,23 (+4),"GOOD 3PTR by STEGGEMAN,ANDREW",CENTRE_M 19-23 (+4),,"GOOD 3PTR by STEGGEMAN,ANDREW",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
07:03,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
07:01,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",1
06:57,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
06:54,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
06:54,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",1
06:54,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",1
06:54,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
06:54,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
06:54,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
06:54,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
06:36,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
06:23,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
05:54,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
05:54,"MISS FT by FREBIS,RONNIE",,,,,,,"MISS FT by FREBIS,RONNIE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:54,"MISS FT by FREBIS,RONNIE",,,,,,,"MISS FT by FREBIS,RONNIE",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
05:29,,19,,25 (+6),"GOOD JUMPER by STEGGEMAN,ANDREW",CENTRE_M 19-25 (+6),,"GOOD JUMPER by STEGGEMAN,ANDREW",1
05:08,"GOOD JUMPER by GILLIGAN,TULLY",21,,25 (+4),,MILLSAPS 21-25 (+4),,"GOOD JUMPER by GILLIGAN,TULLY",1
04:40,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
04:40,,21,,26 (+5),"GOOD FT by WESLEY,TYLER",CENTRE_M 21-26 (+5),,"GOOD FT by WESLEY,TYLER",1
04:40,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,"REBOUND DEF by MCELVEEN,MAC",,,,,,,"REBOUND DEF by MCELVEEN,MAC",1
04:40,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
04:40,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
04:40,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
04:40,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
04:40,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
04:40,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
04:18,"GOOD JUMPER by MCELVEEN,MAC",23,,26 (+3),,MILLSAPS 23-26 (+3),,"GOOD JUMPER by MCELVEEN,MAC",1
04:10,,23,,29 (+6),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 23-29 (+6),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by MURRAY,RYAN",,,"ASSIST  by MURRAY,RYAN",1
04:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:54,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",1
03:54,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND OFF by ROBERTSON,MARC",,,,,,,"REBOUND OFF by ROBERTSON,MARC",1
03:48,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
03:48,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
03:48,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",1
03:48,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
03:37,"MISS LAYUP by FREBIS,RONNIE",,,,,,,"MISS LAYUP by FREBIS,RONNIE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
03:25,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
