Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
05:18,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
05:05,,30 (+15),,15,"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 30-15 (+15),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
04:29,"GOOD LAYUP by GUMP,MATT(in the paint)",32 (+17),,15,,CENTRE_M 32-15 (+17),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
04:16,,,,,"TURNOVER  by GUMM,GABE",,,"TURNOVER  by GUMM,GABE",1
04:16,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
04:16,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
03:51,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
03:51,,,,,"BLOCK  by PRIMM,COLTON",,,"BLOCK  by PRIMM,COLTON",1
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",1
03:50,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
03:29,,,,,"MISS JUMPER by GUMM,GABE",,,"MISS JUMPER by GUMM,GABE",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
03:11,"MISS JUMPER by LOPEZ,COLLIN",,,,,,,"MISS JUMPER by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
02:50,,32 (+15),,17,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 32-17 (+15),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,,,,,"ASSIST  by PRIMM,COLTON",,,"ASSIST  by PRIMM,COLTON",1
02:33,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1
02:19,,,,,"MISS JUMPER by GUMM,GABE",,,"MISS JUMPER by GUMM,GABE",1
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",1
02:15,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
02:15,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
02:15,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
02:15,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
02:15,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
02:01,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
02:01,,32 (+14),,18,"GOOD FT by VANCE,LUKE",HC 32-18 (+14),,"GOOD FT by VANCE,LUKE",1
02:01,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:46,"GOOD 3PTR by KARSNER,JOSH",35 (+17),,18,,CENTRE_M 35-18 (+17),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
01:44,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",1
01:44,"GOOD FT by KARSNER,JOSH",36 (+18),,18,,CENTRE_M 36-18 (+18),,"GOOD FT by KARSNER,JOSH",1
01:44,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
01:44,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
01:31,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
01:16,"GOOD JUMPER by GUMP,MATT(in the paint)",38 (+20),,18,,CENTRE_M 38-18 (+20),,"GOOD JUMPER by GUMP,MATT(in the paint)",1
01:03,,,,,"MISS JUMPER by ALDOUS,HANK",,,"MISS JUMPER by ALDOUS,HANK",1
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",1
00:51,,38 (+18),,20,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 38-20 (+18),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
00:29,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
00:13,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
00:13,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
00:03,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:00,"MISS 3PTR by STEGGEMAN,ANDREW",,,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",1
19:49,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
19:23,"GOOD LAYUP by WESLEY,TYLER(in the paint)",40 (+20),,20,,CENTRE_M 40-20 (+20),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
19:03,,,,,"MISS 3PTR by CONARD,ALEC",,,"MISS 3PTR by CONARD,ALEC",2
