Time Remaining,CENTR,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by FLANNERY,AUSTIN",,,"REBOUND DEF by FLANNERY,AUSTIN",1
07:30,,22,,24 (+2),"GOOD JUMPER by PENNY,CJ(in the paint)",AC 22-24 (-2),,"GOOD JUMPER by PENNY,CJ(in the paint)",1
--,,,,,"ASSIST  by LAMB,KYLE",,,"ASSIST  by LAMB,KYLE",1
06:58,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
06:56,,,,,"STEAL  by FLANNERY,AUSTIN",,,"STEAL  by FLANNERY,AUSTIN",1
06:54,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
06:54,,,,,"MISS FT by FLANNERY,AUSTIN",,,"MISS FT by FLANNERY,AUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:54,,22,,25 (+3),"GOOD FT by FLANNERY,AUSTIN",AC 22-25 (-3),,"GOOD FT by FLANNERY,AUSTIN",1
06:54,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
06:54,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
06:54,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
06:54,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
06:54,,,,,"SUB IN by EUTON,DAKOTAH",,,"SUB IN by EUTON,DAKOTAH",1
06:54,,,,,"SUB OUT by PENNY,CJ",,,"SUB OUT by PENNY,CJ",1
06:32,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
06:30,,,,,"STEAL  by LAMB,KYLE",,,"STEAL  by LAMB,KYLE",1
06:28,,22,,27 (+5),"GOOD JUMPER by LAMB,KYLE(in the paint)",AC 22-27 (-5),,"GOOD JUMPER by LAMB,KYLE(in the paint)",1
06:28,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",1
06:28,,22,,28 (+6),"GOOD FT by LAMB,KYLE",AC 22-28 (-6),,"GOOD FT by LAMB,KYLE",1
06:12,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
06:07,"GOOD JUMPER by TAYLOR,CHRIS(in the paint)",24,,28 (+4),,CENTR 24-28 (-4),,"GOOD JUMPER by TAYLOR,CHRIS(in the paint)",1
06:07,,,,,"FOUL  by FLANNERY,AUSTIN",,,"FOUL  by FLANNERY,AUSTIN",1
06:07,"GOOD FT by TAYLOR,CHRIS",25,,28 (+3),,CENTR 25-28 (-3),,"GOOD FT by TAYLOR,CHRIS",1
06:07,,,,,"SUB IN by PENNY,CJ",,,"SUB IN by PENNY,CJ",1
06:07,,,,,"SUB OUT by SMITH,TYLER",,,"SUB OUT by SMITH,TYLER",1
05:44,,,,,"MISS 3PTR by FLANNERY,AUSTIN",,,"MISS 3PTR by FLANNERY,AUSTIN",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
05:36,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",1
