Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
04:20,,17,,37 (+20),"GOOD FT by CRUMP,DAWSON",Centre 17-37 (-20),,"GOOD FT by CRUMP,DAWSON",1
04:20,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
04:20,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
04:12,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND OFF by SHEN,KEVIN",,,,,,,"REBOUND OFF by SHEN,KEVIN",1
04:08,"MISS LAYUP by SHEN,KEVIN(in the paint)",,,,,,,"MISS LAYUP by SHEN,KEVIN(in the paint)",1
--,"REBOUND OFF by HIESTER,JACKSON",,,,,,,"REBOUND OFF by HIESTER,JACKSON",1
04:05,"MISS LAYUP by HIESTER,JACKSON(in the paint)",,,,,,,"MISS LAYUP by HIESTER,JACKSON(in the paint)",1
--,"REBOUND OFF by WILLIAMS,JAYSON",,,,,,,"REBOUND OFF by WILLIAMS,JAYSON",1
04:00,"GOOD LAYUP by WILLIAMS,JAYSON(in the paint)",19,,37 (+18),,Rhodes 19-37 (-18),,"GOOD LAYUP by WILLIAMS,JAYSON(in the paint)",1
03:45,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",1
03:45,"BLOCK  by WILLIAMS,JAYSON",,,,,,,"BLOCK  by WILLIAMS,JAYSON",1
--,"REBOUND DEF by WILLIAMS,JAYSON",,,,,,,"REBOUND DEF by WILLIAMS,JAYSON",1
03:29,"GOOD JUMPER by COOK,JEREMIAH",21,,37 (+16),,Rhodes 21-37 (-16),,"GOOD JUMPER by COOK,JEREMIAH",1
03:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:14,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
03:14,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
03:14,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
03:14,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
03:01,,21,,39 (+18),"GOOD LAYUP by RING,NOAH(in the paint)",Centre 21-39 (-18),,"GOOD LAYUP by RING,NOAH(in the paint)",1
02:59,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
02:59,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
02:43,"MISS 3PTR by COOK,JEREMIAH",,,,,,,"MISS 3PTR by COOK,JEREMIAH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:43,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
02:43,"GOOD FT by WILLIAMS,JAYSON",22,,39 (+17),,Rhodes 22-39 (-17),,"GOOD FT by WILLIAMS,JAYSON",1
02:43,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
02:43,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
02:43,"GOOD FT by WILLIAMS,JAYSON",23,,39 (+16),,Rhodes 23-39 (-16),,"GOOD FT by WILLIAMS,JAYSON",1
02:38,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",1
02:38,"STEAL  by SHEN,KEVIN",,,,,,,"STEAL  by SHEN,KEVIN",1
02:31,"MISS LAYUP by SHEN,KEVIN(in the paint)",,,,,,,"MISS LAYUP by SHEN,KEVIN(in the paint)",1
