Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
03:17,,,,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
03:09,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:09,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
03:09,"SUB IN by RUSCIANO,ROBBIE",,,,,,,"SUB IN by RUSCIANO,ROBBIE",1
02:58,"FOUL  by BENHAM,BRAXTON",,,,,,,"FOUL  by BENHAM,BRAXTON",1
02:58,"TURNOVER  by BENHAM,BRAXTON",,,,,,,"TURNOVER  by BENHAM,BRAXTON",1
02:58,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
02:58,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
02:35,,,,,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",,,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
02:29,,42 (+26),,16,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 42-16 (-26),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
02:06,"TURNOVER  by CAMPBELL,BLAKE",,,,,,,"TURNOVER  by CAMPBELL,BLAKE",1
02:06,,,,,"STEAL  by WILLIAMS,ZAVIEN",,,"STEAL  by WILLIAMS,ZAVIEN",1
02:00,,,,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",,,"MISS LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
01:55,"TURNOVER  by ELLIS,CHASE",,,,,,,"TURNOVER  by ELLIS,CHASE",1
01:55,"SUB OUT by RUSCIANO,ROBBIE",,,,,,,"SUB OUT by RUSCIANO,ROBBIE",1
01:55,"SUB IN by CRAFT,JAKE",,,,,,,"SUB IN by CRAFT,JAKE",1
01:53,"SUB OUT by ELLIS,CHASE",,,,,,,"SUB OUT by ELLIS,CHASE",1
01:53,"SUB IN by RUSCIANO,ROBBIE",,,,,,,"SUB IN by RUSCIANO,ROBBIE",1
01:48,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
01:42,,42 (+24),,18,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",Rhodes 42-18 (-24),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
01:26,"GOOD JUMPER by SEGALL,RYAN(in the paint)",44 (+26),,18,,Berry 44-18 (-26),,"GOOD JUMPER by SEGALL,RYAN(in the paint)",1
--,"ASSIST  by RUSCIANO,ROBBIE",,,,,,,"ASSIST  by RUSCIANO,ROBBIE",1
01:12,,44 (+24),,20,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",Rhodes 44-20 (-24),,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
00:42,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",1
00:42,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
00:42,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
00:42,"TURNOVER  by RUSCIANO,ROBBIE",,,,,,,"TURNOVER  by RUSCIANO,ROBBIE",1
