Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:03,,27,,31 (+4),"GOOD FT by LOCKARD,ISIAH",SU 27-31 (-4),,"GOOD FT by LOCKARD,ISIAH",1
03:01,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by HENSON,JONATHAN",,,"REBOUND DEF by HENSON,JONATHAN",1
03:01,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
03:01,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",1
03:01,,27,,33 (+6),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",SU 27-33 (-6),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
03:01,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
03:01,,,,,"STEAL  by AMANOR,TROY",,,"STEAL  by AMANOR,TROY",1
02:39,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
02:39,,,,,"SUB IN by PORRA,JOEL",,,"SUB IN by PORRA,JOEL",1
02:39,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
02:39,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
02:39,"SUB IN by COOK,JEREMIAH",,,,,,,"SUB IN by COOK,JEREMIAH",1
02:39,"SUB IN by AESCHLIMAN,SETH",,,,,,,"SUB IN by AESCHLIMAN,SETH",1
02:14,,,,,"SUB OUT by MANN,TYLAN",,,"SUB OUT by MANN,TYLAN",1
02:14,,,,,"SUB IN by OBIDIKE,BRANDIN",,,"SUB IN by OBIDIKE,BRANDIN",1
02:06,,27,,36 (+9),"GOOD 3PTR by OBIDIKE,BRANDIN",SU 27-36 (-9),,"GOOD 3PTR by OBIDIKE,BRANDIN",1
02:06,,,,,"FOUL  by AMANOR,TROY",,,"FOUL  by AMANOR,TROY",1
02:06,"GOOD FT by WALKER,JEFFERSON(fastbreak)",28,,36 (+8),,Rhodes 28-36 (-8),,"GOOD FT by WALKER,JEFFERSON(fastbreak)",1
02:06,,,,,"SUB OUT by AMANOR,TROY",,,"SUB OUT by AMANOR,TROY",1
02:06,,,,,"SUB IN by CAMPBELL,MAXTON",,,"SUB IN by CAMPBELL,MAXTON",1
02:06,,,,,"SUB OUT by LOCKARD,ISIAH",,,"SUB OUT by LOCKARD,ISIAH",1
02:06,,,,,"SUB IN by TOLIVER,TEFRELL",,,"SUB IN by TOLIVER,TEFRELL",1
02:06,"MISS FT by WALKER,JEFFERSON(fastbreak)",,,,,,,"MISS FT by WALKER,JEFFERSON(fastbreak)",1
--,,,,,"REBOUND DEF by TOLIVER,TEFRELL",,,"REBOUND DEF by TOLIVER,TEFRELL",1
01:28,,,,,"MISS JUMPER by OBIDIKE,BRANDIN(in the paint)",,,"MISS JUMPER by OBIDIKE,BRANDIN(in the paint)",1
--,,,,,"REBOUND OFF by TOLIVER,TEFRELL",,,"REBOUND OFF by TOLIVER,TEFRELL",1
01:17,,28,,38 (+10),"GOOD LAYUP by TOLIVER,TEFRELL(in the paint)",SU 28-38 (-10),,"GOOD LAYUP by TOLIVER,TEFRELL(in the paint)",1
01:08,"TURNOVER  by LAMEY,HAYDEN",,,,,,,"TURNOVER  by LAMEY,HAYDEN",1
01:02,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",1
01:02,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
00:44,,,,,"MISS 3PTR by PORRA,JOEL",,,"MISS 3PTR by PORRA,JOEL",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
00:27,"TURNOVER  by COOK,JEREMIAH",,,,,,,"TURNOVER  by COOK,JEREMIAH",1
00:27,,,,,"STEAL  by PORRA,JOEL",,,"STEAL  by PORRA,JOEL",1
00:16,,,,,"TURNOVER  by OBIDIKE,BRANDIN",,,"TURNOVER  by OBIDIKE,BRANDIN",1
00:16,,,,,"SUB OUT by PORRA,JOEL",,,"SUB OUT by PORRA,JOEL",1
00:16,,,,,"SUB IN by LOCKARD,ISIAH",,,"SUB IN by LOCKARD,ISIAH",1
00:07,"MISS 3PTR by WALKER,JEFFERSON",,,,,,,"MISS 3PTR by WALKER,JEFFERSON",1
--,"REBOUND OFF by WALKER,JEFFERSON",,,,,,,"REBOUND OFF by WALKER,JEFFERSON",1
00:01,"GOOD JUMPER by WALKER,JEFFERSON",30,,38 (+8),,Rhodes 30-38 (-8),,"GOOD JUMPER by WALKER,JEFFERSON",1
20:00,,,,,"SUB OUT by LOCKARD,ISIAH",,,"SUB OUT by LOCKARD,ISIAH",2
20:00,,,,,"SUB OUT by OBIDIKE,BRANDIN",,,"SUB OUT by OBIDIKE,BRANDIN",2
20:00,,,,,"SUB OUT by CAMPBELL,MAXTON",,,"SUB OUT by CAMPBELL,MAXTON",2
20:00,,,,,"SUB OUT by TOLIVER,TEFRELL",,,"SUB OUT by TOLIVER,TEFRELL",2
20:00,,,,,"SUB IN by JOHNSON,JACOBY",,,"SUB IN by JOHNSON,JACOBY",2
20:00,,,,,"SUB IN by MANN,TYLAN",,,"SUB IN by MANN,TYLAN",2
20:00,,,,,"SUB IN by AMANOR,TROY",,,"SUB IN by AMANOR,TROY",2
20:00,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
20:00,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",2
20:00,"SUB OUT by COOK,JEREMIAH",,,,,,,"SUB OUT by COOK,JEREMIAH",2
20:00,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",2
20:00,"SUB OUT by AESCHLIMAN,SETH",,,,,,,"SUB OUT by AESCHLIMAN,SETH",2
20:00,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",2
20:00,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",2
20:00,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",2
20:00,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",2
19:52,"GOOD 3PTR by WILEY,KOKI",33,,38 (+5),,Rhodes 33-38 (-5),,"GOOD 3PTR by WILEY,KOKI",2
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",2
