Time Remaining,PIEDMONT,Away Team Score,Play Team Indicator,Home Team Score,CENTREM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by BANKS,JAXSON",,,"REBOUND DEF by BANKS,JAXSON",1
11:09,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
11:08,"STEAL  by RICHTER,WILL",,,,,,,"STEAL  by RICHTER,WILL",1
10:56,"MISS LAYUP by PALMER,AARON",,,,,,,"MISS LAYUP by PALMER,AARON",1
--,,,,,"REBOUND DEF by WILLIAMS,JALEN",,,"REBOUND DEF by WILLIAMS,JALEN",1
10:45,,,,,"TURNOVER  by BANKS,JAXSON",,,"TURNOVER  by BANKS,JAXSON",1
10:43,"SUB IN by BEAGLE,GARRETT",,,,,,,"SUB IN by BEAGLE,GARRETT",1
10:43,"SUB IN by REARDON,NOAH",,,,,,,"SUB IN by REARDON,NOAH",1
10:43,"SUB OUT by PALMER,AARON",,,,,,,"SUB OUT by PALMER,AARON",1
10:43,"SUB OUT by RICHTER,WILL",,,,,,,"SUB OUT by RICHTER,WILL",1
10:43,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
10:43,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
10:32,"GOOD LAYUP by REARDON,NOAH(in the paint)",18 (+7),,11,,PIEDMONT 18-11 (-7),,"GOOD LAYUP by REARDON,NOAH(in the paint)",1
--,"ASSIST  by QUICK,JUSTIN",,,,,,,"ASSIST  by QUICK,JUSTIN",1
10:13,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:53,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",1
09:53,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
09:53,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
09:44,"GOOD 3PTR by STIMPSON,ANDREW",21 (+10),,11,,PIEDMONT 21-11 (-10),,"GOOD 3PTR by STIMPSON,ANDREW",1
--,"ASSIST  by QUICK,JUSTIN",,,,,,,"ASSIST  by QUICK,JUSTIN",1
09:23,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by QUICK,JUSTIN",,,,,,,"REBOUND DEF by QUICK,JUSTIN",1
09:05,"MISS 3PTR by QUICK,JUSTIN",,,,,,,"MISS 3PTR by QUICK,JUSTIN",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
08:55,,21 (+7),,14,"GOOD 3PTR by BAUGHMAN,CARTER",CENTREM 21-14 (-7),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
08:29,"MISS LAYUP by BEAGLE,GARRETT",,,,,,,"MISS LAYUP by BEAGLE,GARRETT",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
08:16,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",1
08:16,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
08:16,"SUB IN by CRANFORD,LOGAN",,,,,,,"SUB IN by CRANFORD,LOGAN",1
08:16,"SUB IN by RICHTER,WILL",,,,,,,"SUB IN by RICHTER,WILL",1
08:16,"SUB OUT by QUICK,JUSTIN",,,,,,,"SUB OUT by QUICK,JUSTIN",1
08:16,"SUB OUT by HELENBROOK,JOE",,,,,,,"SUB OUT by HELENBROOK,JOE",1
08:16,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
08:16,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
08:16,,,,,"SUB OUT by WOOLDRIDGE,CARSON",,,"SUB OUT by WOOLDRIDGE,CARSON",1
08:16,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
07:57,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
07:57,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:39,"MISS LAYUP by CRANFORD,LOGAN",,,,,,,"MISS LAYUP by CRANFORD,LOGAN",1
--,,,,,"REBOUND DEF by WILLIAMS,JALEN",,,"REBOUND DEF by WILLIAMS,JALEN",1
07:14,,21 (+5),,16,"GOOD LAYUP by SMITH,RJ(in the paint)",CENTREM 21-16 (-5),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
07:00,"TURNOVER  by CRANFORD,LOGAN",,,,,,,"TURNOVER  by CRANFORD,LOGAN",1
06:59,,,,,"STEAL  by SMITH,RJ",,,"STEAL  by SMITH,RJ",1
06:56,,21 (+3),,18,"GOOD DUNK by WILLIAMS,JALEN(fastbreak)(in the paint)",CENTREM 21-18 (-3),,"GOOD DUNK by WILLIAMS,JALEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SMITH,RJ",,,"ASSIST  by SMITH,RJ",1
06:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:54,"SUB IN by QUICK,JUSTIN",,,,,,,"SUB IN by QUICK,JUSTIN",1
06:54,"SUB IN by PALMER,AARON",,,,,,,"SUB IN by PALMER,AARON",1
06:54,"SUB IN by HELENBROOK,JOE",,,,,,,"SUB IN by HELENBROOK,JOE",1
06:54,"SUB OUT by CRANFORD,LOGAN",,,,,,,"SUB OUT by CRANFORD,LOGAN",1
06:54,"SUB OUT by STIMPSON,ANDREW",,,,,,,"SUB OUT by STIMPSON,ANDREW",1
06:54,"SUB OUT by BEAGLE,GARRETT",,,,,,,"SUB OUT by BEAGLE,GARRETT",1
06:41,"TURNOVER  by QUICK,JUSTIN",,,,,,,"TURNOVER  by QUICK,JUSTIN",1
06:40,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
06:35,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by HELENBROOK,JOE",,,,,,,"REBOUND DEF by HELENBROOK,JOE",1
06:17,"MISS 3PTR by HELENBROOK,JOE",,,,,,,"MISS 3PTR by HELENBROOK,JOE",1
--,"REBOUND OFF by PALMER,AARON",,,,,,,"REBOUND OFF by PALMER,AARON",1
06:12,"TURNOVER  by PALMER,AARON",,,,,,,"TURNOVER  by PALMER,AARON",1
06:11,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
06:02,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by PALMER,AARON",,,,,,,"REBOUND DEF by PALMER,AARON",1
05:51,"GOOD LAYUP by REARDON,NOAH(in the paint)",23 (+5),,18,,PIEDMONT 23-18 (-5),,"GOOD LAYUP by REARDON,NOAH(in the paint)",1
05:22,,,,,"SUB IN by WOOLDRIDGE,CARSON",,,"SUB IN by WOOLDRIDGE,CARSON",1
05:22,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
05:22,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
05:22,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
05:18,,23 (+2),,21,"GOOD 3PTR by WILLIAMS,JALEN",CENTREM 23-21 (-2),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
04:55,"MISS 3PTR by RICHTER,WILL",,,,,,,"MISS 3PTR by RICHTER,WILL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:39,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
04:39,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
04:39,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
04:26,"TURNOVER  by RICHTER,WILL",,,,,,,"TURNOVER  by RICHTER,WILL",1
04:25,,,,,"STEAL  by SMITH,RJ",,,"STEAL  by SMITH,RJ",1
04:19,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",1
04:19,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",1
04:19,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
04:19,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
04:05,,,,,"FOUL  by WOOLDRIDGE,CARSON",,,"FOUL  by WOOLDRIDGE,CARSON",1
04:05,"MISS FT by PALMER,AARON",,,,,,,"MISS FT by PALMER,AARON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:05,"MISS FT by PALMER,AARON",,,,,,,"MISS FT by PALMER,AARON",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
04:05,"SUB IN by STIMPSON,ANDREW",,,,,,,"SUB IN by STIMPSON,ANDREW",1
04:05,"SUB OUT by HELENBROOK,JOE",,,,,,,"SUB OUT by HELENBROOK,JOE",1
04:05,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
04:05,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
04:05,,,,,"SUB OUT by WOOLDRIDGE,CARSON",,,"SUB OUT by WOOLDRIDGE,CARSON",1
04:05,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
03:47,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by RICHTER,WILL",,,,,,,"REBOUND DEF by RICHTER,WILL",1
03:32,"TURNOVER  by QUICK,JUSTIN",,,,,,,"TURNOVER  by QUICK,JUSTIN",1
03:31,,,,,"STEAL  by TAYLOR,MARSHALL",,,"STEAL  by TAYLOR,MARSHALL",1
03:19,,23,,23,"GOOD LAYUP by SMITH,RJ(in the paint)",CENTREM 23-23 (0),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,MARSHALL",,,"ASSIST  by TAYLOR,MARSHALL",1
03:03,"MISS 3PTR by RICHTER,WILL",,,,,,,"MISS 3PTR by RICHTER,WILL",1
--,"REBOUND OFF by STIMPSON,ANDREW",,,,,,,"REBOUND OFF by STIMPSON,ANDREW",1
02:59,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",1
02:59,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
02:59,"GOOD FT by STIMPSON,ANDREW",24 (+1),,23,,PIEDMONT 24-23 (-1),,"GOOD FT by STIMPSON,ANDREW",1
02:59,"GOOD FT by STIMPSON,ANDREW",25 (+2),,23,,PIEDMONT 25-23 (-2),,"GOOD FT by STIMPSON,ANDREW",1
02:59,"SUB IN by BEAGLE,GARRETT",,,,,,,"SUB IN by BEAGLE,GARRETT",1
02:59,"SUB OUT by PALMER,AARON",,,,,,,"SUB OUT by PALMER,AARON",1
02:59,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
02:59,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
02:48,,25,,26 (+1),"GOOD 3PTR by WILLIAMS,JALEN",CENTREM 25-26 (+1),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
02:34,"GOOD JUMPER by STIMPSON,ANDREW(in the paint)",27 (+1),,26,,PIEDMONT 27-26 (-1),,"GOOD JUMPER by STIMPSON,ANDREW(in the paint)",1
--,"ASSIST  by QUICK,JUSTIN",,,,,,,"ASSIST  by QUICK,JUSTIN",1
02:18,,27,,29 (+2),"GOOD 3PTR by RING,NOAH",CENTREM 27-29 (+2),,"GOOD 3PTR by RING,NOAH",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
02:03,"MISS LAYUP by STIMPSON,ANDREW",,,,,,,"MISS LAYUP by STIMPSON,ANDREW",1
--,"REBOUND OFF by BEAGLE,GARRETT",,,,,,,"REBOUND OFF by BEAGLE,GARRETT",1
01:55,"TURNOVER  by QUICK,JUSTIN",,,,,,,"TURNOVER  by QUICK,JUSTIN",1
01:54,,,,,"STEAL  by SMITH,RJ",,,"STEAL  by SMITH,RJ",1
01:53,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
01:53,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
01:41,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",1
01:40,"STEAL  by QUICK,JUSTIN",,,,,,,"STEAL  by QUICK,JUSTIN",1
01:38,"MISS LAYUP by QUICK,JUSTIN",,,,,,,"MISS LAYUP by QUICK,JUSTIN",1
--,"REBOUND OFF by BEAGLE,GARRETT",,,,,,,"REBOUND OFF by BEAGLE,GARRETT",1
01:31,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
01:31,"GOOD FT by BEAGLE,GARRETT",28,,29 (+1),,PIEDMONT 28-29 (+1),,"GOOD FT by BEAGLE,GARRETT",1
01:31,"GOOD FT by BEAGLE,GARRETT",29,,29,,PIEDMONT 29-29 (0),,"GOOD FT by BEAGLE,GARRETT",1
01:31,,,,,"SUB IN by WOOLDRIDGE,CARSON",,,"SUB IN by WOOLDRIDGE,CARSON",1
01:31,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
01:13,,29,,32 (+3),"GOOD 3PTR by WOOLDRIDGE,CARSON",CENTREM 29-32 (+3),,"GOOD 3PTR by WOOLDRIDGE,CARSON",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
00:53,"GOOD 3PTR by QUICK,JUSTIN",32,,32,,PIEDMONT 32-32 (0),,"GOOD 3PTR by QUICK,JUSTIN",1
