Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WestKy,Game Score,Team Indicator,Play,Period
04:40,,,,,"SUB IN by JUSTICE,CAMRON",,,"SUB IN by JUSTICE,CAMRON",1
04:40,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
04:40,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
04:40,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
04:40,"SUB IN by STEWART,BLAKE",,,,,,,"SUB IN by STEWART,BLAKE",1
04:25,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by HAMILTON,JAIRUS",,,"REBOUND DEF by HAMILTON,JAIRUS",1
03:59,,10,,41 (+31),"GOOD JUMPER by HAMILTON,JAIRUS",WestKy 10-41 (-31),,"GOOD JUMPER by HAMILTON,JAIRUS",1
03:45,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
03:45,,,,,"STEAL  by HAMILTON,JAIRUS",,,"STEAL  by HAMILTON,JAIRUS",1
03:40,,10,,43 (+33),"GOOD DUNK by HAMILTON,JAIRUS(fastbreak)(in the paint)",WestKy 10-43 (-33),,"GOOD DUNK by HAMILTON,JAIRUS(fastbreak)(in the paint)",1
03:26,"MISS 3PTR by SMITH,RJ",,,,,,,"MISS 3PTR by SMITH,RJ",1
03:26,,,,,"BLOCK  by SHARP,JAMARION",,,"BLOCK  by SHARP,JAMARION",1
--,,,,,"REBOUND DEF by SHARP,JAMARION",,,"REBOUND DEF by SHARP,JAMARION",1
03:20,,10,,45 (+35),"GOOD DUNK by HAMILTON,JAIRUS(fastbreak)(in the paint)",WestKy 10-45 (-35),,"GOOD DUNK by HAMILTON,JAIRUS(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MCKNIGHT,DAYVION",,,"ASSIST  by MCKNIGHT,DAYVION",1
03:11,"GOOD 3PTR by BAUGHMAN,CARTER",13,,45 (+32),,Centre 13-45 (-32),,"GOOD 3PTR by BAUGHMAN,CARTER",1
02:53,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",1
02:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:53,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
02:53,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
02:53,,,,,"MISS FT by HAMILTON,JAIRUS",,,"MISS FT by HAMILTON,JAIRUS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:53,,13,,46 (+33),"GOOD FT by HAMILTON,JAIRUS",WestKy 13-46 (-33),,"GOOD FT by HAMILTON,JAIRUS",1
02:53,,,,,"SUB OUT by HAMILTON,JAIRUS",,,"SUB OUT by HAMILTON,JAIRUS",1
02:53,,,,,"SUB IN by ANDERSON,JOSH",,,"SUB IN by ANDERSON,JOSH",1
02:34,"MISS LAYUP by SMITH,RJ(in the paint)",,,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",1
02:34,,,,,"BLOCK  by SHARP,JAMARION",,,"BLOCK  by SHARP,JAMARION",1
--,,,,,"REBOUND DEF by SHARP,JAMARION",,,"REBOUND DEF by SHARP,JAMARION",1
02:28,,,,,"MISS 3PTR by JUSTICE,CAMRON",,,"MISS 3PTR by JUSTICE,CAMRON",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
02:10,"GOOD JUMPER by SMITH,RJ",15,,46 (+31),,Centre 15-46 (-31),,"GOOD JUMPER by SMITH,RJ",1
01:51,,,,,"MISS JUMPER by SHARP,JAMARION(in the paint)",,,"MISS JUMPER by SHARP,JAMARION(in the paint)",1
--,"REBOUND DEF by STEWART,BLAKE",,,,,,,"REBOUND DEF by STEWART,BLAKE",1
01:45,"TURNOVER  by STEWART,BLAKE",,,,,,,"TURNOVER  by STEWART,BLAKE",1
01:45,,,,,"SUB OUT by FRAMPTON,LUKE",,,"SUB OUT by FRAMPTON,LUKE",1
01:45,,,,,"SUB OUT by SHARP,JAMARION",,,"SUB OUT by SHARP,JAMARION",1
01:45,,,,,"SUB OUT by JUSTICE,CAMRON",,,"SUB OUT by JUSTICE,CAMRON",1
