Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
06:51,"FOUL  by MOORE,CHEZ",,,,,,,"FOUL  by MOORE,CHEZ",1
06:51,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
06:51,,,,,"MISS FT by CRUMLY,WILL",,,"MISS FT by CRUMLY,WILL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:51,,16,,19 (+3),"GOOD FT by CRUMLY,WILL",CCM 16-19 (-3),,"GOOD FT by CRUMLY,WILL",1
06:51,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
06:51,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
06:51,,,,,"SUB IN by PEARLMAN,LOGAN",,,"SUB IN by PEARLMAN,LOGAN",1
06:51,,,,,"SUB IN by BARNETTE,CHRIS",,,"SUB IN by BARNETTE,CHRIS",1
06:51,,,,,"SUB OUT by CRUMLY,WILL",,,"SUB OUT by CRUMLY,WILL",1
06:51,,,,,"SUB OUT by PALMER,BRADY",,,"SUB OUT by PALMER,BRADY",1
06:35,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND DEF by PEARLMAN,LOGAN",,,"REBOUND DEF by PEARLMAN,LOGAN",1
06:15,,16,,22 (+6),"GOOD 3PTR by GERNATT,JONATHAN",CCM 16-22 (-6),,"GOOD 3PTR by GERNATT,JONATHAN",1
--,,,,,"ASSIST  by BARNETTE,CHRIS",,,"ASSIST  by BARNETTE,CHRIS",1
05:48,"MISS JUMPER by GERALD,DUSTIN",,,,,,,"MISS JUMPER by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by GERNATT,JONATHAN",,,"REBOUND DEF by GERNATT,JONATHAN",1
05:34,,,,,"MISS 3PTR by PEARLMAN,LOGAN",,,"MISS 3PTR by PEARLMAN,LOGAN",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
05:24,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",1
05:24,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
05:24,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
05:24,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
05:24,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
05:24,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
05:24,,,,,"SUB IN by PALMER,BRADY",,,"SUB IN by PALMER,BRADY",1
05:24,,,,,"SUB IN by JONES,MYLES",,,"SUB IN by JONES,MYLES",1
05:24,,,,,"SUB OUT by KINARD,JESSE",,,"SUB OUT by KINARD,JESSE",1
05:24,,,,,"SUB OUT by FITZGERALD,JACKSON",,,"SUB OUT by FITZGERALD,JACKSON",1
05:13,,16,,24 (+8),"GOOD LAYUP by JONES,MYLES(in the paint)",CCM 16-24 (-8),,"GOOD LAYUP by JONES,MYLES(in the paint)",1
04:55,,,,,"FOUL  by JONES,MYLES",,,"FOUL  by JONES,MYLES",1
04:55,,,,,"SUB IN by FITZGERALD,JACKSON",,,"SUB IN by FITZGERALD,JACKSON",1
