Time Remaining,MSPSM,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
12:27,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",1
12:27,,,,,"SUB OUT by O'HARA,ROSS",,,"SUB OUT by O'HARA,ROSS",1
12:27,,,,,"SUB OUT by MUNCH,PETER",,,"SUB OUT by MUNCH,PETER",1
12:26,"GOOD 3PTR by CORTESE,NICK",13,,16 (+3),,MSPSM 13-16 (-3),,"GOOD 3PTR by CORTESE,NICK",1
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",1
11:06,,,,,"TURNOVER  by POWER,AARON",,,"TURNOVER  by POWER,AARON",1
11:06,,,,,"FOUL  by POWER,AARON",,,"FOUL  by POWER,AARON",1
11:06,,,,,"SUB IN by MACLIN,CATRELL",,,"SUB IN by MACLIN,CATRELL",1
11:06,,,,,"SUB OUT by POWER,AARON",,,"SUB OUT by POWER,AARON",1
10:48,"MISS 3PTR by MERKEL,BRIAN",,,,,,,"MISS 3PTR by MERKEL,BRIAN",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
10:39,"TURNOVER  by CORTESE,NICK",,,,,,,"TURNOVER  by CORTESE,NICK",1
10:39,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",1
10:39,"SUB OUT by THOMAS,STERLING",,,,,,,"SUB OUT by THOMAS,STERLING",1
10:02,"FOUL  by GRIFFON,JACKSON",,,,,,,"FOUL  by GRIFFON,JACKSON",1
10:02,,13,,17 (+4),"GOOD FT by CRAFT,BLAKE",LCM 13-17 (-4),,"GOOD FT by CRAFT,BLAKE",1
10:02,,13,,18 (+5),"GOOD FT by CRAFT,BLAKE",LCM 13-18 (-5),,"GOOD FT by CRAFT,BLAKE",1
10:00,,,,,"FOUL  by ANDERKAVICH,JOEY",,,"FOUL  by ANDERKAVICH,JOEY",1
09:51,"GOOD FT by CORTESE,NICK",14,,18 (+4),,MSPSM 14-18 (-4),,"GOOD FT by CORTESE,NICK",1
09:51,"GOOD FT by CORTESE,NICK",15,,18 (+3),,MSPSM 15-18 (-3),,"GOOD FT by CORTESE,NICK",1
09:51,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",1
09:51,,,,,"SUB OUT by ANDERKAVICH,JOEY",,,"SUB OUT by ANDERKAVICH,JOEY",1
09:39,,,,,"MISS 3PTR by CRAFT,BLAKE",,,"MISS 3PTR by CRAFT,BLAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:36,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",1
09:10,,,,,"MISS 3PTR by ROBINSON,DENZEL",,,"MISS 3PTR by ROBINSON,DENZEL",1
--,,,,,"REBOUND OFF by MITCHELL,NICK",,,"REBOUND OFF by MITCHELL,NICK",1
09:04,,,,,"MISS JUMPER by MITCHELL,NICK",,,"MISS JUMPER by MITCHELL,NICK",1
--,"REBOUND DEF by CORTESE,NICK",,,,,,,"REBOUND DEF by CORTESE,NICK",1
08:44,"MISS 3PTR by CORTESE,NICK",,,,,,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",1
08:31,,,,,"MISS JUMPER by MITCHELL,NICK",,,"MISS JUMPER by MITCHELL,NICK",1
--,"REBOUND DEF by MERKEL,BRIAN",,,,,,,"REBOUND DEF by MERKEL,BRIAN",1
08:31,"MISS LAYUP by WHITE,TIM",,,,,,,"MISS LAYUP by WHITE,TIM",1
--,,,,,"REBOUND DEF by O'HARA,ROSS",,,"REBOUND DEF by O'HARA,ROSS",1
08:31,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",1
08:31,"SUB IN by BROWN,JEFF",,,,,,,"SUB IN by BROWN,JEFF",1
08:31,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
08:31,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
08:31,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",1
08:31,"SUB OUT by KINNEAR,KYLE",,,,,,,"SUB OUT by KINNEAR,KYLE",1
08:31,"SUB OUT by GRIFFON,JACKSON",,,,,,,"SUB OUT by GRIFFON,JACKSON",1
08:31,"SUB OUT by WILSON,KEVIN",,,,,,,"SUB OUT by WILSON,KEVIN",1
08:31,,,,,"SUB IN by O'HARA,ROSS",,,"SUB IN by O'HARA,ROSS",1
08:31,,,,,"SUB IN by ANDERSON,KYRON",,,"SUB IN by ANDERSON,KYRON",1
08:31,,,,,"SUB IN by MUNCH,PETER",,,"SUB IN by MUNCH,PETER",1
08:31,,,,,"SUB OUT by MITCHELL,NICK",,,"SUB OUT by MITCHELL,NICK",1
08:31,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",1
08:31,,,,,"SUB OUT by MACLIN,CATRELL",,,"SUB OUT by MACLIN,CATRELL",1
07:48,,15,,20 (+5),"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",LCM 15-20 (-5),,"GOOD LAYUP by VAUGHN,MARCUS(in the paint)",1
--,,,,,"ASSIST  by O'HARA,ROSS",,,"ASSIST  by O'HARA,ROSS",1
07:48,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",1
07:48,,15,,21 (+6),"GOOD FT by VAUGHN,MARCUS",LCM 15-21 (-6),,"GOOD FT by VAUGHN,MARCUS",1
07:32,"TURNOVER  by BROWN,JEFF",,,,,,,"TURNOVER  by BROWN,JEFF",1
07:30,,,,,"STEAL  by ANDERSON,KYRON",,,"STEAL  by ANDERSON,KYRON",1
07:27,,15,,23 (+8),"GOOD LAYUP by ANDERSON,KYRON(in the paint)",LCM 15-23 (-8),,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",1
07:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:23,"GOOD JUMPER by MEADES,TAYLOR",17,,23 (+6),,MSPSM 17-23 (-6),,"GOOD JUMPER by MEADES,TAYLOR",1
07:16,"TURNOVER  by KINNEAR,KYLE",,,,,,,"TURNOVER  by KINNEAR,KYLE",1
06:52,,,,,"MISS JUMPER by ROBINSON,DENZEL",,,"MISS JUMPER by ROBINSON,DENZEL",1
--,,,,,"REBOUND OFF by O'HARA,ROSS",,,"REBOUND OFF by O'HARA,ROSS",1
06:46,,,,,"MISS JUMPER by O'HARA,ROSS",,,"MISS JUMPER by O'HARA,ROSS",1
--,"REBOUND DEF by MEADES,TAYLOR",,,,,,,"REBOUND DEF by MEADES,TAYLOR",1
06:40,"GOOD LAYUP by BROWN,JEFF(in the paint)",19,,23 (+4),,MSPSM 19-23 (-4),,"GOOD LAYUP by BROWN,JEFF(in the paint)",1
--,"ASSIST  by MEADES,TAYLOR",,,,,,,"ASSIST  by MEADES,TAYLOR",1
06:32,,,,,"TURNOVER  by VAUGHN,MARCUS",,,"TURNOVER  by VAUGHN,MARCUS",1
06:32,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",1
06:32,,,,,"SUB IN by SANDERS,DOROUGH",,,"SUB IN by SANDERS,DOROUGH",1
06:32,,,,,"SUB IN by MITCHELL,NICK",,,"SUB IN by MITCHELL,NICK",1
06:32,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",1
06:32,,,,,"SUB OUT by ROBINSON,DENZEL",,,"SUB OUT by ROBINSON,DENZEL",1
06:32,,,,,"SUB OUT by MUNCH,PETER",,,"SUB OUT by MUNCH,PETER",1
06:23,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by CRAFT,BLAKE",,,"REBOUND DEF by CRAFT,BLAKE",1
06:23,,19,,25 (+6),"GOOD LAYUP by ANDERSON,KYRON(in the paint)",LCM 19-25 (-6),,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",1
--,,,,,"ASSIST  by CRAFT,BLAKE",,,"ASSIST  by CRAFT,BLAKE",1
06:23,"SUB IN by MEADES,TAYLOR",,,,,,,"SUB IN by MEADES,TAYLOR",1
06:23,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",1
06:23,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",1
06:23,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
05:55,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",21,,25 (+4),,MSPSM 21-25 (-4),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
05:55,,,,,"FOUL  by SANDERS,DOROUGH",,,"FOUL  by SANDERS,DOROUGH",1
05:55,"MISS FT by MEADES,TAYLOR",,,,,,,"MISS FT by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by O'HARA,ROSS",,,"REBOUND DEF by O'HARA,ROSS",1
05:47,,,,,"TURNOVER  by MITCHELL,NICK",,,"TURNOVER  by MITCHELL,NICK",1
05:42,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",1
05:28,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",23,,25 (+2),,MSPSM 23-25 (-2),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
05:12,,,,,"MISS 3PTR by CRAFT,BLAKE",,,"MISS 3PTR by CRAFT,BLAKE",1
--,"REBOUND DEF by WHITE,TIM",,,,,,,"REBOUND DEF by WHITE,TIM",1
05:06,,,,,"FOUL  by O'HARA,ROSS",,,"FOUL  by O'HARA,ROSS",1
05:06,"MISS FT by WHITE,TIM",,,,,,,"MISS FT by WHITE,TIM",1
--,,,,,"REBOUND DEF by O'HARA,ROSS",,,"REBOUND DEF by O'HARA,ROSS",1
04:49,,,,,"MISS JUMPER by O'HARA,ROSS",,,"MISS JUMPER by O'HARA,ROSS",1
--,"REBOUND DEF by BROWN,JEFF",,,,,,,"REBOUND DEF by BROWN,JEFF",1
04:27,"MISS JUMPER by BROWN,JEFF",,,,,,,"MISS JUMPER by BROWN,JEFF",1
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",1
