Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
02:33,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:33,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
02:33,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
02:33,"SUB IN by MERKEL,BRIAN",,,,,,,"SUB IN by MERKEL,BRIAN",2
02:33,"SUB OUT by GRIFFON,JACKSON",,,,,,,"SUB OUT by GRIFFON,JACKSON",2
02:33,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",2
02:17,,58,,81 (+23),"GOOD LAYUP by WHITE,BLAISE(in the paint)",BSC 58-81 (-23),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",2
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",2
02:04,"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",60,,81 (+21),,MC 60-81 (-21),,"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",2
01:33,"FOUL  by BROWN,JEFF",,,,,,,"FOUL  by BROWN,JEFF",2
01:33,,60,,82 (+22),"GOOD FT by HENRY,COLIN",BSC 60-82 (-22),,"GOOD FT by HENRY,COLIN",2
01:33,,60,,83 (+23),"GOOD FT by HENRY,COLIN",BSC 60-83 (-23),,"GOOD FT by HENRY,COLIN",2
01:33,"SUB IN by GRIFFON,JACKSON",,,,,,,"SUB IN by GRIFFON,JACKSON",2
01:33,"SUB IN by MONTGOMERY,JAYSON",,,,,,,"SUB IN by MONTGOMERY,JAYSON",2
01:33,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
01:33,"SUB OUT by BROWN,JEFF",,,,,,,"SUB OUT by BROWN,JEFF",2
01:33,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
01:33,"SUB OUT by WHITE,TIM",,,,,,,"SUB OUT by WHITE,TIM",2
01:33,,,,,"SUB IN by SHELTON,MIGUEL",,,"SUB IN by SHELTON,MIGUEL",2
01:33,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",2
01:33,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",2
01:33,,,,,"SUB IN by NEINER,JOSEPH",,,"SUB IN by NEINER,JOSEPH",2
01:33,,,,,"SUB IN by OLAFSSON,ODDUR",,,"SUB IN by OLAFSSON,ODDUR",2
01:33,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",2
01:33,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",2
01:33,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",2
01:33,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",2
01:33,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",2
01:19,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",2
01:08,,60,,85 (+25),"GOOD JUMPER by FREEMAN,SCHYLAR(in the paint)",BSC 60-85 (-25),,"GOOD JUMPER by FREEMAN,SCHYLAR(in the paint)",2
--,,,,,"ASSIST  by NEINER,JOSEPH",,,"ASSIST  by NEINER,JOSEPH",2
00:58,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",2
--,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",,,"REBOUND DEF by MARSCHNER,BRENDAN",2
00:51,,60,,87 (+27),"GOOD LAYUP by MARSCHNER,BRENDAN(fastbreak)(in the paint)",BSC 60-87 (-27),,"GOOD LAYUP by MARSCHNER,BRENDAN(fastbreak)(in the paint)",2
00:46,"SUB IN by BOTERO,NICHOLAS",,,,,,,"SUB IN by BOTERO,NICHOLAS",2
00:46,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",2
00:46,"SUB IN by LEAKS,ANTOINE",,,,,,,"SUB IN by LEAKS,ANTOINE",2
00:46,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
00:46,"SUB OUT by GRIFFON,JACKSON",,,,,,,"SUB OUT by GRIFFON,JACKSON",2
00:46,"SUB OUT by MONTGOMERY,JAYSON",,,,,,,"SUB OUT by MONTGOMERY,JAYSON",2
00:46,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
00:46,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",2
00:46,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",2
00:46,,,,,"SUB OUT by NEINER,JOSEPH",,,"SUB OUT by NEINER,JOSEPH",2
00:40,"TURNOVER  by LEAKS,ANTOINE",,,,,,,"TURNOVER  by LEAKS,ANTOINE",2
00:39,,,,,"STEAL  by GALFSKY,ANDER",,,"STEAL  by GALFSKY,ANDER",2
00:37,,,,,"MISS LAYUP by GALFSKY,ANDER",,,"MISS LAYUP by GALFSKY,ANDER",2
--,,,,,"REBOUND OFF by MARSCHNER,BRENDAN",,,"REBOUND OFF by MARSCHNER,BRENDAN",2
00:18,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",2
00:17,"STEAL  by LEAKS,ANTOINE",,,,,,,"STEAL  by LEAKS,ANTOINE",2
00:14,"MISS LAYUP by LEAKS,ANTOINE",,,,,,,"MISS LAYUP by LEAKS,ANTOINE",2
--,"REBOUND OFF by KASTNER,MURRAY",,,,,,,"REBOUND OFF by KASTNER,MURRAY",2
00:09,"MISS JUMPER by KASTNER,MURRAY",,,,,,,"MISS JUMPER by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",,,"REBOUND DEF by MARSCHNER,BRENDAN",2
