Time Remaining,UDMBB,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
05:49,"GOOD FT by GLADOLOR,PRINCE",63,,71 (+8),,UDMBB 63-71 (+8),,"GOOD FT by GLADOLOR,PRINCE",2
05:49,"SUB IN by SARRAT,MICHAEL",,,,,,,"SUB IN by SARRAT,MICHAEL",2
05:49,"SUB IN by GARATE,VICTOR",,,,,,,"SUB IN by GARATE,VICTOR",2
05:49,"SUB OUT by GLADOLOR,PRINCE",,,,,,,"SUB OUT by GLADOLOR,PRINCE",2
05:49,"SUB OUT by DICAMBIO,AUSTIN",,,,,,,"SUB OUT by DICAMBIO,AUSTIN",2
05:49,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",2
05:40,,63,,73 (+10),"GOOD JUMPER by STEELE,AARON(in the paint)",HC 63-73 (+10),,"GOOD JUMPER by STEELE,AARON(in the paint)",2
05:26,,,,,"FOUL  by MURPHEY,LUKE",,,"FOUL  by MURPHEY,LUKE",2
05:26,"GOOD FT by KAISER,TOM",64,,73 (+9),,UDMBB 64-73 (+9),,"GOOD FT by KAISER,TOM",2
05:26,"GOOD FT by KAISER,TOM",65,,73 (+8),,UDMBB 65-73 (+8),,"GOOD FT by KAISER,TOM",2
05:26,"FOUL  by GARATE,VICTOR",,,,,,,"FOUL  by GARATE,VICTOR",2
05:26,,65,,74 (+9),"GOOD FT by STEELE,AARON",HC 65-74 (+9),,"GOOD FT by STEELE,AARON",2
05:26,,,,,"MISS FT by STEELE,AARON",,,"MISS FT by STEELE,AARON",2
--,"REBOUND DEF by KAISER,TOM",,,,,,,"REBOUND DEF by KAISER,TOM",2
05:26,"SUB IN by GLADOLOR,PRINCE",,,,,,,"SUB IN by GLADOLOR,PRINCE",2
05:26,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
05:26,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
05:26,,,,,"SUB OUT by MURPHEY,LUKE",,,"SUB OUT by MURPHEY,LUKE",2
05:26,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
04:59,"GOOD JUMPER by KAISER,TOM(in the paint)",67,,74 (+7),,UDMBB 67-74 (+7),,"GOOD JUMPER by KAISER,TOM(in the paint)",2
--,"ASSIST  by GONZALEZ,LORENZO",,,,,,,"ASSIST  by GONZALEZ,LORENZO",2
04:30,,67,,76 (+9),"GOOD JUMPER by STEELE,AARON(in the paint)",HC 67-76 (+9),,"GOOD JUMPER by STEELE,AARON(in the paint)",2
04:13,"GOOD LAYUP by SARRAT,MICHAEL(in the paint)",69,,76 (+7),,UDMBB 69-76 (+7),,"GOOD LAYUP by SARRAT,MICHAEL(in the paint)",2
--,"ASSIST  by GARATE,VICTOR",,,,,,,"ASSIST  by GARATE,VICTOR",2
04:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:11,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",2
04:11,"SUB OUT by GLADOLOR,PRINCE",,,,,,,"SUB OUT by GLADOLOR,PRINCE",2
04:00,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",2
04:00,,69,,77 (+8),"GOOD FT by OGLE,JOHN",HC 69-77 (+8),,"GOOD FT by OGLE,JOHN",2
04:00,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",2
--,"REBOUND DEF by GONZALEZ,LORENZO",,,,,,,"REBOUND DEF by GONZALEZ,LORENZO",2
04:00,"SUB IN by GLADOLOR,PRINCE",,,,,,,"SUB IN by GLADOLOR,PRINCE",2
04:00,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",2
04:00,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",2
04:00,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
03:50,"TURNOVER  by GONZALEZ,LORENZO",,,,,,,"TURNOVER  by GONZALEZ,LORENZO",2
03:50,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",2
03:50,"SUB OUT by GLADOLOR,PRINCE",,,,,,,"SUB OUT by GLADOLOR,PRINCE",2
03:40,,69,,79 (+10),"GOOD JUMPER by STEELE,AARON(in the paint)",HC 69-79 (+10),,"GOOD JUMPER by STEELE,AARON(in the paint)",2
03:28,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
03:28,"GOOD FT by GONZALEZ,LORENZO",70,,79 (+9),,UDMBB 70-79 (+9),,"GOOD FT by GONZALEZ,LORENZO",2
03:28,"GOOD FT by GONZALEZ,LORENZO",71,,79 (+8),,UDMBB 71-79 (+8),,"GOOD FT by GONZALEZ,LORENZO",2
03:02,"FOUL  by GARATE,VICTOR",,,,,,,"FOUL  by GARATE,VICTOR",2
03:02,,71,,80 (+9),"GOOD FT by OGLE,JOHN",HC 71-80 (+9),,"GOOD FT by OGLE,JOHN",2
03:02,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",2
--,"REBOUND DEF by KAISER,TOM",,,,,,,"REBOUND DEF by KAISER,TOM",2
03:02,"SUB IN by GLADOLOR,PRINCE",,,,,,,"SUB IN by GLADOLOR,PRINCE",2
03:02,"SUB OUT by GARATE,VICTOR",,,,,,,"SUB OUT by GARATE,VICTOR",2
02:45,"TURNOVER  by GONZALEZ,LORENZO",,,,,,,"TURNOVER  by GONZALEZ,LORENZO",2
02:43,,,,,"STEAL  by STEELE,AARON",,,"STEAL  by STEELE,AARON",2
02:18,,,,,"MISS JUMPER by NIKOLOVSKI,DREW",,,"MISS JUMPER by NIKOLOVSKI,DREW",2
--,"REBOUND DEF by GONZALEZ,LORENZO",,,,,,,"REBOUND DEF by GONZALEZ,LORENZO",2
02:15,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
02:15,"GOOD FT by GONZALEZ,LORENZO",72,,80 (+8),,UDMBB 72-80 (+8),,"GOOD FT by GONZALEZ,LORENZO",2
02:15,"GOOD FT by GONZALEZ,LORENZO",73,,80 (+7),,UDMBB 73-80 (+7),,"GOOD FT by GONZALEZ,LORENZO",2
02:13,,,,,"TURNOVER  by STEELE,AARON",,,"TURNOVER  by STEELE,AARON",2
02:07,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
02:07,"GOOD FT by SARRAT,MICHAEL",74,,80 (+6),,UDMBB 74-80 (+6),,"GOOD FT by SARRAT,MICHAEL",2
02:07,"GOOD FT by SARRAT,MICHAEL",75,,80 (+5),,UDMBB 75-80 (+5),,"GOOD FT by SARRAT,MICHAEL",2
02:07,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",2
02:07,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
02:03,,75,,82 (+7),"GOOD JUMPER by STEELE,AARON(in the paint)",HC 75-82 (+7),,"GOOD JUMPER by STEELE,AARON(in the paint)",2
01:54,"MISS 3PTR by GONZALEZ,LORENZO",,,,,,,"MISS 3PTR by GONZALEZ,LORENZO",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
01:43,"FOUL  by SARRAT,MICHAEL",,,,,,,"FOUL  by SARRAT,MICHAEL",2
01:43,,,,,"MISS FT by BARRETT,JORDAN",,,"MISS FT by BARRETT,JORDAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:43,,,,,"MISS FT by BARRETT,JORDAN",,,"MISS FT by BARRETT,JORDAN",2
--,"REBOUND DEF by CALTON,EMMANUEL",,,,,,,"REBOUND DEF by CALTON,EMMANUEL",2
01:42,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
01:42,"MISS FT by CALTON,EMMANUEL",,,,,,,"MISS FT by CALTON,EMMANUEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:42,"MISS FT by CALTON,EMMANUEL",,,,,,,"MISS FT by CALTON,EMMANUEL",2
--,"REBOUND OFF by KAISER,TOM",,,,,,,"REBOUND OFF by KAISER,TOM",2
01:42,,,,,"SUB IN by BATCHELOR,BRYCE",,,"SUB IN by BATCHELOR,BRYCE",2
01:42,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
01:39,"GOOD LAYUP by SARRAT,MICHAEL(in the paint)",77,,82 (+5),,UDMBB 77-82 (+5),,"GOOD LAYUP by SARRAT,MICHAEL(in the paint)",2
--,"ASSIST  by KAISER,TOM",,,,,,,"ASSIST  by KAISER,TOM",2
01:37,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:22,"FOUL  by DICAMBIO,AUSTIN",,,,,,,"FOUL  by DICAMBIO,AUSTIN",2
01:22,,77,,83 (+6),"GOOD FT by STEELE,AARON",HC 77-83 (+6),,"GOOD FT by STEELE,AARON",2
01:22,,77,,84 (+7),"GOOD FT by STEELE,AARON",HC 77-84 (+7),,"GOOD FT by STEELE,AARON",2
01:08,"GOOD JUMPER by GLADOLOR,PRINCE(in the paint)",79,,84 (+5),,UDMBB 79-84 (+5),,"GOOD JUMPER by GLADOLOR,PRINCE(in the paint)",2
--,"ASSIST  by CALTON,EMMANUEL",,,,,,,"ASSIST  by CALTON,EMMANUEL",2
01:06,"SUB IN by DICAMBIO,AUSTIN",,,,,,,"SUB IN by DICAMBIO,AUSTIN",2
01:06,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",2
01:06,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
01:06,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
00:43,"FOUL  by GONZALEZ,LORENZO",,,,,,,"FOUL  by GONZALEZ,LORENZO",2
00:43,,79,,85 (+6),"GOOD FT by STEELE,AARON",HC 79-85 (+6),,"GOOD FT by STEELE,AARON",2
00:43,,,,,"MISS FT by STEELE,AARON",,,"MISS FT by STEELE,AARON",2
--,"REBOUND DEF by DICAMBIO,AUSTIN",,,,,,,"REBOUND DEF by DICAMBIO,AUSTIN",2
00:43,"SUB IN by KAISER,TOM",,,,,,,"SUB IN by KAISER,TOM",2
00:43,"SUB OUT by GLADOLOR,PRINCE",,,,,,,"SUB OUT by GLADOLOR,PRINCE",2
00:43,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
00:43,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
00:33,"MISS 3PTR by SARRAT,MICHAEL",,,,,,,"MISS 3PTR by SARRAT,MICHAEL",2
--,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",,,"REBOUND DEF by LITTLEFIELD,GEAREN",2
00:30,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",2
00:30,,79,,86 (+7),"GOOD FT by LITTLEFIELD,GEAREN",HC 79-86 (+7),,"GOOD FT by LITTLEFIELD,GEAREN",2
00:30,,79,,87 (+8),"GOOD FT by LITTLEFIELD,GEAREN",HC 79-87 (+8),,"GOOD FT by LITTLEFIELD,GEAREN",2
00:30,"SUB IN by GLADOLOR,PRINCE",,,,,,,"SUB IN by GLADOLOR,PRINCE",2
00:30,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",2
00:30,,,,,"SUB IN by VRANA,MAXWELL",,,"SUB IN by VRANA,MAXWELL",2
00:30,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",2
00:20,"MISS LAYUP by GONZALEZ,LORENZO",,,,,,,"MISS LAYUP by GONZALEZ,LORENZO",2
--,,,,,"REBOUND DEF by BARRETT,JORDAN",,,"REBOUND DEF by BARRETT,JORDAN",2
00:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:19,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
00:19,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
00:14,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
00:13,"STEAL  by GONZALEZ,LORENZO",,,,,,,"STEAL  by GONZALEZ,LORENZO",2
00:12,"MISS 3PTR by SARRAT,MICHAEL",,,,,,,"MISS 3PTR by SARRAT,MICHAEL",2
--,,,,,"REBOUND DEF by VRANA,MAXWELL",,,"REBOUND DEF by VRANA,MAXWELL",2
00:09,"FOUL  by DICAMBIO,AUSTIN",,,,,,,"FOUL  by DICAMBIO,AUSTIN",2
00:09,,,,,"MISS FT by VRANA,MAXWELL",,,"MISS FT by VRANA,MAXWELL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:09,,79,,88 (+9),"GOOD FT by VRANA,MAXWELL",HC 79-88 (+9),,"GOOD FT by VRANA,MAXWELL",2
00:09,"SUB IN by WHITNEY,SEAN",,,,,,,"SUB IN by WHITNEY,SEAN",2
00:09,"SUB OUT by DICAMBIO,AUSTIN",,,,,,,"SUB OUT by DICAMBIO,AUSTIN",2
