Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,WCM,Game Score,Team Indicator,Play,Period
03:42,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:42,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",2
03:42,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",2
03:33,"TURNOVER  by FERIA,NICK DE",,,,,,,"TURNOVER  by FERIA,NICK DE",2
03:32,,,,,"STEAL  by MENDEZ,RYAN",,,"STEAL  by MENDEZ,RYAN",2
03:29,,50,,86 (+36),"GOOD LAYUP by COLOSI,NICK(in the paint)",WCM 50-86 (-36),,"GOOD LAYUP by COLOSI,NICK(in the paint)",2
--,,,,,"ASSIST  by ZESATI,JESUS",,,"ASSIST  by ZESATI,JESUS",2
03:14,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",2
03:14,"TURNOVER  by SHEN,KEVIN",,,,,,,"TURNOVER  by SHEN,KEVIN",2
02:57,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",2
02:57,,50,,87 (+37),"GOOD FT by LEWIS,CHESTER",WCM 50-87 (-37),,"GOOD FT by LEWIS,CHESTER",2
02:57,,,,,"MISS FT by LEWIS,CHESTER",,,"MISS FT by LEWIS,CHESTER",2
--,,,,,"REBOUND OFF by COLOSI,NICK",,,"REBOUND OFF by COLOSI,NICK",2
02:57,"SUB IN by LOVE,KERRY",,,,,,,"SUB IN by LOVE,KERRY",2
02:57,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",2
02:46,,,,,"MISS LAYUP by COLOSI,NICK",,,"MISS LAYUP by COLOSI,NICK",2
--,,,,,"REBOUND OFF by LEWIS,CHESTER",,,"REBOUND OFF by LEWIS,CHESTER",2
02:38,,50,,90 (+40),"GOOD 3PTR by ZESATI,JESUS",WCM 50-90 (-40),,"GOOD 3PTR by ZESATI,JESUS",2
--,,,,,"ASSIST  by ARUTA,JACOB",,,"ASSIST  by ARUTA,JACOB",2
02:34,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",2
02:34,"SUB OUT by GUEST,TYLER",,,,,,,"SUB OUT by GUEST,TYLER",2
02:20,"MISS LAYUP by LOVE,KERRY",,,,,,,"MISS LAYUP by LOVE,KERRY",2
--,,,,,"REBOUND DEF by COLOSI,NICK",,,"REBOUND DEF by COLOSI,NICK",2
02:00,,50,,92 (+42),"GOOD JUMPER by COLOSI,NICK",WCM 50-92 (-42),,"GOOD JUMPER by COLOSI,NICK",2
01:39,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",2
--,,,,,"REBOUND DEF by ZESATI,JESUS",,,"REBOUND DEF by ZESATI,JESUS",2
01:20,,,,,"MISS LAYUP by ARUTA,JACOB",,,"MISS LAYUP by ARUTA,JACOB",2
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",2
01:10,"GOOD 3PTR by LOVE,KERRY",53,,92 (+39),,RHODES 53-92 (-39),,"GOOD 3PTR by LOVE,KERRY",2
--,"ASSIST  by SAMSON,VAUGHN",,,,,,,"ASSIST  by SAMSON,VAUGHN",2
00:40,,53,,94 (+41),"GOOD LAYUP by COLOSI,NICK(in the paint)",WCM 53-94 (-41),,"GOOD LAYUP by COLOSI,NICK(in the paint)",2
00:32,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",2
--,"REBOUND OFF by SAMSON,VAUGHN",,,,,,,"REBOUND OFF by SAMSON,VAUGHN",2
00:27,"GOOD 3PTR by GALVIN,OWEN",56,,94 (+38),,RHODES 56-94 (-38),,"GOOD 3PTR by GALVIN,OWEN",2
--,"ASSIST  by SAMSON,VAUGHN",,,,,,,"ASSIST  by SAMSON,VAUGHN",2
