Time Remaining,BERRY-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by LEBLANC,CASS",,,,,,,"REBOUND DEF by LEBLANC,CASS",2
18:18,"MISS JUMPER by MILES,TIM",,,,,,,"MISS JUMPER by MILES,TIM",2
--,"REBOUND OFF by LEBLANC,CASS",,,,,,,"REBOUND OFF by LEBLANC,CASS",2
18:07,"TURNOVER  by MILES,TIM",,,,,,,"TURNOVER  by MILES,TIM",2
18:06,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
18:02,,,,,"MISS LAYUP by BRYANT,VALENTINO",,,"MISS LAYUP by BRYANT,VALENTINO",2
--,"REBOUND DEF by WOODS,STEFAN",,,,,,,"REBOUND DEF by WOODS,STEFAN",2
17:52,"GOOD JUMPER by GADIE,KENDALL",32,,33 (+1),,BERRY-M 32-33 (+1),,"GOOD JUMPER by GADIE,KENDALL",2
17:26,,32,,36 (+4),"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 32-36 (+4),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
17:11,"MISS LAYUP by HOLLOMAN,DAVID",,,,,,,"MISS LAYUP by HOLLOMAN,DAVID",2
--,"REBOUND OFF by LEBLANC,CASS",,,,,,,"REBOUND OFF by LEBLANC,CASS",2
17:06,"GOOD JUMPER by LEBLANC,CASS",34,,36 (+2),,BERRY-M 34-36 (+2),,"GOOD JUMPER by LEBLANC,CASS",2
16:50,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by MILES,TIM",,,,,,,"REBOUND DEF by MILES,TIM",2
16:40,"GOOD LAYUP by WOODS,STEFAN(in the paint)",36,,36,,BERRY-M 36-36 (0),,"GOOD LAYUP by WOODS,STEFAN(in the paint)",2
--,"ASSIST  by MILES,TIM",,,,,,,"ASSIST  by MILES,TIM",2
16:04,,,,,"MISS 3PTR by COWAN,MATT",,,"MISS 3PTR by COWAN,MATT",2
--,"REBOUND DEF by LEBLANC,CASS",,,,,,,"REBOUND DEF by LEBLANC,CASS",2
15:45,"GOOD LAYUP by HOLLOMAN,DAVID(in the paint)",38 (+2),,36,,BERRY-M 38-36 (-2),,"GOOD LAYUP by HOLLOMAN,DAVID(in the paint)",2
15:42,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
15:42,"MISS FT by HOLLOMAN,DAVID",,,,,,,"MISS FT by HOLLOMAN,DAVID",2
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",2
15:35,,,,,"TURNOVER  by MARELLE,TONY",,,"TURNOVER  by MARELLE,TONY",2
