Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,DEPAUW,Game Score,Team Indicator,Play,Period
16:28,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by HASELEY,SEAN",,,"REBOUND DEF by HASELEY,SEAN",2
15:56,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
15:56,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
15:56,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
15:52,,40,,57 (+17),"GOOD JUMPER by HASELEY,SEAN(in the paint)",DEPAUW 40-57 (-17),,"GOOD JUMPER by HASELEY,SEAN(in the paint)",2
15:29,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",2
15:29,"TURNOVER  by MARTIN,SAM",,,,,,,"TURNOVER  by MARTIN,SAM",2
15:29,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",2
15:29,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",2
14:56,,40,,59 (+19),"GOOD LAYUP by HASELEY,SEAN(in the paint)",DEPAUW 40-59 (-19),,"GOOD LAYUP by HASELEY,SEAN(in the paint)",2
--,,,,,"ASSIST  by WILKISON,MICHAEL",,,"ASSIST  by WILKISON,MICHAEL",2
14:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:48,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",2
14:48,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
14:48,,,,,"SUB IN by BURNS,CAMRON",,,"SUB IN by BURNS,CAMRON",2
14:48,,,,,"SUB OUT by SEVER,RYAN",,,"SUB OUT by SEVER,RYAN",2
14:36,"MISS 3PTR by NELSON,ANVIL",,,,,,,"MISS 3PTR by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by BURNS,CAMRON",,,"REBOUND DEF by BURNS,CAMRON",2
14:20,,,,,"MISS 3PTR by LEMASTERS,STEVE",,,"MISS 3PTR by LEMASTERS,STEVE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:00,,,,,"FOUL  by WILKISON,MICHAEL",,,"FOUL  by WILKISON,MICHAEL",2
14:00,"GOOD FT by WILLIAMS,TRENT",41,,59 (+18),,SEWANEE 41-59 (-18),,"GOOD FT by WILLIAMS,TRENT",2
14:00,"GOOD FT by WILLIAMS,TRENT",42,,59 (+17),,SEWANEE 42-59 (-17),,"GOOD FT by WILLIAMS,TRENT",2
13:38,,,,,"TURNOVER  by WILKISON,MICHAEL",,,"TURNOVER  by WILKISON,MICHAEL",2
13:37,,,,,"SUB IN by WILLS,DREW",,,"SUB IN by WILLS,DREW",2
13:37,,,,,"SUB OUT by SIMPSON,ROSS",,,"SUB OUT by SIMPSON,ROSS",2
13:07,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",44,,59 (+15),,SEWANEE 44-59 (-15),,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",2
12:32,,,,,"MISS 3PTR by WILKISON,MICHAEL",,,"MISS 3PTR by WILKISON,MICHAEL",2
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",2
12:23,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",2
--,"REBOUND OFF by BEVIACQUA,BRYAN",,,,,,,"REBOUND OFF by BEVIACQUA,BRYAN",2
12:04,,,,,"FOUL  by BURNS,CAMRON",,,"FOUL  by BURNS,CAMRON",2
12:04,,,,,"SUB IN by WEAKLEY,TOMMY",,,"SUB IN by WEAKLEY,TOMMY",2
12:04,,,,,"SUB OUT by LEMASTERS,STEVE",,,"SUB OUT by LEMASTERS,STEVE",2
11:47,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by BURNS,CAMRON",,,"REBOUND DEF by BURNS,CAMRON",2
11:23,,,,,"MISS JUMPER by BURNS,CAMRON",,,"MISS JUMPER by BURNS,CAMRON",2
--,,,,,"REBOUND OFF by HASELEY,SEAN",,,"REBOUND OFF by HASELEY,SEAN",2
11:20,,44,,61 (+17),"GOOD LAYUP by HASELEY,SEAN(in the paint)",DEPAUW 44-61 (-17),,"GOOD LAYUP by HASELEY,SEAN(in the paint)",2
11:03,,,,,"FOUL  by WILKISON,MICHAEL",,,"FOUL  by WILKISON,MICHAEL",2
11:03,"MISS FT by BOULDIN,BRETT",,,,,,,"MISS FT by BOULDIN,BRETT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:03,"GOOD FT by BOULDIN,BRETT",45,,61 (+16),,SEWANEE 45-61 (-16),,"GOOD FT by BOULDIN,BRETT",2
11:03,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
11:03,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
11:03,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
11:03,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
