Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
01:51,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
01:32,,26,,26,"GOOD JUMPER by GERCHOW,ALEX",MILLMBB 26-26 (0),,"GOOD JUMPER by GERCHOW,ALEX",1
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",1
01:19,"GOOD LAYUP by THOMPSON,GIOVANNY(in the paint)",28 (+2),,26,,LETU 28-26 (-2),,"GOOD LAYUP by THOMPSON,GIOVANNY(in the paint)",1
01:08,,28,,28,"GOOD JUMPER by MCSWAIN,JOSHUA",MILLMBB 28-28 (0),,"GOOD JUMPER by MCSWAIN,JOSHUA",1
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",1
00:55,"TURNOVER  by THOMPSON,GIOVANNY",,,,,,,"TURNOVER  by THOMPSON,GIOVANNY",1
00:41,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",1
--,"REBOUND DEF by ERBY,BRYSON",,,,,,,"REBOUND DEF by ERBY,BRYSON",1
00:33,"GOOD LAYUP by SCHEXNAYDER,GREG(fastbreak)(in the paint)",30 (+2),,28,,LETU 30-28 (-2),,"GOOD LAYUP by SCHEXNAYDER,GREG(fastbreak)(in the paint)",1
00:04,,,,,"MISS LAYUP by JONES,BLAKE",,,"MISS LAYUP by JONES,BLAKE",1
--,"REBOUND DEF by SCHEXNAYDER,GREG",,,,,,,"REBOUND DEF by SCHEXNAYDER,GREG",1
00:00,"MISS 3PTR by SCHEXNAYDER,GREG",,,,,,,"MISS 3PTR by SCHEXNAYDER,GREG",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by KENNEDY,JAKE",,,,,,,"SUB IN by KENNEDY,JAKE",2
20:00,"SUB OUT by LOGGINS,CALEB",,,,,,,"SUB OUT by LOGGINS,CALEB",2
19:45,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",2
19:42,"STEAL  by EDWARDS,CJ",,,,,,,"STEAL  by EDWARDS,CJ",2
19:39,"GOOD 3PTR by COLHOFF,ALEC",33 (+5),,28,,LETU 33-28 (-5),,"GOOD 3PTR by COLHOFF,ALEC",2
--,"ASSIST  by EDWARDS,CJ",,,,,,,"ASSIST  by EDWARDS,CJ",2
19:24,,33 (+3),,30,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLMBB 33-30 (-3),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
19:15,,,,,"FOUL  by JONES,BLAKE",,,"FOUL  by JONES,BLAKE",2
19:15,"GOOD FT by MARTIN,JEFF",34 (+4),,30,,LETU 34-30 (-4),,"GOOD FT by MARTIN,JEFF",2
19:15,"GOOD FT by MARTIN,JEFF",35 (+5),,30,,LETU 35-30 (-5),,"GOOD FT by MARTIN,JEFF",2
