Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MILLMBB,Game Score,Team Indicator,Play,Period
01:53,"GOOD FT by SULLIVAN,ALAN",66 (+2),,64,,ACM 66-64 (-2),,"GOOD FT by SULLIVAN,ALAN",2
01:53,"MISS FT by SULLIVAN,ALAN",,,,,,,"MISS FT by SULLIVAN,ALAN",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
01:53,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
01:53,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",2
01:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:37,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",2
01:37,,66 (+1),,65,"GOOD FT by ROBERTSON,MARC",MILLMBB 66-65 (-1),,"GOOD FT by ROBERTSON,MARC",2
01:37,,66,,66,"GOOD FT by ROBERTSON,MARC",MILLMBB 66-66 (0),,"GOOD FT by ROBERTSON,MARC",2
01:10,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",2
01:10,"MISS FT by BAEHL,BRIAN",,,,,,,"MISS FT by BAEHL,BRIAN",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
00:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:45,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
00:42,,66,,68 (+2),"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLMBB 66-68 (+2),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",2
00:30,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
00:30,"GOOD FT by SULLIVAN,ALAN",67,,68 (+1),,ACM 67-68 (+1),,"GOOD FT by SULLIVAN,ALAN",2
00:30,"GOOD FT by SULLIVAN,ALAN",68,,68,,ACM 68-68 (0),,"GOOD FT by SULLIVAN,ALAN",2
00:06,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
00:00,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:00,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",3
05:00,,,,,"SUB OUT by MCSWAIN,JOSHUA",,,"SUB OUT by MCSWAIN,JOSHUA",3
04:46,"GOOD JUMPER by SULLIVAN,ALAN",70 (+2),,68,,ACM 70-68 (-2),,"GOOD JUMPER by SULLIVAN,ALAN",3
04:24,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",3
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",3
04:19,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",3
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",3
04:01,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",3
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",3
03:47,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",72 (+4),,68,,ACM 72-68 (-4),,"GOOD LAYUP by IGBINOSA,STEPHEN(in the paint)",3
--,"ASSIST  by SULLIVAN,ALAN",,,,,,,"ASSIST  by SULLIVAN,ALAN",3
03:28,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",3
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",3
03:00,"TURNOVER  by HUDSON,CEDRIC",,,,,,,"TURNOVER  by HUDSON,CEDRIC",3
03:00,,,,,"SUB IN by MCSWAIN,JOSHUA",,,"SUB IN by MCSWAIN,JOSHUA",3
03:00,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",3
02:46,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",3
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",3
02:14,"MISS JUMPER by HUDSON,CEDRIC",,,,,,,"MISS JUMPER by HUDSON,CEDRIC",3
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",3
02:06,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",3
02:06,,72 (+3),,69,"GOOD FT by ATKINSON,QUINN",MILLMBB 72-69 (-3),,"GOOD FT by ATKINSON,QUINN",3
02:06,,72 (+2),,70,"GOOD FT by ATKINSON,QUINN",MILLMBB 72-70 (-2),,"GOOD FT by ATKINSON,QUINN",3
02:06,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",3
02:06,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",3
01:49,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",3
01:49,"GOOD FT by SULLIVAN,ALAN",73 (+3),,70,,ACM 73-70 (-3),,"GOOD FT by SULLIVAN,ALAN",3
01:49,"MISS FT by SULLIVAN,ALAN",,,,,,,"MISS FT by SULLIVAN,ALAN",3
--,,,,,"REBOUND DEF by MCSWAIN,JOSHUA",,,"REBOUND DEF by MCSWAIN,JOSHUA",3
01:49,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",3
01:36,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",3
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,3
01:17,"FOUL  by FREET,AUSTIN",,,,,,,"FOUL  by FREET,AUSTIN",3
01:11,,,,,"MISS FT by MCSWAIN,JOSHUA",,,"MISS FT by MCSWAIN,JOSHUA",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
01:11,,,,,"MISS FT by MCSWAIN,JOSHUA",,,"MISS FT by MCSWAIN,JOSHUA",3
--,"REBOUND DEF by HUDSON,CEDRIC",,,,,,,"REBOUND DEF by HUDSON,CEDRIC",3
01:02,,,,,"FOUL  by ATKINSON,QUINN",,,"FOUL  by ATKINSON,QUINN",3
01:02,"MISS FT by BAEHL,BRIAN",,,,,,,"MISS FT by BAEHL,BRIAN",3
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,3
01:02,"GOOD FT by BAEHL,BRIAN",74 (+4),,70,,ACM 74-70 (-4),,"GOOD FT by BAEHL,BRIAN",3
00:45,,74 (+2),,72,"GOOD JUMPER by MCSWAIN,JOSHUA",MILLMBB 74-72 (-2),,"GOOD JUMPER by MCSWAIN,JOSHUA",3
--,,,,,"ASSIST  by JONES,BLAKE",,,"ASSIST  by JONES,BLAKE",3
00:41,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,3
00:24,"GOOD 3PTR by BAEHL,BRIAN",77 (+5),,72,,ACM 77-72 (-5),,"GOOD 3PTR by BAEHL,BRIAN",3
--,"ASSIST  by SULLIVAN,ALAN",,,,,,,"ASSIST  by SULLIVAN,ALAN",3
00:17,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",3
--,"REBOUND DEF by FREET,AUSTIN",,,,,,,"REBOUND DEF by FREET,AUSTIN",3
00:11,,,,,"FOUL  by MARKWITH,TRENT",,,"FOUL  by MARKWITH,TRENT",3
00:11,"GOOD FT by FREET,AUSTIN",78 (+6),,72,,ACM 78-72 (-6),,"GOOD FT by FREET,AUSTIN",3
00:11,"MISS FT by FREET,AUSTIN",,,,,,,"MISS FT by FREET,AUSTIN",3
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",3
00:07,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",3
--,,,,,"REBOUND OFF by MARKWITH,TRENT",,,"REBOUND OFF by MARKWITH,TRENT",3
00:02,,78 (+4),,74,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",MILLMBB 78-74 (-4),,"GOOD LAYUP by MARKWITH,TRENT(in the paint)",3
