Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
06:34,,,,,"MISS JUMPER by BERRY,BRYCE",,,"MISS JUMPER by BERRY,BRYCE",2
06:34,"BLOCK  by KEOGH,REAGAN",,,,,,,"BLOCK  by KEOGH,REAGAN",2
--,"REBOUND DEF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND DEF by UNDERWOOD,DIMITRIUS",2
06:28,"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",107 (+16),,91,,UTD 107-91 (-16),,"GOOD LAYUP by HATCHER,JON(fastbreak)(in the paint)",2
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
06:18,,107 (+13),,94,"GOOD 3PTR by DARST,DANIEL",RHODES 107-94 (-13),,"GOOD 3PTR by DARST,DANIEL",2
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",2
06:07,"MISS JUMPER by KEOGH,REAGAN",,,,,,,"MISS JUMPER by KEOGH,REAGAN",2
06:07,,,,,"BLOCK  by DARST,DANIEL",,,"BLOCK  by DARST,DANIEL",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
06:01,,107 (+11),,96,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",RHODES 107-96 (-11),,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",2
05:50,"MISS JUMPER by KEOGH,REAGAN",,,,,,,"MISS JUMPER by KEOGH,REAGAN",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
05:43,,107 (+9),,98,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",RHODES 107-98 (-9),,"GOOD LAYUP by BERRY,BRYCE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by NYAWATA,ANESU",,,"ASSIST  by NYAWATA,ANESU",2
05:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:42,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",2
05:42,"SUB OUT by KEOGH,REAGAN",,,,,,,"SUB OUT by KEOGH,REAGAN",2
05:42,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",2
05:42,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",2
05:42,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",2
05:42,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",2
05:42,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",2
05:42,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
05:42,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",2
05:42,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
05:23,"GOOD LAYUP by BURWITZ,HANS(in the paint)",109 (+11),,98,,UTD 109-98 (-11),,"GOOD LAYUP by BURWITZ,HANS(in the paint)",2
--,"ASSIST  by BANKS,CALEB",,,,,,,"ASSIST  by BANKS,CALEB",2
05:10,,109 (+9),,100,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",RHODES 109-100 (-9),,"GOOD LAYUP by SAMSON,VAUGHN(in the paint)",2
04:51,"MISS JUMPER by BANKS,CALEB",,,,,,,"MISS JUMPER by BANKS,CALEB",2
--,"REBOUND OFF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND OFF by UNDERWOOD,DIMITRIUS",2
04:44,"MISS LAYUP by UNDERWOOD,DIMITRIUS",,,,,,,"MISS LAYUP by UNDERWOOD,DIMITRIUS",2
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",2
04:34,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",2
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",2
04:30,,,,,"MISS LAYUP by GIROUX,PRESTON",,,"MISS LAYUP by GIROUX,PRESTON",2
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",2
04:23,"GOOD JUMPER by UNDERWOOD,DIMITRIUS(fastbreak)(in the paint)",111 (+11),,100,,UTD 111-100 (-11),,"GOOD JUMPER by UNDERWOOD,DIMITRIUS(fastbreak)(in the paint)",2
04:00,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",2
--,"REBOUND DEF by HATCHER,JON",,,,,,,"REBOUND DEF by HATCHER,JON",2
03:59,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",2
03:59,"MISS FT by HATCHER,JON",,,,,,,"MISS FT by HATCHER,JON",2
--,,,,,"REBOUND DEF by SWIFT,DJ",,,"REBOUND DEF by SWIFT,DJ",2
03:59,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",2
03:59,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",2
03:59,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
03:59,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
03:59,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
03:59,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",2
03:59,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
03:59,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",2
03:53,"SUB IN by FERRELL,XAVIER",,,,,,,"SUB IN by FERRELL,XAVIER",2
03:53,"SUB OUT by UNDERWOOD,DIMITRIUS",,,,,,,"SUB OUT by UNDERWOOD,DIMITRIUS",2
03:49,,,,,"MISS 3PTR by NYAWATA,ANESU",,,"MISS 3PTR by NYAWATA,ANESU",2
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",2
03:45,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",2
03:45,"GOOD FT by BURWITZ,HANS",112 (+12),,100,,UTD 112-100 (-12),,"GOOD FT by BURWITZ,HANS",2
03:45,"GOOD FT by BURWITZ,HANS",113 (+13),,100,,UTD 113-100 (-13),,"GOOD FT by BURWITZ,HANS",2
03:39,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",2
03:39,"SUB IN by UNDERWOOD,DIMITRIUS",,,,,,,"SUB IN by UNDERWOOD,DIMITRIUS",2
03:39,"SUB OUT by ALLEN,CURTIS",,,,,,,"SUB OUT by ALLEN,CURTIS",2
03:32,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",2
03:32,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",2
03:32,,,,,"SUB IN by SAMSON,VAUGHN",,,"SUB IN by SAMSON,VAUGHN",2
03:32,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",2
03:32,,,,,"SUB IN by FERIA,NICK DE",,,"SUB IN by FERIA,NICK DE",2
03:32,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",2
03:32,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",2
03:32,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
03:32,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",2
03:32,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
03:29,"MISS JUMPER by UNDERWOOD,DIMITRIUS",,,,,,,"MISS JUMPER by UNDERWOOD,DIMITRIUS",2
--,"REBOUND OFF by BANKS,CALEB",,,,,,,"REBOUND OFF by BANKS,CALEB",2
03:22,"GOOD JUMPER by UNDERWOOD,DIMITRIUS",115 (+15),,100,,UTD 115-100 (-15),,"GOOD JUMPER by UNDERWOOD,DIMITRIUS",2
03:10,,,,,"MISS JUMPER by GALVIN,OWEN",,,"MISS JUMPER by GALVIN,OWEN",2
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",2
02:44,"TURNOVER  by UNDERWOOD,DIMITRIUS",,,,,,,"TURNOVER  by UNDERWOOD,DIMITRIUS",2
02:42,,,,,"STEAL  by WEATHERFORD,MITCH",,,"STEAL  by WEATHERFORD,MITCH",2
02:38,"FOUL  by FERRELL,XAVIER",,,,,,,"FOUL  by FERRELL,XAVIER",2
02:38,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",2
02:38,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",2
02:38,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
02:38,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
02:38,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",2
02:38,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
02:38,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",2
02:38,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",2
02:38,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",2
02:38,,,,,"SUB OUT by FERIA,NICK DE",,,"SUB OUT by FERIA,NICK DE",2
02:34,,115 (+13),,102,"GOOD LAYUP by DARST,DANIEL(in the paint)",RHODES 115-102 (-13),,"GOOD LAYUP by DARST,DANIEL(in the paint)",2
02:34,"FOUL  by BURWITZ,HANS",,,,,,,"FOUL  by BURWITZ,HANS",2
02:34,,115 (+12),,103,"GOOD FT by DARST,DANIEL",RHODES 115-103 (-12),,"GOOD FT by DARST,DANIEL",2
02:12,"MISS JUMPER by UNDERWOOD,DIMITRIUS",,,,,,,"MISS JUMPER by UNDERWOOD,DIMITRIUS",2
--,"REBOUND OFF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND OFF by UNDERWOOD,DIMITRIUS",2
02:02,"MISS JUMPER by UNDERWOOD,DIMITRIUS",,,,,,,"MISS JUMPER by UNDERWOOD,DIMITRIUS",2
--,"REBOUND OFF by UNDERWOOD,DIMITRIUS",,,,,,,"REBOUND OFF by UNDERWOOD,DIMITRIUS",2
01:35,"MISS JUMPER by HATCHER,JON",,,,,,,"MISS JUMPER by HATCHER,JON",2
--,"REBOUND OFF by FERRELL,XAVIER",,,,,,,"REBOUND OFF by FERRELL,XAVIER",2
01:26,"MISS JUMPER by UNDERWOOD,DIMITRIUS",,,,,,,"MISS JUMPER by UNDERWOOD,DIMITRIUS",2
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",2
01:21,,,,,"MISS 3PTR by DALTON,PRICE",,,"MISS 3PTR by DALTON,PRICE",2
--,"REBOUND DEF by FERRELL,XAVIER",,,,,,,"REBOUND DEF by FERRELL,XAVIER",2
01:11,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",117 (+14),,103,,UTD 117-103 (-14),,"GOOD LAYUP by BURWITZ,HANS(fastbreak)(in the paint)",2
--,"ASSIST  by UNDERWOOD,DIMITRIUS",,,,,,,"ASSIST  by UNDERWOOD,DIMITRIUS",2
01:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:09,"SUB IN by ALLEN,CURTIS",,,,,,,"SUB IN by ALLEN,CURTIS",2
01:09,"SUB IN by KEOGH,REAGAN",,,,,,,"SUB IN by KEOGH,REAGAN",2
01:09,"SUB OUT by FERRELL,XAVIER",,,,,,,"SUB OUT by FERRELL,XAVIER",2
01:09,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",2
01:09,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",2
01:09,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",2
01:09,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",2
01:09,,,,,"SUB OUT by SWIFT,DJ",,,"SUB OUT by SWIFT,DJ",2
01:09,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
01:09,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
01:09,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",2
01:01,,,,,"MISS 3PTR by EVANS,ANDREW",,,"MISS 3PTR by EVANS,ANDREW",2
--,"REBOUND DEF by BANKS,CALEB",,,,,,,"REBOUND DEF by BANKS,CALEB",2
00:31,"MISS JUMPER by UNDERWOOD,DIMITRIUS",,,,,,,"MISS JUMPER by UNDERWOOD,DIMITRIUS",2
--,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",,,"REBOUND DEF by NESTLEHUTT,JAKE",2
00:12,,117 (+12),,105,"GOOD LAYUP by ROTEMAN,EVAN(in the paint)",RHODES 117-105 (-12),,"GOOD LAYUP by ROTEMAN,EVAN(in the paint)",2
