Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,UTT,Game Score,Team Indicator,Play,Period
14:08,"SUB OUT by SWIFT,DJ",,,,,,,"SUB OUT by SWIFT,DJ",1
14:08,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
14:08,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
14:05,,15 (+2),,13,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",UTT 15-13 (+2),,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",1
--,,,,,"ASSIST  by HADDEN,SKYLER",,,"ASSIST  by HADDEN,SKYLER",1
13:54,"GOOD 3PTR by NESTLEHUTT,JAKE",18 (+5),,13,,RHODES 18-13 (+5),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,"ASSIST  by NYAWATA,ANESU",,,,,,,"ASSIST  by NYAWATA,ANESU",1
13:42,,,,,"TURNOVER  by TATUM,JOSH",,,"TURNOVER  by TATUM,JOSH",1
13:40,"STEAL  by DALTON,PRICE",,,,,,,"STEAL  by DALTON,PRICE",1
13:36,"TURNOVER  by DALTON,PRICE",,,,,,,"TURNOVER  by DALTON,PRICE",1
13:34,,,,,"STEAL  by TATUM,JOSH",,,"STEAL  by TATUM,JOSH",1
13:32,"FOUL  by NESTLEHUTT,JAKE",,,,,,,"FOUL  by NESTLEHUTT,JAKE",1
13:32,,,,,"MISS FT by TATUM,JOSH",,,"MISS FT by TATUM,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:32,,,,,"MISS FT by TATUM,JOSH",,,"MISS FT by TATUM,JOSH",1
--,"REBOUND DEF by ASHBY,KENDRICK",,,,,,,"REBOUND DEF by ASHBY,KENDRICK",1
13:25,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",20 (+7),,13,,RHODES 20-13 (+7),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
13:15,,,,,"MISS LAYUP by TATUM,JOSH",,,"MISS LAYUP by TATUM,JOSH",1
--,,,,,"REBOUND OFF by OBUKWELU,EMEKA",,,"REBOUND OFF by OBUKWELU,EMEKA",1
13:12,,20 (+5),,15,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",UTT 20-15 (+5),,"GOOD LAYUP by OBUKWELU,EMEKA(in the paint)",1
13:06,,,,,"FOUL  by FRANK,CAMERON",,,"FOUL  by FRANK,CAMERON",1
13:06,"SUB IN by EVANS,ANDREW",,,,,,,"SUB IN by EVANS,ANDREW",1
13:06,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
13:06,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
13:06,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
13:06,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
13:06,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
13:06,"SUB OUT by MCINTYRE,WILLIAM",,,,,,,"SUB OUT by MCINTYRE,WILLIAM",1
13:06,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
13:06,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
13:06,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
13:05,"MISS 3PTR by EVANS,ANDREW",,,,,,,"MISS 3PTR by EVANS,ANDREW",1
--,"REBOUND OFF by WEATHERFORD,MITCH",,,,,,,"REBOUND OFF by WEATHERFORD,MITCH",1
12:58,"TURNOVER  by WEATHERFORD,MITCH",,,,,,,"TURNOVER  by WEATHERFORD,MITCH",1
12:57,,,,,"STEAL  by TATUM,JOSH",,,"STEAL  by TATUM,JOSH",1
12:54,,,,,"TURNOVER  by HADDEN,SKYLER",,,"TURNOVER  by HADDEN,SKYLER",1
12:54,,,,,"FOUL  by HADDEN,SKYLER",,,"FOUL  by HADDEN,SKYLER",1
12:43,"MISS 3PTR by EVANS,ANDREW",,,,,,,"MISS 3PTR by EVANS,ANDREW",1
--,,,,,"REBOUND DEF by OBUKWELU,EMEKA",,,"REBOUND DEF by OBUKWELU,EMEKA",1
12:29,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
12:24,,,,,"MISS LAYUP by OBUKWELU,EMEKA",,,"MISS LAYUP by OBUKWELU,EMEKA",1
--,"REBOUND DEF by SAMSON,VAUGHN",,,,,,,"REBOUND DEF by SAMSON,VAUGHN",1
