Time Remaining,FUM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
02:48,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
02:35,"MISS JUMPER by DORHAUER,RICHARD",,,,,,,"MISS JUMPER by DORHAUER,RICHARD",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
02:17,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
02:16,,20,,34 (+14),"GOOD LAYUP by MILLER,DREW(in the paint)",RHODES 20-34 (+14),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
02:16,"FOUL  by JOHNSON,EVAN",,,,,,,"FOUL  by JOHNSON,EVAN",1
02:16,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,"REBOUND DEF by JOHNSON,EVAN",,,,,,,"REBOUND DEF by JOHNSON,EVAN",1
02:16,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
02:16,,,,,"SUB OUT by BLISS,DYLAN",,,"SUB OUT by BLISS,DYLAN",1
01:53,"MISS LAYUP by LAKE,JACK",,,,,,,"MISS LAYUP by LAKE,JACK",1
--,,,,,"REBOUND DEF by SLEDGE,TATE",,,"REBOUND DEF by SLEDGE,TATE",1
01:27,"SUB IN by SCHIRMER,COLIN",,,,,,,"SUB IN by SCHIRMER,COLIN",1
01:27,"SUB OUT by BAKIS,ORKAN",,,,,,,"SUB OUT by BAKIS,ORKAN",1
01:23,,20,,36 (+16),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 20-36 (+16),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
01:08,"MISS 3PTR by MCDOWELL,GARRETT",,,,,,,"MISS 3PTR by MCDOWELL,GARRETT",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
00:59,,20,,38 (+18),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 20-38 (+18),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
00:36,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",1
00:36,"MISS FT by JOHNSON,EVAN",,,,,,,"MISS FT by JOHNSON,EVAN",1
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",1
00:36,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
00:36,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
00:00,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
00:00,"BLOCK  by LAKE,JACK",,,,,,,"BLOCK  by LAKE,JACK",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:52,"TURNOVER  by RUCKER,DARIUS",,,,,,,"TURNOVER  by RUCKER,DARIUS",2
19:32,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
19:31,"STEAL  by RUCKER,DARIUS",,,,,,,"STEAL  by RUCKER,DARIUS",2
19:08,"MISS LAYUP by RUCKER,DARIUS",,,,,,,"MISS LAYUP by RUCKER,DARIUS",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
18:53,,,,,"TURNOVER  by COLLINS,LUKE",,,"TURNOVER  by COLLINS,LUKE",2
18:51,"STEAL  by RUCKER,DARIUS",,,,,,,"STEAL  by RUCKER,DARIUS",2
18:29,"MISS LAYUP by RUCKER,DARIUS",,,,,,,"MISS LAYUP by RUCKER,DARIUS",2
--,,,,,"REBOUND DEF by HOECK,RYAN VAN",,,"REBOUND DEF by HOECK,RYAN VAN",2
18:18,"FOUL  by BAKIS,ORKAN",,,,,,,"FOUL  by BAKIS,ORKAN",2
18:18,"SUB IN by WELCH,BLAKE",,,,,,,"SUB IN by WELCH,BLAKE",2
18:18,"SUB IN by MCDOWELL,GARRETT",,,,,,,"SUB IN by MCDOWELL,GARRETT",2
18:18,"SUB OUT by JOHNSON,EVAN",,,,,,,"SUB OUT by JOHNSON,EVAN",2
18:18,"SUB OUT by BAKIS,ORKAN",,,,,,,"SUB OUT by BAKIS,ORKAN",2
18:06,"FOUL  by SCHIRMER,COLIN",,,,,,,"FOUL  by SCHIRMER,COLIN",2
