Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
00:22,,27 (+9),,18,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 27-18 (+9),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
00:00,"MISS 3PTR by BUTTS,KEYSHAWN",,,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by GEEGAN,MIKE",,,"REBOUND DEF by GEEGAN,MIKE",1
19:51,"GOOD 3PTR by SULLIVAN,BRENNAN",30 (+12),,18,,RHODES 30-18 (+12),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by COLLINS,LUKE",,,,,,,"ASSIST  by COLLINS,LUKE",2
19:25,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",2
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",2
19:06,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
18:54,,30 (+9),,21,"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 30-21 (+9),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
18:14,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",2
18:14,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
18:14,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
17:45,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",2
17:40,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
17:40,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:40,,30 (+8),,22,"GOOD FT by WESLEY,TYLER",CENTRE_M 30-22 (+8),,"GOOD FT by WESLEY,TYLER",2
17:40,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
17:40,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
17:17,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
17:02,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
16:59,"GOOD FT by MILLER,DREW",31 (+9),,22,,RHODES 31-22 (+9),,"GOOD FT by MILLER,DREW",2
16:59,"GOOD FT by MILLER,DREW",32 (+10),,22,,RHODES 32-22 (+10),,"GOOD FT by MILLER,DREW",2
16:59,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
16:59,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",2
16:40,,32 (+8),,24,"GOOD JUMPER by GEEGAN,MIKE",CENTRE_M 32-24 (+8),,"GOOD JUMPER by GEEGAN,MIKE",2
16:23,"MISS JUMPER by WAGNER,MATT",,,,,,,"MISS JUMPER by WAGNER,MATT",2
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",2
16:13,"GOOD 3PTR by COLLINS,LUKE",35 (+11),,24,,RHODES 35-24 (+11),,"GOOD 3PTR by COLLINS,LUKE",2
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",2
15:56,,35 (+9),,26,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 35-26 (+9),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
15:56,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
15:56,,35 (+8),,27,"GOOD FT by SCINTA,BLAKE",CENTRE_M 35-27 (+8),,"GOOD FT by SCINTA,BLAKE",2
15:56,"SUB IN by LIVSEY,GEOFF",,,,,,,"SUB IN by LIVSEY,GEOFF",2
15:56,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
15:56,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
15:56,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
15:26,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
15:03,,35 (+6),,29,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE_M 35-29 (+6),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
14:36,"GOOD LAYUP by WAGNER,MATT(in the paint)",37 (+8),,29,,RHODES 37-29 (+8),,"GOOD LAYUP by WAGNER,MATT(in the paint)",2
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",2
14:06,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
13:58,"GOOD LAYUP by MILLER,DREW(in the paint)",39 (+10),,29,,RHODES 39-29 (+10),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
13:45,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
13:45,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
13:45,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",2
