Time Remaining,SEW-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
06:40,"GOOD 3PTR by JONES,CODY",26 (+17),,9,,SEW-M 26-9 (+17),,"GOOD 3PTR by JONES,CODY",1
--,"ASSIST  by TOME,MATT",,,,,,,"ASSIST  by TOME,MATT",1
06:23,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:23,,26 (+15),,11,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",BCM 26-11 (+15),,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,CALEB",,,"ASSIST  by JOHNSON,CALEB",1
06:23,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
06:23,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
06:23,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
06:23,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",1
06:23,,,,,"SUB IN by NEWKIRK,KAHLIL",,,"SUB IN by NEWKIRK,KAHLIL",1
06:23,,,,,"SUB OUT by SCHICK,BRANDON",,,"SUB OUT by SCHICK,BRANDON",1
06:23,,,,,"SUB OUT by FENTON,CLINT",,,"SUB OUT by FENTON,CLINT",1
06:23,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
06:08,"GOOD LAYUP by STONE,BRODY(in the paint)",28 (+17),,11,,SEW-M 28-11 (+17),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
05:54,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",1
--,,,,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",1
05:50,,28 (+15),,13,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",BCM 28-13 (+15),,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",1
05:37,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",,,"FOUL  by ELLINGSWORTH,COLEMAN",1
05:37,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,"REBOUND OFF by TOME,MATT",,,,,,,"REBOUND OFF by TOME,MATT",1
05:37,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
05:37,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
05:06,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
05:06,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
05:06,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
04:37,,,,,"MISS 3PTR by JOHNSON,CALEB",,,"MISS 3PTR by JOHNSON,CALEB",1
--,,,,,"REBOUND OFF by NEWKIRK,KAHLIL",,,"REBOUND OFF by NEWKIRK,KAHLIL",1
04:31,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
04:31,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
04:23,,28 (+13),,15,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 28-15 (+13),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
--,,,,,"ASSIST  by NEWKIRK,KAHLIL",,,"ASSIST  by NEWKIRK,KAHLIL",1
04:05,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",30 (+15),,15,,SEW-M 30-15 (+15),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
--,"ASSIST  by MCCULLOUGH,JACOB",,,,,,,"ASSIST  by MCCULLOUGH,JACOB",1
03:53,,,,,"MISS 3PTR by NEWKIRK,KAHLIL",,,"MISS 3PTR by NEWKIRK,KAHLIL",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
