Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,MUMB,Game Score,Team Indicator,Play,Period
04:44,,,,,"MISS 3PTR by BAGGETT,WILL",,,"MISS 3PTR by BAGGETT,WILL",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
04:30,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",1
--,,,,,"REBOUND DEF by DAVIS,BLAKE",,,"REBOUND DEF by DAVIS,BLAKE",1
04:21,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
04:21,,,,,"MISS FT by DAVIS,BLAKE",,,"MISS FT by DAVIS,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:21,,,,,"MISS FT by DAVIS,BLAKE",,,"MISS FT by DAVIS,BLAKE",1
--,"REBOUND DEF by JONES,CODY",,,,,,,"REBOUND DEF by JONES,CODY",1
04:21,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
04:21,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
04:21,,,,,"SUB IN by AUGHBURNS,IRVING",,,"SUB IN by AUGHBURNS,IRVING",1
04:21,,,,,"SUB IN by HILLIARD,TABIAS",,,"SUB IN by HILLIARD,TABIAS",1
04:21,,,,,"SUB OUT by BAGGETT,WILL",,,"SUB OUT by BAGGETT,WILL",1
04:21,,,,,"SUB OUT by HARPER,JOSH",,,"SUB OUT by HARPER,JOSH",1
04:10,"TURNOVER  by JONES,CODY",,,,,,,"TURNOVER  by JONES,CODY",1
03:47,,,,,"MISS JUMPER by MONK,BRANDON",,,"MISS JUMPER by MONK,BRANDON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:34,"GOOD JUMPER by WILLIAMS,JORDEN",31 (+12),,19,,SEWANE~1 31-19 (+12),,"GOOD JUMPER by WILLIAMS,JORDEN",1
03:18,"FOUL  by TURNER,BYRON",,,,,,,"FOUL  by TURNER,BYRON",1
03:18,,31 (+11),,20,"GOOD FT by AUGHBURNS,IRVING",MUMB 31-20 (+11),,"GOOD FT by AUGHBURNS,IRVING",1
03:18,,31 (+10),,21,"GOOD FT by AUGHBURNS,IRVING",MUMB 31-21 (+10),,"GOOD FT by AUGHBURNS,IRVING",1
03:18,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
03:18,"SUB OUT by JONES,CODY",,,,,,,"SUB OUT by JONES,CODY",1
02:55,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",1
02:37,,,,,"MISS JUMPER by MONK,BRANDON",,,"MISS JUMPER by MONK,BRANDON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:31,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
02:31,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
02:31,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
02:31,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",1
02:19,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
