Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,AUSTIN,Game Score,Team Indicator,Play,Period
03:09,"MISS 3PTR by ,DARVIS RASBERRY JR",,,,,,,"MISS 3PTR by ,DARVIS RASBERRY JR",2
--,,,,,"REBOUND DEF by LAWRENCE,JOHNATHAN",,,"REBOUND DEF by LAWRENCE,JOHNATHAN",2
02:57,,,,,"MISS 3PTR by RENNIE,JACKSON",,,"MISS 3PTR by RENNIE,JACKSON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:53,TIMEOUT 30s by TEAM,,,,,,,TIMEOUT 30s by TEAM,2
02:53,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",2
02:53,"SUB IN by WEAKLEY,CARTER",,,,,,,"SUB IN by WEAKLEY,CARTER",2
02:53,"SUB IN by BOWER,CARSON",,,,,,,"SUB IN by BOWER,CARSON",2
02:53,"SUB IN by HURT,SEVAN",,,,,,,"SUB IN by HURT,SEVAN",2
02:53,"SUB IN by GIBSON,JASON",,,,,,,"SUB IN by GIBSON,JASON",2
02:53,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",2
02:53,"SUB OUT by ,DARVIS RASBERRY JR",,,,,,,"SUB OUT by ,DARVIS RASBERRY JR",2
02:53,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
02:53,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",2
02:53,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",2
02:53,,,,,"SUB IN by KING,REX",,,"SUB IN by KING,REX",2
02:53,,,,,"SUB IN by BENNETT,KALEB",,,"SUB IN by BENNETT,KALEB",2
02:53,,,,,"SUB OUT by RENNIE,JACKSON",,,"SUB OUT by RENNIE,JACKSON",2
02:53,,,,,"SUB OUT by ANTOSCA,CHASE",,,"SUB OUT by ANTOSCA,CHASE",2
02:51,"TURNOVER  by HURT,SEVAN",,,,,,,"TURNOVER  by HURT,SEVAN",2
02:50,,,,,"STEAL  by LAWRENCE,JOHNATHAN",,,"STEAL  by LAWRENCE,JOHNATHAN",2
02:50,"FOUL  by BOWER,CARSON",,,,,,,"FOUL  by BOWER,CARSON",2
02:50,,90 (+26),,64,"GOOD FT by LAWRENCE,JOHNATHAN",AUSTIN 90-64 (+26),,"GOOD FT by LAWRENCE,JOHNATHAN",2
02:50,,,,,"MISS FT by LAWRENCE,JOHNATHAN",,,"MISS FT by LAWRENCE,JOHNATHAN",2
--,"REBOUND DEF by HURT,SEVAN",,,,,,,"REBOUND DEF by HURT,SEVAN",2
02:45,"MISS LAYUP by GIBSON,JASON",,,,,,,"MISS LAYUP by GIBSON,JASON",2
--,,,,,"REBOUND DEF by BENNETT,KALEB",,,"REBOUND DEF by BENNETT,KALEB",2
02:27,,90 (+24),,66,"GOOD LAYUP by GOODMAN,CHANSTON(in the paint)",AUSTIN 90-66 (+24),,"GOOD LAYUP by GOODMAN,CHANSTON(in the paint)",2
02:26,"FOUL  by HURT,SEVAN",,,,,,,"FOUL  by HURT,SEVAN",2
02:26,,90 (+23),,67,"GOOD FT by GOODMAN,CHANSTON",AUSTIN 90-67 (+23),,"GOOD FT by GOODMAN,CHANSTON",2
02:11,"GOOD JUMPER by HURT,SEVAN",92 (+25),,67,,HENDRIX 92-67 (+25),,"GOOD JUMPER by HURT,SEVAN",2
01:53,,92 (+23),,69,"GOOD LAYUP by BERRY,OCIE(in the paint)",AUSTIN 92-69 (+23),,"GOOD LAYUP by BERRY,OCIE(in the paint)",2
--,,,,,"ASSIST ASSIST by GOODMAN,CHANSTON",,,"ASSIST ASSIST by GOODMAN,CHANSTON",2
01:31,"MISS JUMPER by GIBSON,JASON",,,,,,,"MISS JUMPER by GIBSON,JASON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:23,"TURNOVER  by HURT,SEVAN",,,,,,,"TURNOVER  by HURT,SEVAN",2
01:08,,,,,"TURNOVER  by BERRY,OCIE",,,"TURNOVER  by BERRY,OCIE",2
01:02,"MISS JUMPER by WEAKLEY,CARTER",,,,,,,"MISS JUMPER by WEAKLEY,CARTER",2
--,,,,,"REBOUND DEF by GOODMAN,CHANSTON",,,"REBOUND DEF by GOODMAN,CHANSTON",2
00:52,,,,,"MISS 3PTR by LAWRENCE,JOHNATHAN",,,"MISS 3PTR by LAWRENCE,JOHNATHAN",2
--,,,,,"REBOUND OFF by BENNETT,KALEB",,,"REBOUND OFF by BENNETT,KALEB",2
00:41,,,,,"TURNOVER  by LAWRENCE,JOHNATHAN",,,"TURNOVER  by LAWRENCE,JOHNATHAN",2
00:40,"STEAL  by WEAVER,BRADEN",,,,,,,"STEAL  by WEAVER,BRADEN",2
00:36,"MISS LAYUP by GIBSON,JASON",,,,,,,"MISS LAYUP by GIBSON,JASON",2
--,"REBOUND OFF by WEAVER,BRADEN",,,,,,,"REBOUND OFF by WEAVER,BRADEN",2
00:32,,,,,"FOUL  by LAWRENCE,JOHNATHAN",,,"FOUL  by LAWRENCE,JOHNATHAN",2
00:32,"GOOD FT by WEAVER,BRADEN",93 (+24),,69,,HENDRIX 93-69 (+24),,"GOOD FT by WEAVER,BRADEN",2
00:32,"GOOD FT by WEAVER,BRADEN",94 (+25),,69,,HENDRIX 94-69 (+25),,"GOOD FT by WEAVER,BRADEN",2
00:19,,,,,"MISS 3PTR by BENNETT,KALEB",,,"MISS 3PTR by BENNETT,KALEB",2
--,"REBOUND DEF by WEAVER,BRADEN",,,,,,,"REBOUND DEF by WEAVER,BRADEN",2
