Time Remaining,HOPE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
01:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
01:04,"FOUL  by WIEGERINK,TANNER",,,,,,,"FOUL  by WIEGERINK,TANNER",3
01:04,,70 (+2),,68,"GOOD FT by FITCH,CARL",HENDRIX 70-68 (-2),,"GOOD FT by FITCH,CARL",3
01:04,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",3
--,"REBOUND DEF by WIEGERINK,TANNER",,,,,,,"REBOUND DEF by WIEGERINK,TANNER",3
00:38,"MISS JUMPER by HEDRICK,NOAH",,,,,,,"MISS JUMPER by HEDRICK,NOAH",3
--,"REBOUND OFF by WIEGERINK,TANNER",,,,,,,"REBOUND OFF by WIEGERINK,TANNER",3
00:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:20,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",3
00:20,"GOOD FT by BIKUS,JEFF",71 (+3),,68,,HOPE 71-68 (-3),,"GOOD FT by BIKUS,JEFF",3
00:20,"GOOD FT by BIKUS,JEFF",72 (+4),,68,,HOPE 72-68 (-4),,"GOOD FT by BIKUS,JEFF",3
00:12,,72 (+1),,71,"GOOD 3PTR by COMAN,SEAN",HENDRIX 72-71 (-1),,"GOOD 3PTR by COMAN,SEAN",3
--,,,,,"ASSIST  by PARKS,JACKSON",,,"ASSIST  by PARKS,JACKSON",3
00:11,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:11,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",3
00:11,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",3
00:01,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",3
00:01,"GOOD FT by GEORGE,TYLER",73 (+2),,71,,HOPE 73-71 (-2),,"GOOD FT by GEORGE,TYLER",3
00:01,"MISS FT by GEORGE,TYLER",,,,,,,"MISS FT by GEORGE,TYLER",3
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,3
00:01,,,,,"FOUL TECH by COMAN,SEAN",,,"FOUL TECH by COMAN,SEAN",3
00:01,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",3
00:01,"GOOD FT by GEORGE,TYLER",74 (+3),,71,,HOPE 74-71 (-3),,"GOOD FT by GEORGE,TYLER",3
00:01,"GOOD FT by GEORGE,TYLER",75 (+4),,71,,HOPE 75-71 (-4),,"GOOD FT by GEORGE,TYLER",3
