Time Remaining,WC,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
04:03,,26 (+2),,24,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",HENDRIX 26-24 (-2),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",1
03:35,"MISS JUMPER by SOW,BILAL",,,,,,,"MISS JUMPER by SOW,BILAL",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
03:13,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",1
--,"REBOUND DEF by MITCHELL,TRAVIS",,,,,,,"REBOUND DEF by MITCHELL,TRAVIS",1
02:50,"MISS 3PTR by MANSFIELD,JEFFERY",,,,,,,"MISS 3PTR by MANSFIELD,JEFFERY",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
02:30,,,,,"TURNOVER  by RYAN,JONATHAN",,,"TURNOVER  by RYAN,JONATHAN",1
02:30,"STEAL  by MANSFIELD,JEFFERY",,,,,,,"STEAL  by MANSFIELD,JEFFERY",1
02:30,"SUB IN by BIRD,BRYCE",,,,,,,"SUB IN by BIRD,BRYCE",1
02:30,"SUB IN by ACHIREM,OBED",,,,,,,"SUB IN by ACHIREM,OBED",1
02:30,"SUB OUT by MANSFIELD,JEFFERY",,,,,,,"SUB OUT by MANSFIELD,JEFFERY",1
02:30,"SUB OUT by LEWIS,JAYDEN",,,,,,,"SUB OUT by LEWIS,JAYDEN",1
02:30,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
02:30,,,,,"SUB OUT by RYAN,JONATHAN",,,"SUB OUT by RYAN,JONATHAN",1
02:15,"MISS LAYUP by ACHIREM,OBED",,,,,,,"MISS LAYUP by ACHIREM,OBED",1
--,"REBOUND OFF by ACHIREM,OBED",,,,,,,"REBOUND OFF by ACHIREM,OBED",1
02:12,"GOOD LAYUP by ACHIREM,OBED(in the paint)",28 (+4),,24,,WC 28-24 (-4),,"GOOD LAYUP by ACHIREM,OBED(in the paint)",1
02:12,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",1
02:11,"MISS FT by ACHIREM,OBED",,,,,,,"MISS FT by ACHIREM,OBED",1
02:10,,,,,"SUB IN by ,DARVIS RASBERRY JR",,,"SUB IN by ,DARVIS RASBERRY JR",1
02:10,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",1
