Time Remaining,OZARKS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
03:47,"TURNOVER  by FINLEY,GARRET",,,,,,,"TURNOVER  by FINLEY,GARRET",1
03:46,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",1
03:44,,24,,24,"GOOD LAYUP by FITCH,CARL(fastbreak)(in the paint)",HENDRIX 24-24 (0),,"GOOD LAYUP by FITCH,CARL(fastbreak)(in the paint)",1
03:08,"TURNOVER  by JANGA,ELVIS",,,,,,,"TURNOVER  by JANGA,ELVIS",1
02:58,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by ALT,DAWSON",,,,,,,"REBOUND DEF by ALT,DAWSON",1
02:32,"TURNOVER  by DUKES,JACOB",,,,,,,"TURNOVER  by DUKES,JACOB",1
02:32,"SUB IN by DUKES,JACOB",,,,,,,"SUB IN by DUKES,JACOB",1
02:32,"SUB IN by ALT,DAWSON",,,,,,,"SUB IN by ALT,DAWSON",1
02:32,"SUB OUT by LITTLE,CARTER",,,,,,,"SUB OUT by LITTLE,CARTER",1
02:32,"SUB OUT by FINLEY,GARRET",,,,,,,"SUB OUT by FINLEY,GARRET",1
02:30,,24,,26 (+2),"GOOD LAYUP by RYAN,JONATHAN(in the paint)",HENDRIX 24-26 (+2),,"GOOD LAYUP by RYAN,JONATHAN(in the paint)",1
02:07,"GOOD 3PTR by POWELL,KYRON",27 (+1),,26,,OZARKS 27-26 (-1),,"GOOD 3PTR by POWELL,KYRON",1
--,"ASSIST  by DUKES,JACOB",,,,,,,"ASSIST  by DUKES,JACOB",1
01:38,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",1
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",1
01:29,,,,,"MISS 3PTR by RYAN,JONATHAN",,,"MISS 3PTR by RYAN,JONATHAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:25,"SUB IN by HOPKINS,DILLAN",,,,,,,"SUB IN by HOPKINS,DILLAN",1
01:25,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",1
01:10,"GOOD JUMPER by JANGA,ELVIS",29 (+3),,26,,OZARKS 29-26 (-3),,"GOOD JUMPER by JANGA,ELVIS",1
01:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:52,"FOUL  by HOPKINS,DILLAN",,,,,,,"FOUL  by HOPKINS,DILLAN",1
00:52,,29 (+2),,27,"GOOD FT by STANLEY,SETH",HENDRIX 29-27 (-2),,"GOOD FT by STANLEY,SETH",1
00:52,,29 (+1),,28,"GOOD FT by STANLEY,SETH",HENDRIX 29-28 (-1),,"GOOD FT by STANLEY,SETH",1
00:30,"MISS 3PTR by POWELL,KYRON",,,,,,,"MISS 3PTR by POWELL,KYRON",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
00:01,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,"REBOUND OFF by COMAN,SEAN",,,"REBOUND OFF by COMAN,SEAN",1
00:01,"FOUL  by DUKES,JACOB",,,,,,,"FOUL  by DUKES,JACOB",1
