Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
12:48,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
12:48,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
12:26,"MISS LAYUP by WALKER,JEFFERSON",,,,,,,"MISS LAYUP by WALKER,JEFFERSON",1
--,"REBOUND OFF by WHITE,ELIJAH",,,,,,,"REBOUND OFF by WHITE,ELIJAH",1
12:21,,,,,"FOUL  by ,DARVIS RASBERRY JR",,,"FOUL  by ,DARVIS RASBERRY JR",1
12:21,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
12:21,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
12:10,"MISS JUMPER by FITZGERALD,DAVID",,,,,,,"MISS JUMPER by FITZGERALD,DAVID",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:55,"FOUL  by WALKER,JEFFERSON",,,,,,,"FOUL  by WALKER,JEFFERSON",1
11:55,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:55,,4,,22 (+18),"GOOD FT by DEITHLOFF,TYLER",HENDRIX 4-22 (+18),,"GOOD FT by DEITHLOFF,TYLER",1
11:55,,4,,23 (+19),"GOOD FT by DEITHLOFF,TYLER",HENDRIX 4-23 (+19),,"GOOD FT by DEITHLOFF,TYLER",1
11:55,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
11:55,,,,,"SUB OUT by ,DARVIS RASBERRY JR",,,"SUB OUT by ,DARVIS RASBERRY JR",1
11:45,"TURNOVER  by CLAYTON,TJ",,,,,,,"TURNOVER  by CLAYTON,TJ",1
11:42,,,,,"STEAL  by DEITHLOFF,TYLER",,,"STEAL  by DEITHLOFF,TYLER",1
11:40,,,,,"MISS LAYUP by DEITHLOFF,TYLER",,,"MISS LAYUP by DEITHLOFF,TYLER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:35,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
11:35,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
11:35,"SUB OUT by WHITE,ELIJAH",,,,,,,"SUB OUT by WHITE,ELIJAH",1
11:35,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",1
11:29,"MISS 3PTR by FITZGERALD,DAVID",,,,,,,"MISS 3PTR by FITZGERALD,DAVID",1
--,,,,,"REBOUND DEF by RYAN,JONATHAN",,,"REBOUND DEF by RYAN,JONATHAN",1
11:20,"FOUL  by FITZGERALD,DAVID",,,,,,,"FOUL  by FITZGERALD,DAVID",1
11:07,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",1
