Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
06:30,"SUB OUT by YOUNG,DILLON",,,,,,,"SUB OUT by YOUNG,DILLON",1
06:30,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",1
06:30,,,,,"SUB OUT by CAMMON,JOSH",,,"SUB OUT by CAMMON,JOSH",1
06:21,,21 (+2),,19,"GOOD JUMPER by DAY,JUSTIN",OU 21-19 (+2),,"GOOD JUMPER by DAY,JUSTIN",1
06:00,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",1
06:00,"GOOD FT by BECKER,SAXTON",22 (+3),,19,,MC 22-19 (+3),,"GOOD FT by BECKER,SAXTON",1
06:00,"GOOD FT by BECKER,SAXTON",23 (+4),,19,,MC 23-19 (+4),,"GOOD FT by BECKER,SAXTON",1
06:00,"GOOD FT by BECKER,SAXTON",24 (+5),,19,,MC 24-19 (+5),,"GOOD FT by BECKER,SAXTON",1
05:41,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
05:41,,24 (+4),,20,"GOOD FT by CHAMBERS,DIMETRI",OU 24-20 (+4),,"GOOD FT by CHAMBERS,DIMETRI",1
05:41,,24 (+3),,21,"GOOD FT by CHAMBERS,DIMETRI",OU 24-21 (+3),,"GOOD FT by CHAMBERS,DIMETRI",1
05:31,"GOOD LAYUP by GRANT,SHE'CHEM(fastbreak)(in the paint)",26 (+5),,21,,MC 26-21 (+5),,"GOOD LAYUP by GRANT,SHE'CHEM(fastbreak)(in the paint)",1
05:13,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
04:58,,,,,"FOUL  by DAY,JUSTIN",,,"FOUL  by DAY,JUSTIN",1
04:58,,,,,"SUB IN by CAMMON,JOSH",,,"SUB IN by CAMMON,JOSH",1
04:58,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
04:57,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",1
--,,,,,"REBOUND DEF by DAY,JUSTIN",,,"REBOUND DEF by DAY,JUSTIN",1
04:37,,26 (+3),,23,"GOOD LAYUP by SONE,CARLOS(in the paint)",OU 26-23 (+3),,"GOOD LAYUP by SONE,CARLOS(in the paint)",1
04:13,"MISS JUMPER by BURNETT,DREW",,,,,,,"MISS JUMPER by BURNETT,DREW",1
--,"REBOUND OFF by BURNETT,DREW",,,,,,,"REBOUND OFF by BURNETT,DREW",1
04:04,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:41,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
03:33,,26,,26,"GOOD 3PTR by DAY,JUSTIN",OU 26-26 (0),,"GOOD 3PTR by DAY,JUSTIN",1
--,,,,,"ASSIST  by CHAMBERS,DIMETRI",,,"ASSIST  by CHAMBERS,DIMETRI",1
03:15,"GOOD 3PTR by BURNETT,DREW",29 (+3),,26,,MC 29-26 (+3),,"GOOD 3PTR by BURNETT,DREW",1
--,"ASSIST  by BECKER,SAXTON",,,,,,,"ASSIST  by BECKER,SAXTON",1
03:07,,29 (+1),,28,"GOOD JUMPER by DAY,JUSTIN",OU 29-28 (+1),,"GOOD JUMPER by DAY,JUSTIN",1
02:51,"GOOD 3PTR by BURNETT,DREW",32 (+4),,28,,MC 32-28 (+4),,"GOOD 3PTR by BURNETT,DREW",1
--,"ASSIST  by BECKER,SAXTON",,,,,,,"ASSIST  by BECKER,SAXTON",1
02:48,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:41,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
02:41,"SUB IN by HUGHES,ANTHONY",,,,,,,"SUB IN by HUGHES,ANTHONY",1
02:41,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
02:41,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
02:37,,32 (+2),,30,"GOOD JUMPER by CAMMON,JOSH(in the paint)",OU 32-30 (+2),,"GOOD JUMPER by CAMMON,JOSH(in the paint)",1
02:23,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",1
02:23,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",1
02:22,"MISS JUMPER by GRANT,SHE'CHEM",,,,,,,"MISS JUMPER by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",,,"REBOUND DEF by CHAMBERS,DIMETRI",1
02:16,,32,,32,"GOOD LAYUP by CAMMON,JOSH(fastbreak)(in the paint)",OU 32-32 (0),,"GOOD LAYUP by CAMMON,JOSH(fastbreak)(in the paint)",1
01:58,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",1
01:58,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
01:58,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
01:36,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",1
01:36,,32,,33 (+1),"GOOD FT by CHAMBERS,DIMETRI",OU 32-33 (-1),,"GOOD FT by CHAMBERS,DIMETRI",1
01:36,,32,,34 (+2),"GOOD FT by CHAMBERS,DIMETRI",OU 32-34 (-2),,"GOOD FT by CHAMBERS,DIMETRI",1
01:36,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",1
01:36,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",1
01:22,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",1
01:20,,,,,"STEAL  by CAMMON,JOSH",,,"STEAL  by CAMMON,JOSH",1
01:17,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",1
01:17,,,,,"MISS FT by CAMMON,JOSH",,,"MISS FT by CAMMON,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:17,,32,,35 (+3),"GOOD FT by CAMMON,JOSH",OU 32-35 (-3),,"GOOD FT by CAMMON,JOSH",1
01:11,"TURNOVER  by MCLAURIN,RYAN",,,,,,,"TURNOVER  by MCLAURIN,RYAN",1
01:10,,,,,"STEAL  by CAMMON,JOSH",,,"STEAL  by CAMMON,JOSH",1
01:08,,,,,"MISS LAYUP by CAMMON,JOSH",,,"MISS LAYUP by CAMMON,JOSH",1
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",1
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",1
00:57,"GOOD 3PTR by GRANT,SHE'CHEM",35,,35,,MC 35-35 (0),,"GOOD 3PTR by GRANT,SHE'CHEM",1
00:44,,35,,38 (+3),"GOOD 3PTR by DAY,JUSTIN",OU 35-38 (-3),,"GOOD 3PTR by DAY,JUSTIN",1
--,,,,,"ASSIST  by CAMMON,JOSH",,,"ASSIST  by CAMMON,JOSH",1
00:20,,,,,"FOUL  by CAMMON,JOSH",,,"FOUL  by CAMMON,JOSH",1
00:20,"GOOD FT by SPIKES,KALVIN",36,,38 (+2),,MC 36-38 (-2),,"GOOD FT by SPIKES,KALVIN",1
00:20,"GOOD FT by SPIKES,KALVIN",37,,38 (+1),,MC 37-38 (-1),,"GOOD FT by SPIKES,KALVIN",1
00:20,,,,,"MISS 3PTR by GULLEY,TREVOR",,,"MISS 3PTR by GULLEY,TREVOR",1
