Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
09:33,"GOOD JUMPER by PRUITT,KELVIN(in the paint)",20,,22 (+2),,BU 20-22 (+2),,"GOOD JUMPER by PRUITT,KELVIN(in the paint)",1
09:11,,20,,25 (+5),"GOOD 3PTR by BECKER,SAXTON",Mill 20-25 (+5),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",1
09:10,"FOUL  by PRUITT,KELVIN",,,,,,,"FOUL  by PRUITT,KELVIN",1
09:10,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
09:10,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",1
09:10,,,,,"MISS FT by BECKER,SAXTON",,,"MISS FT by BECKER,SAXTON",1
--,"REBOUND DEF by DUPREE,RYAN",,,,,,,"REBOUND DEF by DUPREE,RYAN",1
09:05,"TURNOVER  by DUPREE,RYAN",,,,,,,"TURNOVER  by DUPREE,RYAN",1
09:05,"SUB OUT by JAMES,TRAI",,,,,,,"SUB OUT by JAMES,TRAI",1
09:05,"SUB IN by JONES,JUSTIN",,,,,,,"SUB IN by JONES,JUSTIN",1
08:52,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",1
08:52,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
08:52,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
08:52,"SUB OUT by PRUITT,KELVIN",,,,,,,"SUB OUT by PRUITT,KELVIN",1
08:52,"SUB IN by HODUM,RICK",,,,,,,"SUB IN by HODUM,RICK",1
08:32,"MISS LAYUP by YOUNG,QUESHOD(in the paint)",,,,,,,"MISS LAYUP by YOUNG,QUESHOD(in the paint)",1
08:32,,,,,"BLOCK  by TULLOS,ZACHARY",,,"BLOCK  by TULLOS,ZACHARY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:32,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
08:32,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
08:23,"TURNOVER  by JONES,JUSTIN",,,,,,,"TURNOVER  by JONES,JUSTIN",1
08:23,"SUB OUT by COOKS,BROSNAN",,,,,,,"SUB OUT by COOKS,BROSNAN",1
08:23,"SUB IN by REED,AUSTIN",,,,,,,"SUB IN by REED,AUSTIN",1
08:10,,,,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",1
--,,,,,"REBOUND OFF by HUGHES,ANTHONY",,,"REBOUND OFF by HUGHES,ANTHONY",1
