Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
05:41,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
05:41,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
05:41,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
05:37,"GOOD JUMPER by BRYANT,VALENTINO",28,,32 (+4),,SEW 28-32 (-4),,"GOOD JUMPER by BRYANT,VALENTINO",1
05:25,,28,,34 (+6),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 28-34 (-6),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
05:09,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",1
05:09,"GOOD FT by BRYANT,VALENTINO",29,,34 (+5),,SEW 29-34 (-5),,"GOOD FT by BRYANT,VALENTINO",1
05:07,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
05:07,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",1
05:07,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
05:07,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",1
05:07,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
05:07,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
05:05,,29,,37 (+8),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 29-37 (-8),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
04:49,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
04:49,"GOOD FT by AFFRONTI,LEWIS",30,,37 (+7),,SEW 30-37 (-7),,"GOOD FT by AFFRONTI,LEWIS",1
04:49,"GOOD FT by AFFRONTI,LEWIS",31,,37 (+6),,SEW 31-37 (-6),,"GOOD FT by AFFRONTI,LEWIS",1
04:49,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",1
04:49,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
04:43,,31,,39 (+8),"GOOD LAYUP by CHIEN,KEVIN(in the paint)",RCMBB12 31-39 (-8),,"GOOD LAYUP by CHIEN,KEVIN(in the paint)",1
04:18,"GOOD 3PTR by BOULDIN,BRETT",34,,39 (+5),,SEW 34-39 (-5),,"GOOD 3PTR by BOULDIN,BRETT",1
04:00,,,,,"TURNOVER  by CHIEN,KEVIN",,,"TURNOVER  by CHIEN,KEVIN",1
03:58,"STEAL  by MARTIN,SAM",,,,,,,"STEAL  by MARTIN,SAM",1
03:56,"TURNOVER  by MARTIN,SAM",,,,,,,"TURNOVER  by MARTIN,SAM",1
03:56,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",1
03:56,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
03:56,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
03:56,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
03:36,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND OFF by KILPATRICK,KORY",,,"REBOUND OFF by KILPATRICK,KORY",1
03:13,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",1
03:13,,,,,"MISS FT by MILLER,JOEY",,,"MISS FT by MILLER,JOEY",1
