Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
18:51,,,,,"FOUL  by RIZOS,RYAN",,,"FOUL  by RIZOS,RYAN",2
18:46,"GOOD 3PTR by JONUS,JASEN",53 (+24),,29,,BSC-M 53-29 (+24),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by PRICE,PATRICK",,,,,,,"ASSIST  by PRICE,PATRICK",2
18:34,"FOUL  by MESSENGER,MARK",,,,,,,"FOUL  by MESSENGER,MARK",2
18:32,"FOUL  by PRICE,PATRICK",,,,,,,"FOUL  by PRICE,PATRICK",2
18:28,,53 (+23),,30,"GOOD FT by MARTIN,AMMON",HCM 53-30 (+23),,"GOOD FT by MARTIN,AMMON",2
18:28,,53 (+22),,31,"GOOD FT by MARTIN,AMMON",HCM 53-31 (+22),,"GOOD FT by MARTIN,AMMON",2
18:14,"TURNOVER  by MESSENGER,MARK",,,,,,,"TURNOVER  by MESSENGER,MARK",2
18:14,"FOUL  by MESSENGER,MARK",,,,,,,"FOUL  by MESSENGER,MARK",2
18:14,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
18:14,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",2
18:08,,,,,"TURNOVER  by EWING,JAMES",,,"TURNOVER  by EWING,JAMES",2
18:07,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
18:04,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by EWING,JAMES",,,"REBOUND DEF by EWING,JAMES",2
17:56,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
17:56,,,,,"MISS FT by HEATHSCOTT,NICK",,,"MISS FT by HEATHSCOTT,NICK",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:56,,53 (+21),,32,"GOOD FT by HEATHSCOTT,NICK",HCM 53-32 (+21),,"GOOD FT by HEATHSCOTT,NICK",2
--,,,,,"ASSIST  by EWING,JAMES",,,"ASSIST  by EWING,JAMES",2
17:56,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",2
17:56,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
17:53,"TURNOVER  by JONUS,JASEN",,,,,,,"TURNOVER  by JONUS,JASEN",2
17:50,,,,,"STEAL  by RIZOS,RYAN",,,"STEAL  by RIZOS,RYAN",2
