Time Remaining,COVENANT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
05:04,,26,,33 (+7),"GOOD FT by PRICE,PATRICK",BSC 26-33 (+7),,"GOOD FT by PRICE,PATRICK",1
05:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
05:04,"SUB IN by BOWMAN,SAM",,,,,,,"SUB IN by BOWMAN,SAM",1
05:04,"SUB IN by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB IN by MCGAUGHEY,DOMINIQUE",1
05:04,"SUB IN by LAKEY,ZAROME",,,,,,,"SUB IN by LAKEY,ZAROME",1
05:04,"SUB OUT by FOSTER,CHASE",,,,,,,"SUB OUT by FOSTER,CHASE",1
05:04,"SUB OUT by JOHNSON,STEPHEN",,,,,,,"SUB OUT by JOHNSON,STEPHEN",1
05:04,"SUB OUT by CHAMBERS,KACEY",,,,,,,"SUB OUT by CHAMBERS,KACEY",1
05:04,,,,,"SUB IN by LEE,CALEB",,,"SUB IN by LEE,CALEB",1
05:04,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",1
05:04,,,,,"SUB IN by DOATY,ISIAH",,,"SUB IN by DOATY,ISIAH",1
05:04,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
05:04,,,,,"SUB OUT by AHUMADA,HART",,,"SUB OUT by AHUMADA,HART",1
05:04,,,,,"SUB OUT by JONUS,JASEN",,,"SUB OUT by JONUS,JASEN",1
05:04,,,,,"SUB OUT by PRICE,PATRICK",,,"SUB OUT by PRICE,PATRICK",1
05:04,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
05:00,,,,,"MISS LAYUP by SHEMANSKI,RICKY",,,"MISS LAYUP by SHEMANSKI,RICKY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:56,"TURNOVER  by WERKEMA,PAUL",,,,,,,"TURNOVER  by WERKEMA,PAUL",1
04:31,"FOUL  by MCGAUGHEY,DOMINIQUE",,,,,,,"FOUL  by MCGAUGHEY,DOMINIQUE",1
04:31,,26,,34 (+8),"GOOD FT by LEE,CALEB",BSC 26-34 (+8),,"GOOD FT by LEE,CALEB",1
04:31,,26,,35 (+9),"GOOD FT by LEE,CALEB",BSC 26-35 (+9),,"GOOD FT by LEE,CALEB",1
04:31,"SUB IN by CHAMBERS,KACEY",,,,,,,"SUB IN by CHAMBERS,KACEY",1
04:31,"SUB IN by DEVRIES,JON",,,,,,,"SUB IN by DEVRIES,JON",1
04:31,"SUB OUT by WERKEMA,PAUL",,,,,,,"SUB OUT by WERKEMA,PAUL",1
04:31,"SUB OUT by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB OUT by MCGAUGHEY,DOMINIQUE",1
04:17,,,,,"FOUL  by LEE,CALEB",,,"FOUL  by LEE,CALEB",1
04:17,"MISS FT by LAKEY,ZAROME",,,,,,,"MISS FT by LAKEY,ZAROME",1
--,,,,,"REBOUND DEF by RODGERS,PHILLIP",,,"REBOUND DEF by RODGERS,PHILLIP",1
04:01,,26,,37 (+11),"GOOD LAYUP by LEE,CALEB(in the paint)",BSC 26-37 (+11),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
03:31,"MISS 3PTR by CHAMBERS,KACEY",,,,,,,"MISS 3PTR by CHAMBERS,KACEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:27,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",1
03:27,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",1
03:09,,,,,"MISS 3PTR by DOATY,ISIAH",,,"MISS 3PTR by DOATY,ISIAH",1
--,"REBOUND DEF by BOWMAN,SAM",,,,,,,"REBOUND DEF by BOWMAN,SAM",1
02:55,"GOOD LAYUP by SEARS,CALLUM(in the paint)",28,,37 (+9),,COVENANT 28-37 (+9),,"GOOD LAYUP by SEARS,CALLUM(in the paint)",1
--,"ASSIST  by DEVRIES,JON",,,,,,,"ASSIST  by DEVRIES,JON",1
02:35,,,,,"MISS 3PTR by MURPHY,NICK",,,"MISS 3PTR by MURPHY,NICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:32,,,,,"SUB IN by AHUMADA,HART",,,"SUB IN by AHUMADA,HART",1
02:32,,,,,"SUB IN by PRICE,PATRICK",,,"SUB IN by PRICE,PATRICK",1
02:32,,,,,"SUB IN by JONUS,JASEN",,,"SUB IN by JONUS,JASEN",1
02:32,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
02:32,,,,,"SUB OUT by RODGERS,PHILLIP",,,"SUB OUT by RODGERS,PHILLIP",1
02:32,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",1
02:32,,,,,"SUB OUT by DOATY,ISIAH",,,"SUB OUT by DOATY,ISIAH",1
02:32,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
02:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
01:57,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",1
--,"REBOUND OFF by DEVRIES,JON",,,,,,,"REBOUND OFF by DEVRIES,JON",1
