Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,ELMIRA,Game Score,Team Indicator,Play,Period
19:15,,49 (+19),,30,"GOOD FT by HARKINS,HAYDEN",ELMIRA 49-30 (+19),,"GOOD FT by HARKINS,HAYDEN",2
18:50,"MISS LAYUP by STEGGEMAN,ANDREW",,,,,,,"MISS LAYUP by STEGGEMAN,ANDREW",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
18:47,"GOOD 3PTR by KARSNER,JOSH",52 (+22),,30,,CENTRE_M 52-30 (+22),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",2
17:54,,,,,"MISS JUMPER by DIBBLE,TYLER",,,"MISS JUMPER by DIBBLE,TYLER",2
--,,,,,"REBOUND OFF by BORELLI,DAVID",,,"REBOUND OFF by BORELLI,DAVID",2
17:50,,,,,"MISS LAYUP by BORELLI,DAVID",,,"MISS LAYUP by BORELLI,DAVID",2
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",2
17:44,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",2
17:21,,,,,"TURNOVER  by LEONARDI,GINO",,,"TURNOVER  by LEONARDI,GINO",2
17:20,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",2
17:16,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",2
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",2
17:13,"GOOD LAYUP by GUMP,MATT(in the paint)",54 (+24),,30,,CENTRE_M 54-30 (+24),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
16:52,,54 (+22),,32,"GOOD JUMPER by BORELLI,DAVID(in the paint)",ELMIRA 54-32 (+22),,"GOOD JUMPER by BORELLI,DAVID(in the paint)",2
16:30,"GOOD 3PTR by STEGGEMAN,ANDREW",57 (+25),,32,,CENTRE_M 57-32 (+25),,"GOOD 3PTR by STEGGEMAN,ANDREW",2
