Time Remaining,HDNM,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
00:11,"MISS LAYUP by BROOKS,HUNTER",,,,,,,"MISS LAYUP by BROOKS,HUNTER",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
00:01,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
19:30,"MISS LAYUP by WASHINGTON,DANTAVIUS",,,,,,,"MISS LAYUP by WASHINGTON,DANTAVIUS",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
19:04,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
19:02,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
18:58,"MISS JUMPER by WASHINGTON,DANTAVIUS",,,,,,,"MISS JUMPER by WASHINGTON,DANTAVIUS",2
--,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",,,"REBOUND DEF by STEGGEMAN,ANDREW",2
18:41,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
18:27,"MISS JUMPER by ASHLEY,ANDRE",,,,,,,"MISS JUMPER by ASHLEY,ANDRE",2
--,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",,,"REBOUND DEF by STEGGEMAN,ANDREW",2
18:23,"FOUL  by WASHINGTON,DANTAVIUS",,,,,,,"FOUL  by WASHINGTON,DANTAVIUS",2
18:09,,34,,42 (+8),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CCM 34-42 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
18:08,"FOUL  by LAYSON,ALEX",,,,,,,"FOUL  by LAYSON,ALEX",2
18:08,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,"REBOUND DEF by ASHLEY,ANDRE",,,,,,,"REBOUND DEF by ASHLEY,ANDRE",2
18:01,"MISS 3PTR by BERRY,RAHEEM",,,,,,,"MISS 3PTR by BERRY,RAHEEM",2
