Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HANOVER,Game Score,Team Indicator,Play,Period
03:57,,,,,"SUB OUT by MUCHMORE,COREY",,,"SUB OUT by MUCHMORE,COREY",1
03:41,,,,,"MISS JUMPER by MCDONALD,NIC",,,"MISS JUMPER by MCDONALD,NIC",1
--,,,,,"REBOUND OFF by MCDONALD,NIC",,,"REBOUND OFF by MCDONALD,NIC",1
03:36,,30 (+8),,22,"GOOD 3PTR by MCDONALD,NIC",HANOVER 30-22 (+8),,"GOOD 3PTR by MCDONALD,NIC",1
03:02,"MISS JUMPER by STEGGEMAN,ANDREW",,,,,,,"MISS JUMPER by STEGGEMAN,ANDREW",1
--,,,,,"REBOUND DEF by MCKINNEY,WES",,,"REBOUND DEF by MCKINNEY,WES",1
02:47,,,,,"TURNOVER  by MCKINNEY,WES",,,"TURNOVER  by MCKINNEY,WES",1
02:47,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
02:47,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
02:47,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
02:47,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
02:27,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND OFF by BURNS,DREW",,,,,,,"REBOUND OFF by BURNS,DREW",1
02:20,"FOUL  by BURNS,DREW",,,,,,,"FOUL  by BURNS,DREW",1
02:20,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
02:20,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
02:07,,,,,"MISS 3PTR by MCDONALD,NIC",,,"MISS 3PTR by MCDONALD,NIC",1
--,"REBOUND DEF by GEEGAN,MIKE",,,,,,,"REBOUND DEF by GEEGAN,MIKE",1
01:56,"MISS 3PTR by GEEGAN,MIKE",,,,,,,"MISS 3PTR by GEEGAN,MIKE",1
--,,,,,"REBOUND DEF by JAMES,KYLE",,,"REBOUND DEF by JAMES,KYLE",1
01:43,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
01:43,,30 (+7),,23,"GOOD FT by MCDONALD,NIC",HANOVER 30-23 (+7),,"GOOD FT by MCDONALD,NIC",1
01:43,,,,,"MISS FT by MCDONALD,NIC",,,"MISS FT by MCDONALD,NIC",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
01:43,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
01:43,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
01:25,,,,,"SUB IN by BILLUPS,VJ",,,"SUB IN by BILLUPS,VJ",1
01:25,,,,,"SUB OUT by BINGHAM,EVAN",,,"SUB OUT by BINGHAM,EVAN",1
01:06,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by BILLUPS,VJ",,,"REBOUND DEF by BILLUPS,VJ",1
00:40,,30 (+4),,26,"GOOD 3PTR by MCKINNEY,WES",HANOVER 30-26 (+4),,"GOOD 3PTR by MCKINNEY,WES",1
--,,,,,"ASSIST  by MCDONALD,NIC",,,"ASSIST  by MCDONALD,NIC",1
00:07,"GOOD JUMPER by GUMP,MATT(in the paint)",32 (+6),,26,,CENTRE 32-26 (+6),,"GOOD JUMPER by GUMP,MATT(in the paint)",1
19:32,,,,,"MISS JUMPER by MUCHMORE,COREY",,,"MISS JUMPER by MUCHMORE,COREY",2
19:32,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
