Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
07:53,,,,,"MISS FT by HOGAN,KAM",,,"MISS FT by HOGAN,KAM",1
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",1
07:53,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
07:53,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
07:46,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
07:46,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
07:35,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
07:11,,,,,"MISS JUMPER by MERCADEL,JUSTICE",,,"MISS JUMPER by MERCADEL,JUSTICE",1
--,,,,,"REBOUND OFF by HOLLAND,MICHAEL",,,"REBOUND OFF by HOLLAND,MICHAEL",1
07:06,,,,,"MISS 3PTR by BRUMBAUGH,LUKE",,,"MISS 3PTR by BRUMBAUGH,LUKE",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
06:59,,,,,"FOUL  by MERCADEL,JUSTICE",,,"FOUL  by MERCADEL,JUSTICE",1
06:45,"TURNOVER  by BURNETT,DREW",,,,,,,"TURNOVER  by BURNETT,DREW",1
06:45,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
06:45,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
06:41,,,,,"FOUL TE TECH by HOGAN,KAM",,,"FOUL TE TECH by HOGAN,KAM",1
06:41,,,,,"FOUL  by HOGAN,KAM",,,"FOUL  by HOGAN,KAM",1
06:41,,,,,TIMEOUT 30s by TEAM,,,TIMEOUT 30s by TEAM,1
06:41,"MISS FT by SULLIVAN,MICHAEL",,,,,,,"MISS FT by SULLIVAN,MICHAEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:41,"GOOD FT by SULLIVAN,MICHAEL",22,,24 (+2),,MIL 22-24 (-2),,"GOOD FT by SULLIVAN,MICHAEL",1
06:41,,,,,"SUB IN by ROLAND,DEVIN",,,"SUB IN by ROLAND,DEVIN",1
06:41,,,,,"SUB OUT by HOGAN,KAM",,,"SUB OUT by HOGAN,KAM",1
06:35,,,,,"TURNOVER  by MERCADEL,JUSTICE",,,"TURNOVER  by MERCADEL,JUSTICE",1
06:34,"STEAL  by BURNETT,DREW",,,,,,,"STEAL  by BURNETT,DREW",1
06:33,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",24,,24,,MIL 24-24 (0),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
--,"ASSIST ASSIST by BURNETT,DREW",,,,,,,"ASSIST ASSIST by BURNETT,DREW",1
06:24,,,,,"TURNOVER  by HOLLAND,MICHAEL",,,"TURNOVER  by HOLLAND,MICHAEL",1
06:23,"STEAL  by BURNETT,DREW",,,,,,,"STEAL  by BURNETT,DREW",1
06:12,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",26 (+2),,24,,MIL 26-24 (+2),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
05:59,,26,,27 (+1),"GOOD 3PTR by HOLLAND,MICHAEL",ACM 26-27 (-1),,"GOOD 3PTR by HOLLAND,MICHAEL",1
--,,,,,"ASSIST ASSIST by ROLAND,DEVIN",,,"ASSIST ASSIST by ROLAND,DEVIN",1
05:42,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND DEF by ROLAND,DEVIN",,,"REBOUND DEF by ROLAND,DEVIN",1
05:35,,,,,"MISS 3PTR by MERCADEL,JUSTICE",,,"MISS 3PTR by MERCADEL,JUSTICE",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
05:26,"GOOD 3PTR by GILLIHAN,NEWLON",29 (+2),,27,,MIL 29-27 (+2),,"GOOD 3PTR by GILLIHAN,NEWLON",1
--,"ASSIST ASSIST by MILLER,JOSHUA",,,,,,,"ASSIST ASSIST by MILLER,JOSHUA",1
04:58,,,,,"MISS 3PTR by HOLLAND,MICHAEL",,,"MISS 3PTR by HOLLAND,MICHAEL",1
--,,,,,"REBOUND OFF by ROLAND,DEVIN",,,"REBOUND OFF by ROLAND,DEVIN",1
04:54,,29,,29,"GOOD LAYUP by ROLAND,DEVIN(in the paint)",ACM 29-29 (0),,"GOOD LAYUP by ROLAND,DEVIN(in the paint)",1
04:35,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",31 (+2),,29,,MIL 31-29 (+2),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
04:20,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
04:20,,31 (+1),,30,"GOOD FT by HOLLAND,MICHAEL",ACM 31-30 (+1),,"GOOD FT by HOLLAND,MICHAEL",1
04:20,,31,,31,"GOOD FT by HOLLAND,MICHAEL",ACM 31-31 (0),,"GOOD FT by HOLLAND,MICHAEL",1
04:20,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
04:20,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
04:20,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
04:20,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
04:20,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
04:20,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
04:20,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
04:20,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
04:20,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
04:20,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
04:11,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",1
04:09,,,,,"STEAL  by MERCADEL,JUSTICE",,,"STEAL  by MERCADEL,JUSTICE",1
04:06,,,,,"MISS LAYUP by HOLLAND,MICHAEL",,,"MISS LAYUP by HOLLAND,MICHAEL",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
04:02,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
04:01,,,,,"STEAL  by BRUMBAUGH,LUKE",,,"STEAL  by BRUMBAUGH,LUKE",1
04:00,"FOUL  by CARVELLI,CAMERON",,,,,,,"FOUL  by CARVELLI,CAMERON",1
04:00,,,,,"MISS FT by HOLLAND,MICHAEL",,,"MISS FT by HOLLAND,MICHAEL",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
