Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,EUM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by GORDON,JIM",,,"REBOUND OFF by GORDON,JIM",1
06:43,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
06:43,"SUB IN by MCKINLEY,CONNER",,,,,,,"SUB IN by MCKINLEY,CONNER",1
06:43,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
06:43,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
06:43,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
06:43,,,,,"SUB IN by DAGUE,AUSTIN",,,"SUB IN by DAGUE,AUSTIN",1
06:43,,,,,"SUB OUT by AVANT,DONALD",,,"SUB OUT by AVANT,DONALD",1
06:42,,,,,"MISS 3PTR by GIGAX,ADAM",,,"MISS 3PTR by GIGAX,ADAM",1
--,"REBOUND DEF by REBIC,ANTE",,,,,,,"REBOUND DEF by REBIC,ANTE",1
06:10,"MISS LAYUP by RUDAK,MATTY",,,,,,,"MISS LAYUP by RUDAK,MATTY",1
--,"REBOUND OFF by RUDAK,MATTY",,,,,,,"REBOUND OFF by RUDAK,MATTY",1
06:07,"MISS LAYUP by RUDAK,MATTY",,,,,,,"MISS LAYUP by RUDAK,MATTY",1
--,,,,,"REBOUND DEF by TRAWICK,WILL",,,"REBOUND DEF by TRAWICK,WILL",1
05:51,,,,,"MISS JUMPER by TRAWICK,WILL",,,"MISS JUMPER by TRAWICK,WILL",1
--,,,,,"REBOUND OFF by GORDON,JIM",,,"REBOUND OFF by GORDON,JIM",1
05:49,"FOUL  by PERKINS,ALEX",,,,,,,"FOUL  by PERKINS,ALEX",1
05:49,,19,,26 (+7),"GOOD FT by DAGUE,AUSTIN",EUM 19-26 (-7),,"GOOD FT by DAGUE,AUSTIN",1
05:49,,,,,"MISS FT by DAGUE,AUSTIN",,,"MISS FT by DAGUE,AUSTIN",1
--,"REBOUND DEF by RUDAK,MATTY",,,,,,,"REBOUND DEF by RUDAK,MATTY",1
05:37,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
05:37,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
05:37,"SUB OUT by REBIC,ANTE",,,,,,,"SUB OUT by REBIC,ANTE",1
05:37,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
05:26,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
05:23,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,"REBOUND OFF by MCKINLEY,CONNER",,,,,,,"REBOUND OFF by MCKINLEY,CONNER",1
05:19,"MISS JUMPER by MCKINLEY,CONNER",,,,,,,"MISS JUMPER by MCKINLEY,CONNER",1
--,,,,,"REBOUND DEF by DAGUE,AUSTIN",,,"REBOUND DEF by DAGUE,AUSTIN",1
05:19,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
05:19,,,,,"MISS FT by HEERY,SAM",,,"MISS FT by HEERY,SAM",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
05:19,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
05:19,"SUB OUT by RUDAK,MATTY",,,,,,,"SUB OUT by RUDAK,MATTY",1
04:55,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
04:47,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
04:46,,,,,"STEAL  by GORDON,JIM",,,"STEAL  by GORDON,JIM",1
04:41,,19,,29 (+10),"GOOD 3PTR by DAGUE,AUSTIN(fastbreak)",EUM 19-29 (-10),,"GOOD 3PTR by DAGUE,AUSTIN(fastbreak)",1
--,,,,,"ASSIST  by GORDON,JIM",,,"ASSIST  by GORDON,JIM",1
04:16,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
--,,,,,"REBOUND DEF by TRAWICK,WILL",,,"REBOUND DEF by TRAWICK,WILL",1
04:07,,,,,"FOUL  by TRAWICK,WILL",,,"FOUL  by TRAWICK,WILL",1
04:07,,,,,"TURNOVER  by TRAWICK,WILL",,,"TURNOVER  by TRAWICK,WILL",1
04:07,,,,,"SUB IN by RAO,DAVIS",,,"SUB IN by RAO,DAVIS",1
04:07,,,,,"SUB IN by RAPP,WHIT",,,"SUB IN by RAPP,WHIT",1
04:07,,,,,"SUB OUT by GORDON,JIM",,,"SUB OUT by GORDON,JIM",1
04:07,,,,,"SUB OUT by HEERY,SAM",,,"SUB OUT by HEERY,SAM",1
03:51,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
03:51,"SUB OUT by MCKINLEY,CONNER",,,,,,,"SUB OUT by MCKINLEY,CONNER",1
03:47,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
03:32,,19,,32 (+13),"GOOD 3PTR by GIGAX,ADAM",EUM 19-32 (-13),,"GOOD 3PTR by GIGAX,ADAM",1
--,,,,,"ASSIST  by RAO,DAVIS",,,"ASSIST  by RAO,DAVIS",1
03:20,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
03:19,,,,,"STEAL  by GIGAX,ADAM",,,"STEAL  by GIGAX,ADAM",1
03:11,,19,,35 (+16),"GOOD 3PTR by GIGAX,ADAM",EUM 19-35 (-16),,"GOOD 3PTR by GIGAX,ADAM",1
--,,,,,"ASSIST  by DAGUE,AUSTIN",,,"ASSIST  by DAGUE,AUSTIN",1
02:53,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
--,,,,,"REBOUND DEF by RAPP,WHIT",,,"REBOUND DEF by RAPP,WHIT",1
02:47,,19,,37 (+18),"GOOD LAYUP by GIGAX,ADAM(fastbreak)(in the paint)",EUM 19-37 (-18),,"GOOD LAYUP by GIGAX,ADAM(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by RAPP,WHIT",,,"ASSIST  by RAPP,WHIT",1
02:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:29,"GOOD LAYUP by AVERY,ALEX(in the paint)",21,,37 (+16),,BSCM 21-37 (-16),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
02:22,,,,,"TURNOVER  by TRAWICK,WILL",,,"TURNOVER  by TRAWICK,WILL",1
02:05,,,,,"FOUL  by RAPP,WHIT",,,"FOUL  by RAPP,WHIT",1
02:05,"GOOD FT by LEWIS,EVAN",22,,37 (+15),,BSCM 22-37 (-15),,"GOOD FT by LEWIS,EVAN",1
02:05,"GOOD FT by LEWIS,EVAN",23,,37 (+14),,BSCM 23-37 (-14),,"GOOD FT by LEWIS,EVAN",1
02:05,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
02:05,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
02:05,,,,,"SUB IN by COLES,JONATHAN",,,"SUB IN by COLES,JONATHAN",1
02:05,,,,,"SUB OUT by RAPP,WHIT",,,"SUB OUT by RAPP,WHIT",1
01:42,,,,,"MISS JUMPER by DAGUE,AUSTIN",,,"MISS JUMPER by DAGUE,AUSTIN",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
01:22,"GOOD LAYUP by AVERY,ALEX(in the paint)",25,,37 (+12),,BSCM 25-37 (-12),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
01:16,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",1
01:16,,25,,38 (+13),"GOOD FT by COLES,JONATHAN",EUM 25-38 (-13),,"GOOD FT by COLES,JONATHAN",1
01:16,,25,,39 (+14),"GOOD FT by COLES,JONATHAN",EUM 25-39 (-14),,"GOOD FT by COLES,JONATHAN",1
01:16,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
01:16,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
01:07,"MISS LAYUP by DENEKA,HARRISON",,,,,,,"MISS LAYUP by DENEKA,HARRISON",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
01:05,,,,,"FOUL  by TRAWICK,WILL",,,"FOUL  by TRAWICK,WILL",1
01:05,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",1
--,,,,,"REBOUND DEF by DAGUE,AUSTIN",,,"REBOUND DEF by DAGUE,AUSTIN",1
01:05,,,,,"SUB IN by GORDON,JIM",,,"SUB IN by GORDON,JIM",1
01:05,,,,,"SUB IN by HEERY,SAM",,,"SUB IN by HEERY,SAM",1
01:05,,,,,"SUB OUT by TRAWICK,WILL",,,"SUB OUT by TRAWICK,WILL",1
01:05,,,,,"SUB OUT by COLES,JONATHAN",,,"SUB OUT by COLES,JONATHAN",1
00:47,,,,,"MISS JUMPER by DAGUE,AUSTIN",,,"MISS JUMPER by DAGUE,AUSTIN",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
