Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HSC,Game Score,Team Indicator,Play,Period
02:41,"GOOD 3PTR by WILLIAMS,JORDEN",18,,25 (+7),,SEWANEE 18-25 (-7),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",1
02:20,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
02:20,,18,,26 (+8),"GOOD FT by GUIMARAES,GUILHERME",HSC 18-26 (-8),,"GOOD FT by GUIMARAES,GUILHERME",1
02:20,,18,,27 (+9),"GOOD FT by GUIMARAES,GUILHERME",HSC 18-27 (-9),,"GOOD FT by GUIMARAES,GUILHERME",1
02:20,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
02:20,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
02:20,,,,,"SUB IN by MURRAY,MIKE",,,"SUB IN by MURRAY,MIKE",1
02:20,,,,,"SUB IN by LEWIS,GREG",,,"SUB IN by LEWIS,GREG",1
02:20,,,,,"SUB OUT by SMITH,ALEX",,,"SUB OUT by SMITH,ALEX",1
02:20,,,,,"SUB OUT by HARGROVE,LEON",,,"SUB OUT by HARGROVE,LEON",1
02:09,"TURNOVER  by MCCULLOUGH,JACOB",,,,,,,"TURNOVER  by MCCULLOUGH,JACOB",1
02:08,,,,,"STEAL  by GUIMARAES,GUILHERME",,,"STEAL  by GUIMARAES,GUILHERME",1
02:02,,,,,"MISS LAYUP by GUIMARAES,GUILHERME",,,"MISS LAYUP by GUIMARAES,GUILHERME",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
01:52,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by DUNCAN,JAKE",,,"REBOUND DEF by DUNCAN,JAKE",1
01:25,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
01:25,,18,,28 (+10),"GOOD FT by DUNCAN,JAKE",HSC 18-28 (-10),,"GOOD FT by DUNCAN,JAKE",1
01:25,,18,,29 (+11),"GOOD FT by DUNCAN,JAKE",HSC 18-29 (-11),,"GOOD FT by DUNCAN,JAKE",1
01:25,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
01:25,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
00:58,"GOOD JUMPER by CARTER,KESHONN",20,,29 (+9),,SEWANEE 20-29 (-9),,"GOOD JUMPER by CARTER,KESHONN",1
00:34,"FOUL  by MCCULLOUGH,JACOB",,,,,,,"FOUL  by MCCULLOUGH,JACOB",1
00:34,,20,,30 (+10),"GOOD FT by MURRAY,MIKE",HSC 20-30 (-10),,"GOOD FT by MURRAY,MIKE",1
00:34,,20,,31 (+11),"GOOD FT by MURRAY,MIKE",HSC 20-31 (-11),,"GOOD FT by MURRAY,MIKE",1
00:34,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
00:34,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
