Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
01:50,"GOOD JUMPER by BORN,CLAY",17,,21 (+4),,SEWANEE 17-21 (-4),,"GOOD JUMPER by BORN,CLAY",1
01:29,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",1
01:29,,,,,"MISS FT by LIVSEY,GEOFF",,,"MISS FT by LIVSEY,GEOFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:29,,17,,22 (+5),"GOOD FT by LIVSEY,GEOFF",RHODES 17-22 (-5),,"GOOD FT by LIVSEY,GEOFF",1
01:29,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
01:29,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
01:29,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
01:29,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
01:29,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
01:29,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
01:29,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
01:29,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
01:15,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",19,,22 (+3),,SEWANEE 19-22 (-3),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
00:52,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
00:52,,,,,"MISS FT by MILLER,DREW",,,"MISS FT by MILLER,DREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:52,,19,,23 (+4),"GOOD FT by MILLER,DREW",RHODES 19-23 (-4),,"GOOD FT by MILLER,DREW",1
00:52,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
00:52,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
00:52,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
00:52,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
00:40,"MISS LAYUP by CALDWELL,MARCELLUS",,,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
