Time Remaining,OGLETHOR,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
01:07,"GOOD FT by WARDLAW,CHASE",29,,40 (+11),,OGLETHOR 29-40 (+11),,"GOOD FT by WARDLAW,CHASE",1
01:07,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
01:07,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",1
01:07,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
01:07,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",1
01:06,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
01:06,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",1
01:06,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
00:57,,,,,"MISS LAYUP by BROWN,SETH",,,"MISS LAYUP by BROWN,SETH",1
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",1
00:49,"MISS LAYUP by DAVIS,ALEX",,,,,,,"MISS LAYUP by DAVIS,ALEX",1
--,"REBOUND OFF by LAWRENCE,CHRIS",,,,,,,"REBOUND OFF by LAWRENCE,CHRIS",1
00:47,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",31,,40 (+9),,OGLETHOR 31-40 (+9),,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",1
00:11,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND DEF by BATES,ROMELLO",,,,,,,"REBOUND DEF by BATES,ROMELLO",1
19:39,"GOOD JUMPER by KINNEY,JORDAN",33,,40 (+7),,OGLETHOR 33-40 (+7),,"GOOD JUMPER by KINNEY,JORDAN",2
--,"ASSIST  by BATES,ROMELLO",,,,,,,"ASSIST  by BATES,ROMELLO",2
19:25,,33,,42 (+9),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEE 33-42 (+9),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
19:02,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",35,,42 (+7),,OGLETHOR 35-42 (+7),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",2
--,"ASSIST  by DAVIS,ALEX",,,,,,,"ASSIST  by DAVIS,ALEX",2
18:38,,35,,45 (+10),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 35-45 (+10),,"GOOD 3PTR by WILLIAMS,JORDEN",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
18:17,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",2
17:53,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",2
17:49,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",2
17:47,,35,,47 (+12),"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",SEWANEE 35-47 (+12),,"GOOD LAYUP by WILLIAMS,JORDEN(fastbreak)(in the paint)",2
17:44,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",2
17:44,,,,,"MISS FT by WILLIAMS,JORDEN",,,"MISS FT by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
17:30,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",2
17:29,"STEAL  by BATES,ROMELLO",,,,,,,"STEAL  by BATES,ROMELLO",2
17:18,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",2
17:15,,,,,"STEAL  by WILLIAMS,JORDEN",,,"STEAL  by WILLIAMS,JORDEN",2
17:14,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",2
16:59,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
16:54,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",2
16:54,,,,,"MISS FT by CARTER,KESHONN",,,"MISS FT by CARTER,KESHONN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:54,,35,,48 (+13),"GOOD FT by CARTER,KESHONN",SEWANEE 35-48 (+13),,"GOOD FT by CARTER,KESHONN",2
16:54,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",2
16:54,"SUB IN by WARDLAW,CHASE",,,,,,,"SUB IN by WARDLAW,CHASE",2
16:54,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",2
16:54,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",2
16:44,,,,,"FOUL  by TOME,MATT",,,"FOUL  by TOME,MATT",2
16:44,"GOOD FT by SMITH,CONNOR",36,,48 (+12),,OGLETHOR 36-48 (+12),,"GOOD FT by SMITH,CONNOR",2
16:44,"GOOD FT by SMITH,CONNOR",37,,48 (+11),,OGLETHOR 37-48 (+11),,"GOOD FT by SMITH,CONNOR",2
16:26,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND DEF by LAWRENCE,CHRIS",,,,,,,"REBOUND DEF by LAWRENCE,CHRIS",2
16:14,"MISS JUMPER by BATES,ROMELLO",,,,,,,"MISS JUMPER by BATES,ROMELLO",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
16:06,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
