Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
06:25,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
06:25,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
06:25,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
06:25,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
06:25,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
06:25,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
06:25,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
06:25,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
06:25,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
06:25,,,,,"SUB IN by GOODMAN,CHRIS",,,"SUB IN by GOODMAN,CHRIS",1
06:25,,,,,"SUB OUT by MCCUBBIN,NATHAN",,,"SUB OUT by MCCUBBIN,NATHAN",1
05:57,,,,,"FOUL  by RILEY,JAREN",,,"FOUL  by RILEY,JAREN",1
05:55,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by MARTIN,AMMON",,,"REBOUND DEF by MARTIN,AMMON",1
05:47,,,,,"TURNOVER  by GOODMAN,CHRIS",,,"TURNOVER  by GOODMAN,CHRIS",1
05:46,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
05:38,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
05:23,,,,,"MISS JUMPER by GRAHAM,JOSH",,,"MISS JUMPER by GRAHAM,JOSH",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
05:06,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",1
05:06,,,,,"BLOCK  by SHERIDAN,DAYTON",,,"BLOCK  by SHERIDAN,DAYTON",1
--,,,,,"REBOUND DEF by RILEY,JAREN",,,"REBOUND DEF by RILEY,JAREN",1
04:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:58,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",1
04:58,,,,,"SUB IN by MAINER,ZACH",,,"SUB IN by MAINER,ZACH",1
04:58,,,,,"SUB OUT by GRAHAM,JOSH",,,"SUB OUT by GRAHAM,JOSH",1
04:58,,,,,"SUB OUT by SHERIDAN,DAYTON",,,"SUB OUT by SHERIDAN,DAYTON",1
04:51,,,,,"MISS 3PTR by MAINER,ZACH",,,"MISS 3PTR by MAINER,ZACH",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
04:22,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by MARTIN,AMMON",,,"REBOUND DEF by MARTIN,AMMON",1
04:14,,22,,22,"GOOD 3PTR by GOODMAN,CHRIS(fastbreak)",HC 22-22 (0),,"GOOD 3PTR by GOODMAN,CHRIS(fastbreak)",1
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",1
04:01,"GOOD 3PTR by THOMAS,LARRY",25 (+3),,22,,BSC-M 25-22 (+3),,"GOOD 3PTR by THOMAS,LARRY",1
03:52,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
03:52,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
03:52,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
03:52,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
03:52,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
03:52,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
03:52,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:52,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
03:52,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
03:52,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
03:48,,,,,"TURNOVER  by MARTIN,AMMON",,,"TURNOVER  by MARTIN,AMMON",1
03:47,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",1
03:44,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
03:22,"MISS JUMPER by JONUS,JASEN",,,,,,,"MISS JUMPER by JONUS,JASEN",1
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",1
03:20,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",1
03:20,"GOOD FT by RICHARDS,ZAC",26 (+4),,22,,BSC-M 26-22 (+4),,"GOOD FT by RICHARDS,ZAC",1
03:20,"GOOD FT by RICHARDS,ZAC",27 (+5),,22,,BSC-M 27-22 (+5),,"GOOD FT by RICHARDS,ZAC",1
03:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:05,,,,,"MISS 3PTR by GOODMAN,CHRIS",,,"MISS 3PTR by GOODMAN,CHRIS",1
--,,,,,"REBOUND OFF by RILEY,JAREN",,,"REBOUND OFF by RILEY,JAREN",1
02:55,,27 (+3),,24,"GOOD LAYUP by MAINER,ZACH(in the paint)",HC 27-24 (+3),,"GOOD LAYUP by MAINER,ZACH(in the paint)",1
--,,,,,"ASSIST  by RILEY,JAREN",,,"ASSIST  by RILEY,JAREN",1
02:48,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
02:45,,,,,"STEAL  by RILEY,JAREN",,,"STEAL  by RILEY,JAREN",1
02:42,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
02:42,,27 (+2),,25,"GOOD FT by RILEY,JAREN",HC 27-25 (+2),,"GOOD FT by RILEY,JAREN",1
02:42,,27 (+1),,26,"GOOD FT by RILEY,JAREN",HC 27-26 (+1),,"GOOD FT by RILEY,JAREN",1
02:42,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
02:42,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
02:42,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
02:42,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
02:31,,,,,"FOUL  by RILEY,JAREN",,,"FOUL  by RILEY,JAREN",1
02:31,"GOOD FT by HOLLAND,JASON",28 (+2),,26,,BSC-M 28-26 (+2),,"GOOD FT by HOLLAND,JASON",1
02:31,"GOOD FT by HOLLAND,JASON",29 (+3),,26,,BSC-M 29-26 (+3),,"GOOD FT by HOLLAND,JASON",1
02:31,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
02:31,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
02:31,,,,,"SUB IN by MCCUBBIN,NATHAN",,,"SUB IN by MCCUBBIN,NATHAN",1
02:31,,,,,"SUB OUT by RILEY,JAREN",,,"SUB OUT by RILEY,JAREN",1
02:23,,,,,"TURNOVER  by VANCE,LUKE",,,"TURNOVER  by VANCE,LUKE",1
02:15,"GOOD LAYUP by JONUS,JASEN(in the paint)",31 (+5),,26,,BSC-M 31-26 (+5),,"GOOD LAYUP by JONUS,JASEN(in the paint)",1
01:44,,,,,"MISS JUMPER by GOODMAN,CHRIS",,,"MISS JUMPER by GOODMAN,CHRIS",1
01:44,"BLOCK  by RICHARDS,ZAC",,,,,,,"BLOCK  by RICHARDS,ZAC",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
01:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:18,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
01:18,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
01:07,"MISS JUMPER by HOLLAND,JASON",,,,,,,"MISS JUMPER by HOLLAND,JASON",1
--,"REBOUND OFF by HOLLAND,JASON",,,,,,,"REBOUND OFF by HOLLAND,JASON",1
01:03,"GOOD LAYUP by HOLLAND,JASON(in the paint)",33 (+7),,26,,BSC-M 33-26 (+7),,"GOOD LAYUP by HOLLAND,JASON(in the paint)",1
00:47,,,,,"MISS 3PTR by MAINER,ZACH",,,"MISS 3PTR by MAINER,ZACH",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
00:19,,,,,"FOUL  by MAINER,ZACH",,,"FOUL  by MAINER,ZACH",1
00:19,"GOOD FT by RICHARDS,ZAC",34 (+8),,26,,BSC-M 34-26 (+8),,"GOOD FT by RICHARDS,ZAC",1
00:19,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
00:19,"SUB IN by OLAFSSON,ODDUR",,,,,,,"SUB IN by OLAFSSON,ODDUR",1
00:19,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
00:19,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
00:19,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
00:19,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
00:19,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
