Time Remaining,POINT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
00:31,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",2
00:31,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",2
00:25,"MISS LAYUP by COOPER,CHRIS",,,,,,,"MISS LAYUP by COOPER,CHRIS",2
--,"REBOUND OFF by MAHAFFEY,JEREMY",,,,,,,"REBOUND OFF by MAHAFFEY,JEREMY",2
00:22,"GOOD LAYUP by MAHAFFEY,JEREMY(in the paint)",80,,92 (+12),,POINT 80-92 (+12),,"GOOD LAYUP by MAHAFFEY,JEREMY(in the paint)",2
00:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:22,"SUB IN by BROWN,DEVONTE",,,,,,,"SUB IN by BROWN,DEVONTE",2
00:22,"SUB IN by SHELLEY,STEPHEN",,,,,,,"SUB IN by SHELLEY,STEPHEN",2
00:22,"SUB IN by INGLE,MICHAEL",,,,,,,"SUB IN by INGLE,MICHAEL",2
00:22,"SUB IN by WHITE,KADEEM",,,,,,,"SUB IN by WHITE,KADEEM",2
00:22,"SUB OUT by MAHAFFEY,JEREMY",,,,,,,"SUB OUT by MAHAFFEY,JEREMY",2
00:22,"SUB OUT by COOPER,CHRIS",,,,,,,"SUB OUT by COOPER,CHRIS",2
00:22,"SUB OUT by WOOLEY,TORY",,,,,,,"SUB OUT by WOOLEY,TORY",2
00:22,"SUB OUT by SCOTT,SHASTA",,,,,,,"SUB OUT by SCOTT,SHASTA",2
00:22,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",2
00:22,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",2
00:22,,,,,"SUB IN by MURPHY,NICK",,,"SUB IN by MURPHY,NICK",2
00:22,,,,,"SUB OUT by OLAFSSON,ODDUR",,,"SUB OUT by OLAFSSON,ODDUR",2
00:22,,,,,"SUB OUT by LEE,CALEB",,,"SUB OUT by LEE,CALEB",2
00:22,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",2
00:21,"FOUL  by SHELLEY,STEPHEN",,,,,,,"FOUL  by SHELLEY,STEPHEN",2
00:21,,,,,"MISS FT by JONUS,JASEN",,,"MISS FT by JONUS,JASEN",2
--,"REBOUND DEF by MAHAFFEY,JEREMY",,,,,,,"REBOUND DEF by MAHAFFEY,JEREMY",2
00:21,"SUB IN by COOPER,CHRIS",,,,,,,"SUB IN by COOPER,CHRIS",2
00:21,"SUB IN by SCOTT,SHASTA",,,,,,,"SUB IN by SCOTT,SHASTA",2
00:21,"SUB IN by MAHAFFEY,JEREMY",,,,,,,"SUB IN by MAHAFFEY,JEREMY",2
00:21,"SUB IN by WOOLEY,TORY",,,,,,,"SUB IN by WOOLEY,TORY",2
00:21,"SUB OUT by BROWN,DEVONTE",,,,,,,"SUB OUT by BROWN,DEVONTE",2
00:21,"SUB OUT by HARRELL,FREDDIE",,,,,,,"SUB OUT by HARRELL,FREDDIE",2
00:21,"SUB OUT by INGLE,MICHAEL",,,,,,,"SUB OUT by INGLE,MICHAEL",2
00:21,"SUB OUT by WHITE,KADEEM",,,,,,,"SUB OUT by WHITE,KADEEM",2
00:13,"MISS 3PTR by SCOTT,SHASTA",,,,,,,"MISS 3PTR by SCOTT,SHASTA",2
--,,,,,"REBOUND DEF by MURPHY,NICK",,,"REBOUND DEF by MURPHY,NICK",2
00:11,"FOUL  by MAHAFFEY,JEREMY",,,,,,,"FOUL  by MAHAFFEY,JEREMY",2
00:11,,,,,"MISS FT by MURPHY,NICK",,,"MISS FT by MURPHY,NICK",2
--,"REBOUND DEF by WOOLEY,TORY",,,,,,,"REBOUND DEF by WOOLEY,TORY",2
00:11,"SUB IN by BROWN,DEVONTE",,,,,,,"SUB IN by BROWN,DEVONTE",2
00:11,"SUB IN by INGLE,MICHAEL",,,,,,,"SUB IN by INGLE,MICHAEL",2
00:11,"SUB OUT by MAHAFFEY,JEREMY",,,,,,,"SUB OUT by MAHAFFEY,JEREMY",2
00:11,"SUB OUT by WOOLEY,TORY",,,,,,,"SUB OUT by WOOLEY,TORY",2
00:11,"SUB OUT by SHELLEY,STEPHEN",,,,,,,"SUB OUT by SHELLEY,STEPHEN",2
00:04,"MISS 3PTR by COOPER,CHRIS",,,,,,,"MISS 3PTR by COOPER,CHRIS",2
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",2
