Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,SUM,Game Score,Team Indicator,Play,Period
10:16,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",2
10:16,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",2
10:16,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",2
10:16,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",2
10:16,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",2
10:16,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",2
10:16,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",2
10:16,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",2
10:16,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",2
10:16,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",2
09:49,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
09:44,,,,,"STEAL  by KOCHER,CHASE",,,"STEAL  by KOCHER,CHASE",2
09:43,,50 (+1),,49,"GOOD LAYUP by MATAYA,DANIEL(in the paint)",SUM 50-49 (+1),,"GOOD LAYUP by MATAYA,DANIEL(in the paint)",2
--,,,,,"ASSIST  by KOCHER,CHASE",,,"ASSIST  by KOCHER,CHASE",2
09:31,,,,,"FOUL  by KOCHER,CHASE",,,"FOUL  by KOCHER,CHASE",2
09:25,,,,,"FOUL  by KOCHER,CHASE",,,"FOUL  by KOCHER,CHASE",2
09:18,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",52 (+3),,49,,BSC-M 52-49 (+3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
09:18,,,,,"FOUL  by ATIEE,NICK",,,"FOUL  by ATIEE,NICK",2
09:18,"GOOD FT by RICHARDS,ZAC",53 (+4),,49,,BSC-M 53-49 (+4),,"GOOD FT by RICHARDS,ZAC",2
09:18,,,,,"SUB IN by JOHNSON,ADRIAN",,,"SUB IN by JOHNSON,ADRIAN",2
09:18,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",2
09:03,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
09:03,,53 (+3),,50,"GOOD FT by ATIEE,NICK",SUM 53-50 (+3),,"GOOD FT by ATIEE,NICK",2
09:03,,53 (+2),,51,"GOOD FT by ATIEE,NICK",SUM 53-51 (+2),,"GOOD FT by ATIEE,NICK",2
09:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:54,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",2
08:54,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
08:54,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
08:54,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
08:45,"GOOD 3PTR by MURPHY,NICK",56 (+5),,51,,BSC-M 56-51 (+5),,"GOOD 3PTR by MURPHY,NICK",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
08:25,,,,,"MISS JUMPER by ATIEE,NICK",,,"MISS JUMPER by ATIEE,NICK",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
08:07,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",2
08:06,,,,,"STEAL  by TATES,JOSHUA",,,"STEAL  by TATES,JOSHUA",2
07:59,,,,,"MISS 3PTR by BROOKS,KENNETH",,,"MISS 3PTR by BROOKS,KENNETH",2
--,,,,,"REBOUND OFF by MATAYA,DANIEL",,,"REBOUND OFF by MATAYA,DANIEL",2
07:56,,,,,"FOUL  by ATIEE,NICK",,,"FOUL  by ATIEE,NICK",2
07:56,"GOOD FT by HOLLAND,JASON",57 (+6),,51,,BSC-M 57-51 (+6),,"GOOD FT by HOLLAND,JASON",2
07:56,"GOOD FT by HOLLAND,JASON",58 (+7),,51,,BSC-M 58-51 (+7),,"GOOD FT by HOLLAND,JASON",2
07:43,,,,,"TURNOVER  by ATIEE,NICK",,,"TURNOVER  by ATIEE,NICK",2
07:43,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",2
07:43,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",2
07:43,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",2
07:43,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",2
07:43,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",2
07:43,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",2
07:43,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",2
07:43,,,,,"SUB OUT by JOHNSON,ADRIAN",,,"SUB OUT by JOHNSON,ADRIAN",2
07:43,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",2
07:43,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",2
07:11,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",2
--,"REBOUND OFF by HOLLAND,JASON",,,,,,,"REBOUND OFF by HOLLAND,JASON",2
07:09,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by CANTU,MICHAEL",,,"REBOUND DEF by CANTU,MICHAEL",2
07:05,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
07:05,,58 (+6),,52,"GOOD FT by CANTU,MICHAEL",SUM 58-52 (+6),,"GOOD FT by CANTU,MICHAEL",2
07:05,,58 (+5),,53,"GOOD FT by CANTU,MICHAEL",SUM 58-53 (+5),,"GOOD FT by CANTU,MICHAEL",2
07:05,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
07:05,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",2
06:47,"GOOD JUMPER by LEE,CALEB",60 (+7),,53,,BSC-M 60-53 (+7),,"GOOD JUMPER by LEE,CALEB",2
06:39,,60 (+5),,55,"GOOD LAYUP by CANTU,MICHAEL(fastbreak)(in the paint)",SUM 60-55 (+5),,"GOOD LAYUP by CANTU,MICHAEL(fastbreak)(in the paint)",2
06:39,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
06:39,,,,,"MISS FT by CANTU,MICHAEL",,,"MISS FT by CANTU,MICHAEL",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
06:39,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
06:39,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
06:17,"GOOD LAYUP by LEE,CALEB(in the paint)",62 (+7),,55,,BSC-M 62-55 (+7),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
06:17,,,,,"FOUL  by DAVENPORT,JAMES",,,"FOUL  by DAVENPORT,JAMES",2
06:17,"MISS FT by LEE,CALEB",,,,,,,"MISS FT by LEE,CALEB",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
06:17,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
06:17,,62 (+6),,56,"GOOD FT by KURTZ,TRAVIS",SUM 62-56 (+6),,"GOOD FT by KURTZ,TRAVIS",2
06:17,,62 (+5),,57,"GOOD FT by KURTZ,TRAVIS",SUM 62-57 (+5),,"GOOD FT by KURTZ,TRAVIS",2
06:05,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:50,,62 (+3),,59,"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",SUM 62-59 (+3),,"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",2
--,,,,,"ASSIST  by SPEARMAN,DEMETRICE",,,"ASSIST  by SPEARMAN,DEMETRICE",2
05:50,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
05:50,,62 (+2),,60,"GOOD FT by DAVENPORT,JAMES",SUM 62-60 (+2),,"GOOD FT by DAVENPORT,JAMES",2
05:50,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
05:50,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
05:50,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",2
05:50,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
05:50,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",2
05:50,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",2
05:50,,,,,"SUB IN by JOHNSON,ADRIAN",,,"SUB IN by JOHNSON,ADRIAN",2
05:50,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",2
05:50,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",2
05:50,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",2
05:50,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",2
05:50,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",2
05:50,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",2
05:50,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",2
05:44,,,,,"FOUL  by BROOKS,KENNETH",,,"FOUL  by BROOKS,KENNETH",2
05:44,"GOOD FT by KEGARISE,KEVIN",63 (+3),,60,,BSC-M 63-60 (+3),,"GOOD FT by KEGARISE,KEVIN",2
05:44,"GOOD FT by KEGARISE,KEVIN",64 (+4),,60,,BSC-M 64-60 (+4),,"GOOD FT by KEGARISE,KEVIN",2
05:34,,,,,"MISS 3PTR by JOHNSON,ADRIAN",,,"MISS 3PTR by JOHNSON,ADRIAN",2
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",2
05:22,"GOOD JUMPER by JONUS,JASEN(fastbreak)",66 (+6),,60,,BSC-M 66-60 (+6),,"GOOD JUMPER by JONUS,JASEN(fastbreak)",2
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",2
05:09,,,,,"MISS JUMPER by TATES,JOSHUA",,,"MISS JUMPER by TATES,JOSHUA",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
05:00,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
05:00,,,,,"BLOCK  by BROOKS,KENNETH",,,"BLOCK  by BROOKS,KENNETH",2
--,,,,,"REBOUND DEF by KOCHER,CHASE",,,"REBOUND DEF by KOCHER,CHASE",2
04:53,,,,,"MISS 3PTR by BROOKS,KENNETH",,,"MISS 3PTR by BROOKS,KENNETH",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
04:25,,,,,"FOUL  by TATES,JOSHUA",,,"FOUL  by TATES,JOSHUA",2
04:25,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:25,"GOOD FT by SCHAMP,GRIFFIN",67 (+7),,60,,BSC-M 67-60 (+7),,"GOOD FT by SCHAMP,GRIFFIN",2
04:25,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
04:25,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
04:25,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",2
04:25,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",2
04:25,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",2
04:25,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",2
04:25,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",2
04:25,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",2
04:25,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",2
04:25,,,,,"SUB OUT by JOHNSON,ADRIAN",,,"SUB OUT by JOHNSON,ADRIAN",2
04:25,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",2
04:25,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",2
04:13,,67 (+5),,62,"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",SUM 67-62 (+5),,"GOOD LAYUP by DAVENPORT,JAMES(in the paint)",2
--,,,,,"ASSIST  by CANTU,MICHAEL",,,"ASSIST  by CANTU,MICHAEL",2
03:51,"GOOD 3PTR by JONUS,JASEN",70 (+8),,62,,BSC-M 70-62 (+8),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",2
03:37,,,,,"TURNOVER  by CANTU,MICHAEL",,,"TURNOVER  by CANTU,MICHAEL",2
03:37,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
03:37,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
03:10,"GOOD 3PTR by JONUS,JASEN",73 (+11),,62,,BSC-M 73-62 (+11),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
02:38,,,,,"TURNOVER  by MYERS,SEAN",,,"TURNOVER  by MYERS,SEAN",2
02:38,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",2
02:38,,,,,"SUB IN by ATIEE,NICK",,,"SUB IN by ATIEE,NICK",2
02:38,,,,,"SUB IN by TATES,JOSHUA",,,"SUB IN by TATES,JOSHUA",2
02:38,,,,,"SUB IN by BROOKS,KENNETH",,,"SUB IN by BROOKS,KENNETH",2
02:38,,,,,"SUB IN by MATAYA,DANIEL",,,"SUB IN by MATAYA,DANIEL",2
02:38,,,,,"SUB OUT by SPEARMAN,DEMETRICE",,,"SUB OUT by SPEARMAN,DEMETRICE",2
02:38,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",2
02:38,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",2
02:38,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",2
02:38,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",2
02:27,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
02:27,,,,,"TURNOVER  by KOCHER,CHASE",,,"TURNOVER  by KOCHER,CHASE",2
02:27,"STEAL  by JONUS,JASEN",,,,,,,"STEAL  by JONUS,JASEN",2
02:27,,,,,"SUB IN by CANTU,MICHAEL",,,"SUB IN by CANTU,MICHAEL",2
02:27,,,,,"SUB OUT by TATES,JOSHUA",,,"SUB OUT by TATES,JOSHUA",2
02:05,,,,,"FOUL  by CANTU,MICHAEL",,,"FOUL  by CANTU,MICHAEL",2
02:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:05,"GOOD FT by SCHAMP,GRIFFIN",74 (+12),,62,,BSC-M 74-62 (+12),,"GOOD FT by SCHAMP,GRIFFIN",2
02:05,"GOOD FT by SCHAMP,GRIFFIN",75 (+13),,62,,BSC-M 75-62 (+13),,"GOOD FT by SCHAMP,GRIFFIN",2
02:05,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
02:05,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
02:05,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
02:05,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
02:05,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
02:05,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
02:05,,,,,"SUB IN by MYERS,SEAN",,,"SUB IN by MYERS,SEAN",2
02:05,,,,,"SUB IN by DAVENPORT,JAMES",,,"SUB IN by DAVENPORT,JAMES",2
02:05,,,,,"SUB OUT by KOCHER,CHASE",,,"SUB OUT by KOCHER,CHASE",2
02:05,,,,,"SUB OUT by ATIEE,NICK",,,"SUB OUT by ATIEE,NICK",2
01:57,,,,,"MISS JUMPER by CANTU,MICHAEL",,,"MISS JUMPER by CANTU,MICHAEL",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
01:38,,,,,"MISS 3PTR by MATAYA,DANIEL",,,"MISS 3PTR by MATAYA,DANIEL",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
01:31,,,,,"FOUL  by CANTU,MICHAEL",,,"FOUL  by CANTU,MICHAEL",2
01:31,"GOOD FT by WHITE,BLAISE",76 (+14),,62,,BSC-M 76-62 (+14),,"GOOD FT by WHITE,BLAISE",2
01:31,"GOOD FT by WHITE,BLAISE",77 (+15),,62,,BSC-M 77-62 (+15),,"GOOD FT by WHITE,BLAISE",2
01:31,,,,,"SUB IN by SPEARMAN,DEMETRICE",,,"SUB IN by SPEARMAN,DEMETRICE",2
01:31,,,,,"SUB IN by KURTZ,TRAVIS",,,"SUB IN by KURTZ,TRAVIS",2
01:31,,,,,"SUB OUT by BROOKS,KENNETH",,,"SUB OUT by BROOKS,KENNETH",2
01:31,,,,,"SUB OUT by MATAYA,DANIEL",,,"SUB OUT by MATAYA,DANIEL",2
01:22,,,,,"MISS 3PTR by KURTZ,TRAVIS",,,"MISS 3PTR by KURTZ,TRAVIS",2
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",2
01:18,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
01:18,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
01:18,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
01:18,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
01:18,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
01:18,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
01:18,,,,,"SUB IN by SEVERSON,CARSON",,,"SUB IN by SEVERSON,CARSON",2
01:18,,,,,"SUB OUT by CANTU,MICHAEL",,,"SUB OUT by CANTU,MICHAEL",2
01:07,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
01:07,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
01:07,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
01:07,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
01:07,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
01:07,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
01:07,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",2
01:07,,,,,"SUB IN by KOCHER,CHASE",,,"SUB IN by KOCHER,CHASE",2
01:07,,,,,"SUB OUT by KURTZ,TRAVIS",,,"SUB OUT by KURTZ,TRAVIS",2
00:57,,,,,"TURNOVER  by DAVENPORT,JAMES",,,"TURNOVER  by DAVENPORT,JAMES",2
00:56,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",2
00:54,"GOOD LAYUP by HOLLAND,JASON(fastbreak)(in the paint)",79 (+17),,62,,BSC-M 79-62 (+17),,"GOOD LAYUP by HOLLAND,JASON(fastbreak)(in the paint)",2
00:45,,,,,"TURNOVER  by MYERS,SEAN",,,"TURNOVER  by MYERS,SEAN",2
00:45,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",2
00:45,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
00:45,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
00:45,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
00:45,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
00:45,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
00:45,,,,,"SUB IN by BERNHARDT,DANIEL",,,"SUB IN by BERNHARDT,DANIEL",2
00:45,,,,,"SUB IN by SCOTT,BLAKE",,,"SUB IN by SCOTT,BLAKE",2
00:45,,,,,"SUB OUT by MYERS,SEAN",,,"SUB OUT by MYERS,SEAN",2
00:45,,,,,"SUB OUT by DAVENPORT,JAMES",,,"SUB OUT by DAVENPORT,JAMES",2
00:18,"GOOD JUMPER by KEGARISE,KEVIN",81 (+19),,62,,BSC-M 81-62 (+19),,"GOOD JUMPER by KEGARISE,KEVIN",2
00:06,,,,,"MISS 3PTR by SCOTT,BLAKE",,,"MISS 3PTR by SCOTT,BLAKE",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
