Time Remaining,LAGRANGE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",2
03:50,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",2
03:50,"SUB IN by MACLIN,CATRELL",,,,,,,"SUB IN by MACLIN,CATRELL",2
03:50,"SUB IN by MILLER,TYLER",,,,,,,"SUB IN by MILLER,TYLER",2
03:50,"SUB IN by SANDERS,DOROUGH",,,,,,,"SUB IN by SANDERS,DOROUGH",2
03:50,"SUB OUT by MUNCH,PETER",,,,,,,"SUB OUT by MUNCH,PETER",2
03:50,"SUB OUT by CRAFT,BLAKE",,,,,,,"SUB OUT by CRAFT,BLAKE",2
03:50,"SUB OUT by POWER,AARON",,,,,,,"SUB OUT by POWER,AARON",2
03:50,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",2
03:50,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",2
03:50,,,,,"SUB IN by PLAYER,MATT",,,"SUB IN by PLAYER,MATT",2
03:50,,,,,"SUB OUT by MURPHY,NICK",,,"SUB OUT by MURPHY,NICK",2
03:50,,,,,"SUB OUT by OLAFSSON,ODDUR",,,"SUB OUT by OLAFSSON,ODDUR",2
03:50,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",2
03:39,"MISS 3PTR by SANDERS,DOROUGH",,,,,,,"MISS 3PTR by SANDERS,DOROUGH",2
--,,,,,"REBOUND DEF by SHELTON,MIGUEL",,,"REBOUND DEF by SHELTON,MIGUEL",2
03:22,,54,,91 (+37),"GOOD LAYUP by SHELTON,MIGUEL(in the paint)",BSC 54-91 (+37),,"GOOD LAYUP by SHELTON,MIGUEL(in the paint)",2
--,,,,,"ASSIST  by FREEMAN,SCHYLAR",,,"ASSIST  by FREEMAN,SCHYLAR",2
03:09,,,,,"FOUL  by GALFSKY,ANDER",,,"FOUL  by GALFSKY,ANDER",2
03:09,"MISS FT by ANDERKAVICH,JOEY",,,,,,,"MISS FT by ANDERKAVICH,JOEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:09,"GOOD FT by ANDERKAVICH,JOEY",55,,91 (+36),,LAGRANGE 55-91 (+36),,"GOOD FT by ANDERKAVICH,JOEY",2
03:09,"SUB IN by SHERMAN,XAVIER",,,,,,,"SUB IN by SHERMAN,XAVIER",2
03:09,"SUB IN by LEWIS,DARON",,,,,,,"SUB IN by LEWIS,DARON",2
03:09,"SUB OUT by ROBINSON,DENZEL",,,,,,,"SUB OUT by ROBINSON,DENZEL",2
03:09,"SUB OUT by ANDERKAVICH,JOEY",,,,,,,"SUB OUT by ANDERKAVICH,JOEY",2
03:09,,,,,"SUB IN by NEINER,JOSEPH",,,"SUB IN by NEINER,JOSEPH",2
03:09,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",2
02:51,,,,,"MISS JUMPER by SHELTON,MIGUEL",,,"MISS JUMPER by SHELTON,MIGUEL",2
--,,,,,"REBOUND OFF by PLAYER,MATT",,,"REBOUND OFF by PLAYER,MATT",2
02:46,,55,,93 (+38),"GOOD LAYUP by GALFSKY,ANDER(in the paint)",BSC 55-93 (+38),,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",2
02:31,"MISS JUMPER by LEWIS,DARON",,,,,,,"MISS JUMPER by LEWIS,DARON",2
--,"REBOUND OFF by SANDERS,DOROUGH",,,,,,,"REBOUND OFF by SANDERS,DOROUGH",2
02:27,"GOOD LAYUP by SANDERS,DOROUGH(in the paint)",57,,93 (+36),,LAGRANGE 57-93 (+36),,"GOOD LAYUP by SANDERS,DOROUGH(in the paint)",2
02:20,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
02:19,,,,,"FOUL  by SHELTON,MIGUEL",,,"FOUL  by SHELTON,MIGUEL",2
02:19,"MISS FT by SHERMAN,XAVIER",,,,,,,"MISS FT by SHERMAN,XAVIER",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:19,"MISS FT by SHERMAN,XAVIER",,,,,,,"MISS FT by SHERMAN,XAVIER",2
--,"REBOUND OFF by SHERMAN,XAVIER",,,,,,,"REBOUND OFF by SHERMAN,XAVIER",2
02:19,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",2
02:19,,,,,"SUB OUT by SHELTON,MIGUEL",,,"SUB OUT by SHELTON,MIGUEL",2
01:56,,,,,"FOUL  by PLAYER,MATT",,,"FOUL  by PLAYER,MATT",2
01:56,"GOOD FT by SHERMAN,XAVIER",58,,93 (+35),,LAGRANGE 58-93 (+35),,"GOOD FT by SHERMAN,XAVIER",2
01:56,"MISS FT by SHERMAN,XAVIER",,,,,,,"MISS FT by SHERMAN,XAVIER",2
--,,,,,"REBOUND DEF by NEINER,JOSEPH",,,"REBOUND DEF by NEINER,JOSEPH",2
01:44,,58,,96 (+38),"GOOD 3PTR by MARSCHNER,BRENDAN",BSC 58-96 (+38),,"GOOD 3PTR by MARSCHNER,BRENDAN",2
--,,,,,"ASSIST  by NEINER,JOSEPH",,,"ASSIST  by NEINER,JOSEPH",2
01:30,"GOOD 3PTR by MILLER,TYLER",61,,96 (+35),,LAGRANGE 61-96 (+35),,"GOOD 3PTR by MILLER,TYLER",2
--,"ASSIST  by MACLIN,CATRELL",,,,,,,"ASSIST  by MACLIN,CATRELL",2
01:17,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",2
01:15,"STEAL  by MACLIN,CATRELL",,,,,,,"STEAL  by MACLIN,CATRELL",2
01:11,"MISS 3PTR by MILLER,TYLER",,,,,,,"MISS 3PTR by MILLER,TYLER",2
--,"REBOUND OFF by SHERMAN,XAVIER",,,,,,,"REBOUND OFF by SHERMAN,XAVIER",2
01:03,"GOOD 3PTR by LEWIS,DARON",64,,96 (+32),,LAGRANGE 64-96 (+32),,"GOOD 3PTR by LEWIS,DARON",2
--,"ASSIST  by SHERMAN,XAVIER",,,,,,,"ASSIST  by SHERMAN,XAVIER",2
00:26,,,,,"MISS JUMPER by GALFSKY,ANDER",,,"MISS JUMPER by GALFSKY,ANDER",2
--,"REBOUND DEF by SANDERS,DOROUGH",,,,,,,"REBOUND DEF by SANDERS,DOROUGH",2
00:19,"TURNOVER  by SANDERS,DOROUGH",,,,,,,"TURNOVER  by SANDERS,DOROUGH",2
00:16,,,,,"STEAL  by PLAYER,MATT",,,"STEAL  by PLAYER,MATT",2
00:14,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",2
00:13,"STEAL  by SHERMAN,XAVIER",,,,,,,"STEAL  by SHERMAN,XAVIER",2
00:03,,,,,"FOUL  by PLAYER,MATT",,,"FOUL  by PLAYER,MATT",2
00:03,"GOOD FT by SANDERS,DOROUGH",65,,96 (+31),,LAGRANGE 65-96 (+31),,"GOOD FT by SANDERS,DOROUGH",2
00:03,"MISS FT by SANDERS,DOROUGH",,,,,,,"MISS FT by SANDERS,DOROUGH",2
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",2
