Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,MMB,Game Score,Team Indicator,Play,Period
05:59,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
05:24,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
04:59,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",1
04:58,"STEAL  by HARRIS,CEDRIC",,,,,,,"STEAL  by HARRIS,CEDRIC",1
04:58,"TURNOVER  by HARRIS,CEDRIC",,,,,,,"TURNOVER  by HARRIS,CEDRIC",1
04:58,,,,,"STEAL  by BLANZ,BUCK",,,"STEAL  by BLANZ,BUCK",1
04:58,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
04:25,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",26 (+4),,22,,CENTMB 26-22 (-4),,"GOOD LAYUP by KIRKENDOLL,TRAVION(in the paint)",1
--,"ASSIST  by MATTHEWS,TREYLAN",,,,,,,"ASSIST  by MATTHEWS,TREYLAN",1
03:55,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",1
03:55,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:55,"SUB IN by WEAVER,DYLLON",,,,,,,"SUB IN by WEAVER,DYLLON",1
03:55,"SUB IN by SAPP,JAMES",,,,,,,"SUB IN by SAPP,JAMES",1
03:55,"SUB OUT by GRAY,JERICHO",,,,,,,"SUB OUT by GRAY,JERICHO",1
03:55,"SUB OUT by TARANTOLO,MITCHELL",,,,,,,"SUB OUT by TARANTOLO,MITCHELL",1
03:55,,,,,"SUB IN by GARDNER,ROBERT",,,"SUB IN by GARDNER,ROBERT",1
03:55,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",1
03:43,"MISS 3PTR by WEAVER,DYLLON",,,,,,,"MISS 3PTR by WEAVER,DYLLON",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
03:33,,26 (+2),,24,"GOOD JUMPER by GARDNER,ROBERT(fastbreak)",MMB 26-24 (-2),,"GOOD JUMPER by GARDNER,ROBERT(fastbreak)",1
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",1
03:08,"MISS JUMPER by KIRKENDOLL,TRAVION",,,,,,,"MISS JUMPER by KIRKENDOLL,TRAVION",1
--,,,,,"REBOUND DEF by GARDNER,ROBERT",,,"REBOUND DEF by GARDNER,ROBERT",1
02:47,,26,,26,"GOOD LAYUP by BLANZ,BUCK(in the paint)",MMB 26-26 (0),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
02:34,"TURNOVER  by SAPP,JAMES",,,,,,,"TURNOVER  by SAPP,JAMES",1
02:34,"FOUL  by SAPP,JAMES",,,,,,,"FOUL  by SAPP,JAMES",1
02:34,"SUB IN by BOYD,KJ",,,,,,,"SUB IN by BOYD,KJ",1
02:34,"SUB OUT by HARRIS,CEDRIC",,,,,,,"SUB OUT by HARRIS,CEDRIC",1
02:34,,,,,"SUB IN by MASON,WADE",,,"SUB IN by MASON,WADE",1
02:34,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
02:08,,26,,28 (+2),"GOOD LAYUP by MASON,WADE(in the paint)",MMB 26-28 (+2),,"GOOD LAYUP by MASON,WADE(in the paint)",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
01:58,"GOOD 3PTR by HARRIS,CEDRIC",29 (+1),,28,,CENTMB 29-28 (-1),,"GOOD 3PTR by HARRIS,CEDRIC",1
