Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
05:41,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
05:32,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
05:06,"MISS JUMPER by MURPHY,NICK",,,,,,,"MISS JUMPER by MURPHY,NICK",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
04:51,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
04:27,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",1
04:27,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
04:27,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
04:27,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
04:27,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
04:27,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
04:27,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
04:14,"MISS JUMPER by JONUS,JASEN",,,,,,,"MISS JUMPER by JONUS,JASEN",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
04:01,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
04:01,,31 (+5),,26,"GOOD FT by DUNAVANT,JOHN",RCMBB12 31-26 (-5),,"GOOD FT by DUNAVANT,JOHN",1
04:01,,31 (+4),,27,"GOOD FT by DUNAVANT,JOHN",RCMBB12 31-27 (-4),,"GOOD FT by DUNAVANT,JOHN",1
04:01,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
04:01,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
03:41,"MISS JUMPER by MURPHY,NICK",,,,,,,"MISS JUMPER by MURPHY,NICK",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
03:34,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
03:34,,31 (+3),,28,"GOOD FT by LIVSEY,GEOFF",RCMBB12 31-28 (-3),,"GOOD FT by LIVSEY,GEOFF",1
03:34,,31 (+2),,29,"GOOD FT by LIVSEY,GEOFF",RCMBB12 31-29 (-2),,"GOOD FT by LIVSEY,GEOFF",1
03:34,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
03:34,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
03:34,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
03:34,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
03:34,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
03:34,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:34,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
03:34,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
03:24,"GOOD 3PTR by KEGARISE,KEVIN",34 (+5),,29,,BSC 34-29 (-5),,"GOOD 3PTR by KEGARISE,KEVIN",1
02:56,,,,,"MISS LAYUP by HARTWELL,THEO",,,"MISS LAYUP by HARTWELL,THEO",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
02:47,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
02:29,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
02:27,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
02:25,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
02:19,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
02:19,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
02:14,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
01:41,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",1
01:41,"GOOD FT by KEGARISE,KEVIN",35 (+6),,29,,BSC 35-29 (-6),,"GOOD FT by KEGARISE,KEVIN",1
01:41,"GOOD FT by KEGARISE,KEVIN",36 (+7),,29,,BSC 36-29 (-7),,"GOOD FT by KEGARISE,KEVIN",1
01:34,,36 (+4),,32,"GOOD 3PTR by LIVSEY,GEOFF",RCMBB12 36-32 (-4),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
01:14,"MISS LAYUP by KEGARISE,KEVIN",,,,,,,"MISS LAYUP by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",1
00:51,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
