Time Remaining,BRESCIA,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
05:27,,14,,16 (+2),"GOOD FT by TAYLOR,CHRIS",CENTRE_M 14-16 (+2),,"GOOD FT by TAYLOR,CHRIS",1
05:27,,,,,"SUB IN by SAGRAVES,AUSTIN",,,"SUB IN by SAGRAVES,AUSTIN",1
05:27,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
05:15,"MISS JUMPER by JACKSON,BRETT",,,,,,,"MISS JUMPER by JACKSON,BRETT",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
05:07,,14,,18 (+4),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 14-18 (+4),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
05:05,"FOUL  by LANGLEY,JERMAIN",,,,,,,"FOUL  by LANGLEY,JERMAIN",1
05:05,,,,,"MISS FT by WHITESIDE,DONOVAN",,,"MISS FT by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by ROWE,HUNTER",,,,,,,"REBOUND DEF by ROWE,HUNTER",1
04:43,"MISS 3PTR by WILGUS,KYLE",,,,,,,"MISS 3PTR by WILGUS,KYLE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
04:30,,14,,21 (+7),"GOOD 3PTR by SAGRAVES,AUSTIN",CENTRE_M 14-21 (+7),,"GOOD 3PTR by SAGRAVES,AUSTIN",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
04:19,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
04:07,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
04:07,"GOOD FT by ROWE,HUNTER",15,,21 (+6),,BRESCIA 15-21 (+6),,"GOOD FT by ROWE,HUNTER",1
04:07,"GOOD FT by ROWE,HUNTER",16,,21 (+5),,BRESCIA 16-21 (+5),,"GOOD FT by ROWE,HUNTER",1
03:44,,16,,23 (+7),"GOOD LAYUP by KARSNER,JOSH(in the paint)",CENTRE_M 16-23 (+7),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
03:23,"MISS LAYUP by JACKSON,BRETT",,,,,,,"MISS LAYUP by JACKSON,BRETT",1
03:23,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:10,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
03:10,"GOOD FT by JACKSON,BRETT",17,,23 (+6),,BRESCIA 17-23 (+6),,"GOOD FT by JACKSON,BRETT",1
03:10,"GOOD FT by JACKSON,BRETT",18,,23 (+5),,BRESCIA 18-23 (+5),,"GOOD FT by JACKSON,BRETT",1
03:10,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
03:10,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
02:50,"FOUL  by JACKSON,BRETT",,,,,,,"FOUL  by JACKSON,BRETT",1
02:50,,18,,24 (+6),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 18-24 (+6),,"GOOD FT by LOPEZ,COLLIN",1
02:50,,,,,"MISS FT by LOPEZ,COLLIN",,,"MISS FT by LOPEZ,COLLIN",1
--,"REBOUND DEF by MORRIS,AUSTIN",,,,,,,"REBOUND DEF by MORRIS,AUSTIN",1
02:50,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
02:50,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
02:42,"TURNOVER  by NIXON,KYLE",,,,,,,"TURNOVER  by NIXON,KYLE",1
02:42,"SUB IN by NIXON,KYLE",,,,,,,"SUB IN by NIXON,KYLE",1
02:42,"SUB OUT by LANGLEY,JERMAIN",,,,,,,"SUB OUT by LANGLEY,JERMAIN",1
02:27,,,,,"TURNOVER  by HERTZEL,HOLDEN",,,"TURNOVER  by HERTZEL,HOLDEN",1
02:01,"MISS JUMPER by MORRIS,AUSTIN",,,,,,,"MISS JUMPER by MORRIS,AUSTIN",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
01:58,"FOUL  by WILGUS,KYLE",,,,,,,"FOUL  by WILGUS,KYLE",1
01:58,,,,,"MISS FT by TAYLOR,CHRIS",,,"MISS FT by TAYLOR,CHRIS",1
--,"REBOUND DEF by ROWE,HUNTER",,,,,,,"REBOUND DEF by ROWE,HUNTER",1
01:58,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
01:58,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
01:41,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",1
01:36,"MISS LAYUP by MORRIS,AUSTIN",,,,,,,"MISS LAYUP by MORRIS,AUSTIN",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
01:23,,,,,"MISS 3PTR by SAGRAVES,AUSTIN",,,"MISS 3PTR by SAGRAVES,AUSTIN",1
--,"REBOUND DEF by MORRIS,AUSTIN",,,,,,,"REBOUND DEF by MORRIS,AUSTIN",1
01:19,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",1
01:19,"MISS FT by ROWE,HUNTER",,,,,,,"MISS FT by ROWE,HUNTER",1
